,hospital,city,canton_name,main_code,disease_group,number_of_cases_2014_2019
0,Adus Medica AG,Dielsdorf,Zürich,E,Diseases of the abdominal organs,1266
1,Adus Medica AG,Dielsdorf,Zürich,F,Vascular Diseases,2
2,Adus Medica AG,Dielsdorf,Zürich,G,Gynecology and obstetrics,31
3,Adus Medica AG,Dielsdorf,Zürich,H,Diseases of the urinary tract and male genitalia,4
4,Adus Medica AG,Dielsdorf,Zürich,I,"Diseases of the bones, joints, connective tissues",131
5,Adus Medica AG,Dielsdorf,Zürich,J,Complex conditions,2
6,Andreas Klinik,Cham,Zug,A,Cardiac diseases,458
7,Andreas Klinik,Cham,Zug,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",191
8,Andreas Klinik,Cham,Zug,C,Geriatric Medicine,40
9,Andreas Klinik,Cham,Zug,D,Lung diseases,662
10,Andreas Klinik,Cham,Zug,E,Diseases of the abdominal organs,2882
11,Andreas Klinik,Cham,Zug,F,Vascular Diseases,21
12,Andreas Klinik,Cham,Zug,G,Gynecology and obstetrics,14035
13,Andreas Klinik,Cham,Zug,H,Diseases of the urinary tract and male genitalia,798
14,Andreas Klinik,Cham,Zug,I,"Diseases of the bones, joints, connective tissues",8635
15,Andreas Klinik,Cham,Zug,J,Complex conditions,234
16,Andreas Klinik,Cham,Zug,K,Skin disorders,6
17,Asana Spital Leuggern AG,Leuggern,Aargau,A,Cardiac diseases,1095
18,Asana Spital Leuggern AG,Leuggern,Aargau,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",342
19,Asana Spital Leuggern AG,Leuggern,Aargau,C,Geriatric Medicine,19
20,Asana Spital Leuggern AG,Leuggern,Aargau,D,Lung diseases,1965
21,Asana Spital Leuggern AG,Leuggern,Aargau,E,Diseases of the abdominal organs,1733
22,Asana Spital Leuggern AG,Leuggern,Aargau,F,Vascular Diseases,34
23,Asana Spital Leuggern AG,Leuggern,Aargau,G,Gynecology and obstetrics,13746
24,Asana Spital Leuggern AG,Leuggern,Aargau,H,Diseases of the urinary tract and male genitalia,1145
25,Asana Spital Leuggern AG,Leuggern,Aargau,I,"Diseases of the bones, joints, connective tissues",2503
26,Asana Spital Leuggern AG,Leuggern,Aargau,J,Complex conditions,193
27,Asana Spital Leuggern AG,Leuggern,Aargau,K,Skin disorders,17
28,Asana Spital Menziken AG,Menziken,Aargau,A,Cardiac diseases,2112
29,Asana Spital Menziken AG,Menziken,Aargau,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",650
30,Asana Spital Menziken AG,Menziken,Aargau,C,Geriatric Medicine,26
31,Asana Spital Menziken AG,Menziken,Aargau,D,Lung diseases,4313
32,Asana Spital Menziken AG,Menziken,Aargau,E,Diseases of the abdominal organs,1373
33,Asana Spital Menziken AG,Menziken,Aargau,F,Vascular Diseases,46
34,Asana Spital Menziken AG,Menziken,Aargau,G,Gynecology and obstetrics,2909
35,Asana Spital Menziken AG,Menziken,Aargau,H,Diseases of the urinary tract and male genitalia,1313
36,Asana Spital Menziken AG,Menziken,Aargau,I,"Diseases of the bones, joints, connective tissues",1437
37,Asana Spital Menziken AG,Menziken,Aargau,J,Complex conditions,1053
38,Asana Spital Menziken AG,Menziken,Aargau,K,Skin disorders,31
39,Berit Klinik AG,Speicher,Appenzell Ausserrhoden,A,Cardiac diseases,21
40,Berit Klinik AG,Speicher,Appenzell Ausserrhoden,C,Geriatric Medicine,41
41,Berit Klinik AG,Speicher,Appenzell Ausserrhoden,D,Lung diseases,4
42,Berit Klinik AG,Speicher,Appenzell Ausserrhoden,E,Diseases of the abdominal organs,90
43,Berit Klinik AG,Speicher,Appenzell Ausserrhoden,F,Vascular Diseases,20
44,Berit Klinik AG,Speicher,Appenzell Ausserrhoden,G,Gynecology and obstetrics,90
45,Berit Klinik AG,Speicher,Appenzell Ausserrhoden,I,"Diseases of the bones, joints, connective tissues",6047
46,Berit Klinik AG,Speicher,Appenzell Ausserrhoden,J,Complex conditions,50
47,Berit Klinik AG,Speicher,Appenzell Ausserrhoden,K,Skin disorders,5
48,Bethesda Spital AG,Basel,Basel-stadt,A,Cardiac diseases,243
49,Bethesda Spital AG,Basel,Basel-stadt,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",43
50,Bethesda Spital AG,Basel,Basel-stadt,C,Geriatric Medicine,47
51,Bethesda Spital AG,Basel,Basel-stadt,D,Lung diseases,292
52,Bethesda Spital AG,Basel,Basel-stadt,E,Diseases of the abdominal organs,1238
53,Bethesda Spital AG,Basel,Basel-stadt,F,Vascular Diseases,9
54,Bethesda Spital AG,Basel,Basel-stadt,G,Gynecology and obstetrics,45201
55,Bethesda Spital AG,Basel,Basel-stadt,H,Diseases of the urinary tract and male genitalia,593
56,Bethesda Spital AG,Basel,Basel-stadt,I,"Diseases of the bones, joints, connective tissues",12249
57,Bethesda Spital AG,Basel,Basel-stadt,J,Complex conditions,169
58,Bethesda Spital AG,Basel,Basel-stadt,K,Skin disorders,35
59,CHUV Centre Hospitalier Universitaire Vaudois,Lausanne,Vaud,A,Cardiac diseases,82536
60,CHUV Centre Hospitalier Universitaire Vaudois,Lausanne,Vaud,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",29756
61,CHUV Centre Hospitalier Universitaire Vaudois,Lausanne,Vaud,C,Geriatric Medicine,3174
62,CHUV Centre Hospitalier Universitaire Vaudois,Lausanne,Vaud,D,Lung diseases,28293
63,CHUV Centre Hospitalier Universitaire Vaudois,Lausanne,Vaud,E,Diseases of the abdominal organs,15260
64,CHUV Centre Hospitalier Universitaire Vaudois,Lausanne,Vaud,F,Vascular Diseases,15705
65,CHUV Centre Hospitalier Universitaire Vaudois,Lausanne,Vaud,G,Gynecology and obstetrics,70942
66,CHUV Centre Hospitalier Universitaire Vaudois,Lausanne,Vaud,H,Diseases of the urinary tract and male genitalia,7440
67,CHUV Centre Hospitalier Universitaire Vaudois,Lausanne,Vaud,I,"Diseases of the bones, joints, connective tissues",19579
68,CHUV Centre Hospitalier Universitaire Vaudois,Lausanne,Vaud,J,Complex conditions,36641
69,CHUV Centre Hospitalier Universitaire Vaudois,Lausanne,Vaud,K,Skin disorders,1035
