ICD-10,Bezeichnung,age,value
201,Osteoarthritis,0-4,0.0
295,live births by place of birth,0-4,54357.0
242,Other complications during pregnancy and childbirth,0-4,0.0
274,Fractures of other parts of the extremities,0-4,465.0
169,Pneumonia,0-4,702.0
270,Other symptoms and abnormal clinical and laboratory findings not elsewhere classified,0-4,1902.0
288,"Certain early complications of trauma and complications of surgery and medical treatment, not elsewhere classified",0-4,208.0
116,mood disorders,0-4,0.0
206,Other diseases of the spine and back,0-4,24.0
239,Other care of the mother with regard to the fetus and the amniotic cavity and possible delivery complications,0-4,1.0
281,Other injuries to specified and unspecified and multiple body regions,0-4,1211.0
207,Diseases of the quail tissue,0-4,38.0
278,intracranial injury,0-4,2060.0
151,heart failure,0-4,19.0
273,Fracture of the Femur,0-4,126.0
154,Stroke,0-4,9.0
148,Other ischemic heart diseases,0-4,0.0
147,Acute myocardial infarction,0-4,0.0
150,conduction disorders and cardiac arrhythmias,0-4,72.0
195,Cholelithiasis and Chelezystitis,0-4,10.0
203,Other diseases of the joints,0-4,84.0
119,Other mental and behavioral disorders,0-4,65.0
113,Mental and behavioral disorders caused by alcohol,0-4,0.0
115,"Schizophrenia, schizotypal and delusional disorders",0-4,0.0
272,"Fracture of the neck, thorax or pelvis",0-4,10.0
213,Tubulointerstitial kidney disease,0-4,834.0
117,"Neurotic, stress and somatoform disorders",0-4,3.0
192,Other diseases of the intestine and peritoneum,0-4,197.0
096,Other in situ and benign neoplasms and neoplasms with uncertain or unknown behavior,0-4,172.0
205,Cervical and other disc damage,0-4,0.0
276,"Dislocation, sprain and strain of specified and multiple body regions",0-4,21.0
084,"Malignant neoplasm of other, imprecisely specified, secondary and unspecified localizations as well as at several localizations",0-4,27.0
217,Other diseases of the urinary system,0-4,251.0
186,Diseases of the Appendix,0-4,111.0
179,Other diseases of the respiratory system,0-4,461.0
152,Other heart diseases,0-4,42.0
017,Sepsis,0-4,51.0
187,inguinal hernia,0-4,386.0
191,Darmes diverticulosis,0-4,0.0
073,Malignant neoplasm of the mammary gland,0-4,0.0
215,Urolithiasis,0-4,8.0
188,Other Hrnia,0-4,31.0
253,Other conditions originating in the perinatal period,0-4,9455.0
202,Acquired deformities of the extremities,0-4,11.0
175,"Bronchitis, emphysema and other chronic obstructive pulmonary diseases",0-4,16.0
249,Other neonatal respiratory diseases originating in the perinatal period,0-4,8778.0
067,"Malignant neoplasm of the trachea, bronchi and lungs",0-4,0.0
129,Other diseases of the nervous system,0-4,226.0
246,intrauterine deficiency development. fetal malnutrition and disorders associated with short gestation and low birth weight,0-4,8252.0
079,Malignant neoplasm of the urinary bladder,0-4,0.0
198,Skin and subcutaneous infections,0-4,365.0
157,atherosclerosis,0-4,0.0
218,Prostatahyperplasie,0-4,0.0
077,Malignant neoplasm of the prostate,0-4,0.0
124,epilepsy,0-4,502.0
208,Changes in crook density and structure,0-4,15.0
190,Paralytic ileus and mechanical ileus without hernia,0-4,125.0
104,Mellitus diabetes,0-4,89.0
172,Other diseases of the nose and paranasal sinuses,0-4,9.0
114,Mental and behavioral disorders caused by other psychotropic substances,0-4,0.0
197,Other diseases of the digestive system,0-4,82.0
199,Other skin and subcutaneous diseases,0-4,117.0
210,Other diseases of the musculoskeletal system and connective tissue,0-4,8.0
018,Other bacterial diseases,0-4,78.0
006,Other infectious intestinal diseases,0-4,605.0
153,intracranial hemorrhage,0-4,9.0
149,pulmonary embolism,0-4,1.0
111,Other endocrine. Nutritional and metabolic disorders,0-4,161.0
170,Acute bronchitis and acute bronchiolitis,0-4,3911.0
061,Malignant neoplasm of the colon,0-4,11.0
160,"Other diseases of the arteries, arterioles and capillaries",0-4,3.0
092,Leiomyom des Uterus,0-4,0.0
126,Cerebral Transient Ischemic Attacks and Related Syndromes,0-4,0.0
142,Other diseases of the ear and mastoid process,0-4,22.0
173,Chronic diseases of the tonsils and pharyngeal tonsils,0-4,811.0
164,Other diseases of the circulatory system,0-4,21.0
185,"Other diseases of the esophagus, stomach and duodenum",0-4,276.0
196,Acute pancreatitis and other diseases of the pancreas,0-4,3.0
214,renal insufficiency,0-4,11.0
297,People who use the health service for the purpose of specific measures and medical care,0-4,948.0
086,Non-Hodgkin's Lymphoma,0-4,9.0
243,Spontaneous birth of an individual,0-4,0.0
109,obesity,0-4,2.0
064,Malignant neoplasm of the pancreas,0-4,0.0
244,Complications occurring predominantly in the puerperium and other conditions during the gestational period not elsewhere classified,0-4,0.0
227,endometriosis,0-4,0.0
267,abdominal and pelvic pain,0-4,86.0
233,Other diseases of the genitourinary system,0-4,10.0
062,"Malignant neoplasm of the rectosigmoid, rectum, anus and anal canal",0-4,0.0
005,"Diarrhea and gastroenteritis, presumably of infectious origin",0-4,364.0
298,People who use the healthcare system for other reasons,0-4,1386.0
240,birth impediment,0-4,0.0
271,Fracture of the skull and facial bones,0-4,218.0
139,Other diseases of the eye and adnexa,0-4,64.0
228,Female genital prolapse,0-4,0.0
127,"Diseases of nerves, nerve roots and nerve plexus",0-4,6.0
168,Flu,0-4,427.0
200,Chronic polyarthritis and other inflammatory polyarthropathies,0-4,32.0
058,"Malignant neoplasm of the lip, oral cavity and pharynx",0-4,1.0
121,Primary Parkinson's Syndrome,0-4,0.0
087,leukemia,0-4,228.0
156,Other cerebrovascular diseases,0-4,23.0
167,Other acute upper respiratory tract infections,0-4,1069.0
241,postpartum hemorrhage,0-4,0.0
279,Injury to other internal organs,0-4,50.0
183,Ulcer ventriculi and Ulcus duodeni,0-4,2.0
145,Essential (primary) hypertension,0-4,0.0
093,Benign neoplasm of the ovary,0-4,2.0
063,Malignant neoplasm of the liver and intrahepatic bile ducts,0-4,57.0
229,"Non-inflammatory diseases of the ovary, uterine tube and ligament latum",0-4,7.0
080,Other malignant neoplasms of the urinary organs,0-4,28.0
171,Chronic sinusitis,0-4,0.0
076,Other malignant neoplasms of the female genital organs,0-4,1.0
174,Other diseases of the upper respiratory tract,0-4,121.0
134,Retinal detachment and retinal tear,0-4,1.0
082,Malignant neoplasm of the brain,0-4,121.0
162,Varicose veins of the lower extremities,0-4,0.0
194,Other diseases of the liver,0-4,10.0
112,dementia,0-4,0.0
128,Cerebral palsy and other paralytic syndromes,0-4,22.0
060,Malignant neoplasm of the stomach,0-4,0.0
268,Fever of unknown cause,0-4,357.0
088,"Other malignant neoplasms of the lymphatic, haematopoietic and related tissues",0-4,8.0
176,Bronchial asthma,0-4,140.0
222,Other diseases of the male genital organs,0-4,37.0
256,Congenital malformations of the circulatory system,0-4,914.0
184,gastritis and duodenitis,0-4,16.0
041,Other viral diseases,0-4,426.0
237,"Edema, proteinuria and hypertension during pregnancy, labor and the puerperium",0-4,0.0
284,"Poisoning by medicinal products, drugs and biologically active substances",0-4,39.0
193,Alcoholic Liver Disease,0-4,0.0
238,"Placenta previa, placental abruption and prepartum hemorrhage",0-4,0.0
216,Zystitis,0-4,11.0
236,Other pregnancy with abortive outcome,0-4,0.0
099,Hemorrhagic diathesis and other diseases of the blood and blood-forming organs,0-4,111.0
072,Malignant neoplasms of mesothelial tissue and soft tissue,0-4,105.0
122,Alzheimer's disease,0-4,0.0
103,Other diseases of the thyroid,0-4,2.0
182,"Other diseases of the oral cavity, salivary glands and jaws",0-4,38.0
133,Cataract and other affections of the lens,0-4,5.0
204,Systemic diseases of the connective tissue,0-4,63.0
146,Other hypertensive diseases,0-4,3.0
287,Other and unspecified damage caused by external causes,0-4,194.0
189,Crohn's disease and ulcerative colitis,0-4,7.0
135,glaucoma,0-4,2.0
071,Other malignant neoplasms of the skin,0-4,0.0
098,Other anemias,0-4,81.0
097,iron deficiency anemia,0-4,24.0
125,Migraine and other headache syndromes,0-4,3.0
057,Other infectious and parasitic diseases,0-4,76.0
140,Otitis media and other diseases of the middle ear and the mastoid process,0-4,133.0
223,diseases of the mammary glands,0-4,17.0
065,Other malignant neoplasms of the digestive organs,0-4,0.0
075,Malignant neoplasm of other and unspecified parts of the uterus,0-4,0.0
123,Multiple Sclerosis,0-4,0.0
261,Other malformations of the urogenital system,0-4,1025.0
159,Arterial embolism and thrombosis,0-4,0.0
209,Osteomyelitis,0-4,73.0
059,Malignant neoplasm of the esophagus,0-4,0.0
220,hydrocele and spermatocele,0-4,13.0
248,Intrauterine hypoxia and asphyxia during childbirth,0-4,1390.0
219,Other diseases of the prostate,0-4,0.0
070,Malignant melanoma of the skin,0-4,0.0
290,People who use the healthcare system for examination and clarification,0-4,326.0
264,Other congenital malformations and deformities of the musculoskeletal system,0-4,492.0
165,Acute pharyngitis and acute tonsillitis,0-4,170.0
102,Hyperthyroidism (Thyrotoxicosis),0-4,1.0
296,Postpartum care and examination,0-4,1.0
265,Other congenital malformations,0-4,428.0
181,Other diseases of the teeth and periodontium,0-4,22.0
078,Other malignant neoplasms of the male genital organs,0-4,0.0
283,burns and chemical burns,0-4,280.0
161,"Phlebitis, thrombophlebitis, venous embolism and thrombosis",0-4,9.0
120,Inflammatory diseases of the central nervous system,0-4,54.0
230,menstrual disorders,0-4,0.0
282,Consequences of entering a foreign body through a natural orifice,0-4,226.0
034,Varicella [chicken pox] and zoster,0-4,25.0
