Jahr,ICD-10 Kode,Unnamed: 2,N,DAD,S.A,Min,Max,5,10,25,50,75,90,95
2020.0,bit0,"Singleton, hospital birth",53529.0,3.0192979506,1.1018512128,0.0,25.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0
2020.0,C 128,Pneumonia caused by other viruses,22160.0,10.016290614,8.7040201899,0.0,154.0,1.0,2.0,4.0,8.0,13.0,20.0,27.0
2020.0,M161,Other primary coxarthrosis,15386.0,7.8245157936,6.171233298,0.0,76.0,3.0,3.0,4.0,6.0,9.0,17.0,20.0
2020.0,M171,Other primary gonarthrosis,15111.0,8.8193369069,6.3853882141,0.0,107.0,3.0,4.0,5.0,6.0,11.0,19.0,20.0
2020.0,S060,concussion,13600.0,1.8327205882,3.3864121558,0.0,171.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0
2020.0,I214,Acute subendocardial myocardial infarction,10337.0,6.0070620103,7.2646809061,0.0,147.0,0.0,1.0,2.0,3.0,8.0,16.0,20.0
2020.0,I5001,Secondary right heart failure,10332.0,11.068912118,8.4838492359,0.0,166.0,2.0,3.0,6.0,9.0,14.0,21.0,27.0
2020.0,M511,Lumbar and other disc damage with radiculopathy,8768.0,6.2470346715,8.8056912734,0.0,622.0,2.0,2.0,3.0,4.0,7.0,13.0,19.0
2020.0,M4806,Spinalstenose : Lumbalbereich,8393.0,8.9593709043,13.769834232,0.0,1064.0,2.0,3.0,4.0,6.0,11.0,20.0,24.0
2020.0,O680,Complications of labor and delivery from abnormal fetal heart rate,8351.0,4.0153275057,1.7891903658,0.0,39.0,2.0,2.0,3.0,4.0,5.0,6.0,7.0
2020.0,N40,Prostatahyperplasie,8098.0,3.8762657446,2.6121862757,0.0,46.0,2.0,2.0,3.0,3.0,4.0,6.0,8.0
2020.0,act1,"Recurrent depressive disorder, currently moderate episode",8033.0,32.76111042,24.985664642,0.0,400.0,3.0,5.0,13.0,29.0,46.0,62.0,78.0
2020.0,h00,Perineal tear of the first degree during childbirth,7914.0,3.0024008087,1.1573399072,0.0,15.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0
2020.0,C61,Malignant neoplasm of the prostate,7900.0,6.4067088608,6.2172575126,0.0,77.0,1.0,2.0,3.0,5.0,7.0,12.0,18.0
2020.0,O701,Second degree perineal tear during childbirth,7587.0,3.1030710426,1.1219708873,0.0,10.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0
2020.0,M751,Rotator cuff lesions,7544.0,3.1557529162,3.1879976407,0.0,56.0,1.0,2.0,2.0,3.0,3.0,4.0,6.0
2020.0,F102,Alcohol-related disorders : Dependency Syndrome,7123.0,28.65042819,32.792377348,0.0,405.0,1.0,3.0,7.0,19.0,36.0,71.0,96.0
2020.0,K8010,Gallbladder stone with other cholecystitis: no indication of bile duct obstruction,7109.0,2.8804332536,3.0360423609,0.0,94.0,1.0,1.0,2.0,2.0,3.0,5.0,7.0
2020.0,s0,"Urinary tract infection, location unspecified",6908.0,6.5199768384,5.3623345658,0.0,125.0,1.0,2.0,3.0,5.0,8.0,13.0,16.0
2020.0,F200,Paranoid schizophrenia,6536.0,60.687882497,309.25194026,0.0,16177.0,0.0,1.0,7.0,21.0,46.0,89.0,141.0
2020.0,and obey1,Protracted ejection period (at birth),6298.0,3.7310257225,1.4116485819,0.0,21.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0
2020.0,J181,"Lobar pneumonia, unspecified",6047.0,8.2382999835,6.6098395179,0.0,73.0,1.0,2.0,4.0,7.0,10.0,16.0,21.0
2020.0,42,Care of the mother with a uterine scar from previous surgical intervention,6020.0,3.7669435216,1.2988436434,0.0,30.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0
2020.0,I634,Cerebral infarction due to embolism of intracranial arteries,6003.0,12.948858904,16.846372998,0.0,274.0,1.0,2.0,4.0,7.0,15.0,29.0,47.0
2020.0,bruise,Other and unspecified disorders of gait and mobility,5850.0,14.661196581,9.8491311345,0.0,182.0,3.0,5.0,8.0,13.0,19.0,27.0,33.0
2020.0,roar,Sprain and strain of the knee joint: tear of the anterior cruciate ligament,5784.0,3.0442600277,3.0880409306,1.0,94.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0
2020.0,m 179,"Gonarthrosis, unspecified",5773.0,7.8728564005,5.7991724712,0.0,102.0,3.0,4.0,5.0,6.0,9.0,14.0,20.0
2020.0,kh13,Atherosclerotic heart disease: three-vessel disease,5710.0,7.754290718,9.0215897784,0.0,116.0,1.0,1.0,1.0,2.0,13.0,20.0,26.0
2020.0,F321,Moderate depressive episode,5692.0,29.863316936,28.762088168,0.0,630.0,1.0,3.0,8.0,24.0,42.0,59.0,77.0
2020.0,J42,nasal septal deviation,5671.0,2.0059954153,0.6245698563,0.0,16.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0
2020.0,N132,Hydronephrosis in kidney and ureteral stone obstruction,5566.0,2.2917714696,1.9320051422,0.0,52.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0
2020.0,M201,Hallux valgus (acquired),5203.0,2.5677493754,2.2997612979,1.0,93.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0
2020.0,F100,Alcohol disorders : acute intoxication,5161.0,5.1501646968,10.718749623,0.0,127.0,0.0,0.0,1.0,1.0,4.0,13.0,27.0
2020.0,К4020,"Bilateral inguinal hernia, without herniation and without gangrene: Not referred to as a recurrent hernia",5082.0,1.8421881149,1.1620715668,0.0,25.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0
2020.0,feed,Cerebral infarction due to unspecified occlusion or stenosis of intracranial arteries,4954.0,14.755349213,19.848159139,0.0,216.0,0.0,2.0,4.0,7.0,18.0,38.0,55.0
2020.0,N201,Ureterstein,4937.0,1.9933157788,1.6315107334,0.0,23.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0
2020.0,I5014,Left ventricular failure: With symptoms at rest,4695.0,9.8534611289,10.444990331,0.0,365.0,1.0,2.0,5.0,8.0,13.0,20.0,25.0
2020.0,N10,Akute tubulointerstitielle Nephritis,4627.0,6.0073481738,5.3306524991,0.0,62.0,1.0,2.0,3.0,4.0,7.0,11.0,16.0
2020.0,as a joke,"Diverticulitis of the colon without perforation, abscess, or evidence of bleeding",4597.0,5.1250815749,4.5081658357,0.0,72.0,2.0,2.0,3.0,4.0,6.0,9.0,13.0
2020.0,as a chuckle,"Acute appendicitis, unspecified",4591.0,2.1838379438,1.5971680258,0.0,37.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0
2020.0,effective,"Recurrent depressive disorder, currently severe episode without psychotic symptoms",4587.0,41.91410508,34.355165554,0.0,445.0,2.0,5.0,17.0,36.0,57.0,84.0,105.0
2020.0,K8000,Gallbladder stone with acute cholecystitis: No indication of bile duct obstruction,4462.0,5.0804571941,4.7227104181,0.0,56.0,1.0,2.0,2.0,4.0,6.0,10.0,14.0
2020.0,M 169,"Coxarthrosis, unspecified",4423.0,7.8813022835,7.3204218555,0.0,256.0,3.0,3.0,4.0,6.0,9.0,17.0,20.0
2020.0,S7210,Pertrochanteric fracture : closed,4385.0,13.294412771,10.202231055,0.0,157.0,2.0,4.0,6.0,10.0,19.0,27.0,33.0
2020.0,F432,Adjustment disorders,4383.0,14.596851472,19.244580147,0.0,330.0,1.0,1.0,3.0,7.0,20.0,38.0,49.0
2020.0,I480,atrial flutter,4325.0,3.3969942197,4.2819609822,0.0,57.0,1.0,1.0,1.0,2.0,3.0,7.0,11.0
2020.0,O80,Spontaneous birth of an individual,4285.0,2.6919486581,1.0291471441,0.0,10.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0
2020.0,kakha 0,Acute appendicitis with localized peritonitis without perforation or rupture,4242.0,2.4222065064,1.7011326897,0.0,31.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0
2020.0,S460,Injury to a rotator cuff tendon,4188.0,3.0475167144,2.8247745692,1.0,78.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0
2020.0,I350,Aortic valve stenosis,4132.0,9.8632623427,8.7415864481,0.0,220.0,1.0,1.0,4.0,8.0,14.0,20.0,26.0
2020.0,s01,Femoral neck fracture : open,4086.0,11.719285365,8.6926159285,0.0,98.0,3.0,4.0,6.0,9.0,16.0,22.0,28.0
2020.0,P051,Newborns too small for gestational age,4062.0,3.223042836,2.1485077365,0.0,85.0,1.0,2.0,2.0,3.0,4.0,5.0,5.0
2020.0,C341,Malignant neoplasm of the lungs or bronchus in the upper lobe,3996.0,10.48998999,10.324189363,0.0,151.0,1.0,2.0,4.0,8.0,14.0,22.0,29.0
2020.0,48,"Other complications from orthopedic endoprostheses, implants or transplants",3982.0,3.1574585635,4.4335013316,0.0,77.0,1.0,1.0,1.0,2.0,3.0,7.0,10.0
2020.0,A419,"Sepsis, unspecified",3940.0,10.150507614,9.8355060485,0.0,134.0,1.0,1.0,4.0,8.0,13.0,20.0,28.0
2020.0,pronounce,Pulmonary embolism without indication of acute cor pulmonale,3844.0,6.6329344433,6.4794370493,0.0,79.0,1.0,1.0,3.0,5.0,8.0,15.0,20.0
2020.0,slack,syncope and collapse,3768.0,3.4832802548,3.9931899374,0.0,46.0,1.0,1.0,1.0,2.0,4.0,7.0,11.0
2020.0,Ο420,"Premature rupture of membranes, labor starts within 24 hours",3629.0,3.497657757,1.5142860755,0.0,28.0,1.0,2.0,3.0,3.0,4.0,5.0,6.0
2020.0,I211,Acute transmural myocardial infarction of the posterior wall,3622.0,5.8961899503,6.8382295138,0.0,92.0,0.0,0.0,2.0,4.0,7.0,16.0,20.0
2020.0,squawk,Distal fracture of the radius: other and multiple parts,3536.0,3.2845022624,5.6725795385,0.0,112.0,1.0,1.0,1.0,2.0,3.0,6.0,10.0
2020.0,P228,Other respiratory distress in the newborn,3421.0,3.7869044139,5.3878152902,0.0,128.0,0.0,1.0,2.0,3.0,4.0,5.0,7.0
2020.0,K4090,"Hernia inguinalis, unilateral or without indication of side, without herniation and without gangrene: Not classified as recurrent hernia",3368.0,2.1730997625,4.4352612408,0.0,213.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0
2020.0,F6031,Emotionally unstable personality disorder: borderline type,3367.0,26.327591328,42.971496539,0.0,1460.0,0.0,1.0,4.0,13.0,35.0,70.0,90.0
2020.0,I210,Acute transmural myocardial infarction of the anterior wall,3316.0,7.0992159228,7.702076231,0.0,74.0,0.0,1.0,2.0,4.0,9.0,19.0,21.0
2020.0,S7211,Pertrochanteric fracture : open,3254.0,14.695759066,11.44393572,0.0,99.0,3.0,4.0,7.0,11.0,20.0,30.0,37.0
2020.0,A46,Erysipel [Wundrose],3163.0,6.7186215618,5.5483491909,0.0,76.0,2.0,2.0,3.0,5.0,8.0,13.0,17.0
2020.0,F103,Alcohol Disorders: Withdrawal Syndrome,3071.0,20.093129274,22.70003634,0.0,182.0,2.0,3.0,6.0,13.0,24.0,45.0,68.0
2020.0,N200,kidney stone,3050.0,2.4960655738,2.9419023385,0.0,72.0,1.0,1.0,1.0,2.0,3.0,4.0,7.0
2020.0,disobedience,Major depressive episode without psychotic symptoms,3045.0,31.351067323,31.944287229,0.0,330.0,0.0,1.0,7.0,22.0,46.0,71.0,93.0
2020.0,as a person,"Diverticulitis of the colon with perforation and abscess, without indication of bleeding",3044.0,9.3984888305,8.7717174841,0.0,102.0,2.0,3.0,4.0,6.0,12.0,20.0,26.0
2020.0,I2512,Atherosclerotic heart disease: two-vessel disease,3002.0,4.2215189873,6.9340130116,0.0,105.0,1.0,1.0,1.0,1.0,3.0,14.0,20.0
2020.0,p221,Transient tachypnea in the newborn,2975.0,7.1791596639,9.7455783414,0.0,221.0,1.0,2.0,3.0,4.0,7.0,18.0,26.0
2020.0,I638,Other cerebral infarction,2916.0,14.875514403,20.842970949,0.0,373.0,1.0,2.0,4.0,8.0,18.0,36.0,52.0
2020.0,C20,Malignant neoplasm of the rectum,2838.0,11.184989429,11.252820593,0.0,140.0,1.0,2.0,4.0,8.0,14.0,23.0,32.0
2020.0,C504,Malignant neoplasm in the upper outer quadrant of the mammary gland,2704.0,4.238535503,4.7940625119,0.0,69.0,1.0,1.0,2.0,3.0,5.0,7.0,11.0
2020.0,O321,Care of the mother for breech presentation,2702.0,3.8982235381,1.2489182988,0.0,17.0,2.0,3.0,3.0,4.0,5.0,5.0,6.0
2020.0,S826,fracture of the lateral malleolus,2693.0,5.5532862978,6.868527709,0.0,84.0,1.0,1.0,2.0,3.0,6.0,12.0,17.0
2020.0,I7022,"Atherosclerosis of the arteries of the extremities: pelvic-leg type, with pain at rest",2682.0,4.0995525727,6.0443598101,0.0,109.0,1.0,1.0,2.0,2.0,4.0,9.0,13.0
2020.0,M 175,Other secondary gonarthrosis,2664.0,7.5630630631,5.720600867,0.0,65.0,3.0,3.0,4.0,6.0,8.0,14.0,20.0
2020.0,C509,"Malignant neoplasm of the mammary gland, unspecified",2636.0,7.596737481,10.022523628,0.0,234.0,1.0,1.0,2.0,4.0,9.0,18.0,25.0
2020.0,brain12,Other specified disc displacement,2632.0,6.5721884498,6.547382607,0.0,105.0,2.0,2.0,3.0,4.0,8.0,14.0,20.0
2020.0,I200,Unstable angina pectoris,2611.0,3.5833014171,4.8038391392,0.0,58.0,1.0,1.0,1.0,2.0,4.0,9.0,13.0
2020.0,S065,Traumatic subdural hemorrhage,2594.0,11.101387818,18.188373861,0.0,352.0,0.0,1.0,2.0,6.0,13.0,25.0,36.0
2020.0,A418,Other specified sepsis,2578.0,12.474786656,11.515993521,0.0,143.0,1.0,3.0,5.0,9.0,16.0,26.0,34.0
2020.0,laughed,Benign neoplasm of the ovary,2569.0,2.475282211,2.3069278384,1.0,44.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0
2020.0,A099,Other and unspecified gastroenteritis and colitis of unspecified origin,2548.0,3.8394819466,4.2743263528,0.0,71.0,1.0,1.0,1.0,2.0,5.0,8.0,12.0
2020.0,I5013,Left ventricular failure: With symptoms at lighter loads,2521.0,8.7211424038,7.3305450086,0.0,78.0,1.0,2.0,4.0,7.0,11.0,17.0,22.0
2020.0,K432,Incisional hernia without herniation and without gangrene,2518.0,5.6322478157,6.0155229432,1.0,96.0,1.0,2.0,2.0,4.0,7.0,11.0,15.0
2020.0,F051,delirium in dementia,2485.0,21.765794769,23.602328795,0.0,270.0,1.0,2.0,6.0,14.0,30.0,51.0,69.0
2020.0,C 188,"Other pneumonia, causative agent unspecified",2466.0,8.395782644,6.5740813884,0.0,61.0,1.0,2.0,4.0,7.0,11.0,17.0,20.0
2020.0,S526,"Distal fracture of the ulna and radius, combined",2440.0,3.3700819672,5.4960873922,0.0,135.0,1.0,1.0,1.0,2.0,3.0,7.0,11.0
