Jahr,ICD-10 Kode,Unnamed: 2,N,DAD,S.A,Min,Max,5,10,25,50,75,90,95
2020.0,C 128,Pneumonia caused by other viruses,9200.0,8.8202173913,8.4851317342,0.0,154.0,1.0,2.0,4.0,7.0,11.0,18.0,24.0
2020.0,M171,Other primary gonarthrosis,6454.0,7.2330337775,5.3951771944,1.0,107.0,3.0,3.0,4.0,6.0,7.0,13.0,20.0
2020.0,M161,Other primary coxarthrosis,6173.0,5.8255305362,4.360665971,1.0,64.0,3.0,3.0,4.0,5.0,6.0,9.0,13.0
2020.0,M751,Rotator cuff lesions,5883.0,2.8903620602,2.6488429893,0.0,55.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0
2020.0,M511,Lumbar and other disc damage with radiculopathy,4936.0,5.6002836305,10.084127984,0.0,622.0,2.0,2.0,3.0,4.0,6.0,10.0,15.0
2020.0,F102,Alcohol-related disorders : Dependency Syndrome,4865.0,28.285097636,31.50733379,0.0,405.0,1.0,3.0,7.0,18.0,36.0,70.0,92.0
2020.0,act1,"Recurrent depressive disorder, currently moderate episode",4671.0,33.572254335,23.576180064,0.0,189.0,3.0,6.0,15.0,32.0,46.0,61.0,76.0
2020.0,I214,Acute subendocardial myocardial infarction,4561.0,4.9454067091,6.5790971203,0.0,147.0,0.0,1.0,1.0,3.0,6.0,13.0,19.0
2020.0,K8010,Gallbladder stone with other cholecystitis: no indication of bile duct obstruction,3952.0,2.6285425101,2.7959682984,0.0,94.0,1.0,1.0,2.0,2.0,3.0,4.0,6.0
2020.0,N40,Prostatahyperplasie,3677.0,3.4343214577,1.7913002062,0.0,29.0,2.0,2.0,3.0,3.0,4.0,5.0,7.0
2020.0,S460,Injury to a rotator cuff tendon,3525.0,2.9367375887,2.5673058175,1.0,78.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0
2020.0,C61,Malignant neoplasm of the prostate,3483.0,5.698535745,4.8990223542,0.0,68.0,1.0,2.0,3.0,5.0,7.0,9.0,12.0
2020.0,N132,Hydronephrosis in kidney and ureteral stone obstruction,3402.0,2.1781305115,1.5569227664,0.0,17.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0
