City,disease_group,canton_name,num_cases2014_2019,mortality
Aarau,Abdominal organs disease,Aargau,10.0,1
Aarau,Abdominal organs disease,Aargau,100.0,1
Aarau,Abdominal organs disease,Aargau,105.0,1
Aarau,Abdominal organs disease,Aargau,108.0,1
Aarau,Abdominal organs disease,Aargau,11.0,1
Aarau,Abdominal organs disease,Aargau,1122.0,1
Aarau,Abdominal organs disease,Aargau,1138.0,0
Aarau,Abdominal organs disease,Aargau,1150.0,0
Aarau,Abdominal organs disease,Aargau,116.0,1
Aarau,Abdominal organs disease,Aargau,118.0,0
Aarau,Abdominal organs disease,Aargau,121.0,0
Aarau,Abdominal organs disease,Aargau,125.0,1
Aarau,Abdominal organs disease,Aargau,1261.0,1
Aarau,Abdominal organs disease,Aargau,1345.0,0
Aarau,Abdominal organs disease,Aargau,144.0,1
Aarau,Abdominal organs disease,Aargau,156.0,0
Aarau,Abdominal organs disease,Aargau,16.0,0
Aarau,Abdominal organs disease,Aargau,162.0,0
Aarau,Abdominal organs disease,Aargau,169.0,1
Aarau,Abdominal organs disease,Aargau,17.0,1
Aarau,Abdominal organs disease,Aargau,185.0,1
Aarau,Abdominal organs disease,Aargau,19.0,1
Aarau,Abdominal organs disease,Aargau,1922.0,1
Aarau,Abdominal organs disease,Aargau,1925.0,1
Aarau,Abdominal organs disease,Aargau,203.0,0
Aarau,Abdominal organs disease,Aargau,228.0,1
Aarau,Abdominal organs disease,Aargau,239.0,1
Aarau,Abdominal organs disease,Aargau,24.0,0
Aarau,Abdominal organs disease,Aargau,26.0,1
Aarau,Abdominal organs disease,Aargau,267.0,1
Aarau,Abdominal organs disease,Aargau,275.0,0
Aarau,Abdominal organs disease,Aargau,3.0,0
Aarau,Abdominal organs disease,Aargau,30.0,1
Aarau,Abdominal organs disease,Aargau,31.0,1
Aarau,Abdominal organs disease,Aargau,33.0,1
Aarau,Abdominal organs disease,Aargau,333.0,1
Aarau,Abdominal organs disease,Aargau,336.0,0
Aarau,Abdominal organs disease,Aargau,346.0,1
Aarau,Abdominal organs disease,Aargau,36.0,2
Aarau,Abdominal organs disease,Aargau,39.0,1
Aarau,Abdominal organs disease,Aargau,4.0,1
Aarau,Abdominal organs disease,Aargau,415.0,1
Aarau,Abdominal organs disease,Aargau,43.0,1
Aarau,Abdominal organs disease,Aargau,434.0,0
Aarau,Abdominal organs disease,Aargau,45.0,1
Aarau,Abdominal organs disease,Aargau,46.0,1
Aarau,Abdominal organs disease,Aargau,5.0,1
Aarau,Abdominal organs disease,Aargau,50.0,1
Aarau,Abdominal organs disease,Aargau,511.0,0
Aarau,Abdominal organs disease,Aargau,55.0,1
Aarau,Abdominal organs disease,Aargau,56.0,1
Aarau,Abdominal organs disease,Aargau,586.0,0
Aarau,Abdominal organs disease,Aargau,6.0,0
Aarau,Abdominal organs disease,Aargau,647.0,0
Aarau,Abdominal organs disease,Aargau,65.0,2
Aarau,Abdominal organs disease,Aargau,67.0,1
Aarau,Abdominal organs disease,Aargau,7.0,1
Aarau,Abdominal organs disease,Aargau,80.0,1
Aarau,Abdominal organs disease,Aargau,812.0,0
Aarau,Abdominal organs disease,Aargau,83.0,1
Aarau,Abdominal organs disease,Aargau,849.0,0
Aarau,Abdominal organs disease,Aargau,850.0,1
Aarau,Abdominal organs disease,Aargau,88.0,1
Aarau,Abdominal organs disease,Aargau,9.0,0
Aarau,Abdominal organs disease,Aargau,91.0,1
Aarau,Abdominal organs disease,Aargau,914.0,1
Aarau,Abdominal organs disease,Aargau,92.0,2
Aarau,Abdominal organs disease,Aargau,97.0,1
Aarau,Abdominal organs disease,Aargau,974.0,0
Aarau,Abdominal organs disease,Aargau,False,0
Aarau,Abdominal organs disease,Aargau,True,0
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,100.0,1
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,1038.0,1
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,108.0,0
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,1111.0,1
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,1144.0,0
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,1169.0,0
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,1180.0,0
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,12.0,1
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,1221.0,1
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,127.0,1
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,13.0,3
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,1331.0,1
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,135.0,1
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,136.0,1
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,1383.0,0
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,1387.0,1
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,14.0,0
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,144.0,1
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,147.0,1
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,1536.0,1
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,1576.0,1
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,16.0,0
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,166.0,1
Aarau,"Diseases of the bones, joints, connective tissues",Aargau,173.0,1
