ICD-10,Bezeichnung,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95+,Total
242,Other complications during pregnancy and childbirth,0.0,0.0,0.0,277.0,3469.0,12846.0,20097.0,11210.0,2233.0,124.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50264.0
201,Osteoarthritis,0.0,0.0,4.0,14.0,32.0,48.0,61.0,131.0,310.0,668.0,1679.0,2725.0,3663.0,4403.0,5991.0,6172.0,4217.0,1961.0,480.0,74.0,32633.0
295,live births by place of birth,27127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27127.0
239,Other care of the mother with regard to the fetus and the amniotic cavity and possible delivery complications,0.0,0.0,1.0,104.0,1298.0,5736.0,10105.0,6841.0,1690.0,134.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25917.0
274,Fractures of other parts of the extremities,194.0,712.0,671.0,337.0,477.0,598.0,640.0,653.0,685.0,980.0,1557.0,2123.0,2089.0,2055.0,2180.0,2142.0,1954.0,1720.0,890.0,270.0,22927.0
270,Other symptoms and abnormal clinical and laboratory findings not elsewhere classified,872.0,135.0,329.0,490.0,375.0,370.0,400.0,436.0,472.0,577.0,755.0,799.0,859.0,943.0,1481.0,2128.0,2648.0,2968.0,1747.0,556.0,19340.0
116,mood disorders,0.0,4.0,483.0,1469.0,913.0,980.0,976.0,1153.0,1402.0,1595.0,1971.0,1875.0,1304.0,970.0,856.0,718.0,547.0,269.0,92.0,11.0,17588.0
206,Other diseases of the spine and back,13.0,18.0,97.0,98.0,60.0,132.0,184.0,271.0,389.0,597.0,945.0,1094.0,1153.0,1342.0,2188.0,2618.0,2429.0,1425.0,489.0,92.0,15634.0
169,Pneumonia,336.0,104.0,37.0,45.0,57.0,104.0,166.0,221.0,305.0,477.0,724.0,957.0,1141.0,1257.0,1636.0,2025.0,2182.0,2239.0,1190.0,369.0,15572.0
288,"Certain early complications of trauma and complications of surgery and medical treatment, not elsewhere classified",79.0,61.0,76.0,210.0,309.0,343.0,395.0,520.0,659.0,745.0,1127.0,1332.0,1476.0,1500.0,1733.0,1895.0,1450.0,1026.0,389.0,91.0,15416.0
