canton,gender_male,gender_female
Schweiz,45810,43592
Zürich,8767,8514
Bern,5310,4924
Luzern,2243,2208
Uri,205,213
Schwyz,870,819
Obwalden,182,162
Nidwalden,183,194
Glarus,192,204
Zug,718,652
Freiburg,1909,1814
Solothurn,1449,1343
Basel-Stadt,1032,1010
Basel-Landschaft,1325,1308
Schaffhausen,423,387
Appenzell A.Rh.,284,291
Appenzell I.Rh.,94,77
St. Gallen,2757,2667
Graubünden,941,847
Aargau,3819,3602
Thurgau,1557,1459
Tessin,1302,1249
Waadt,4583,4266
Wallis,1716,1689
Neuenburg,880,809
Genf,2697,2535
Jura,372,349
Quelle: BEVNAT,0,0
© BFS,0,0
Stand am 25.02.2022,0,0
0,0,0
"Auskunft: Bundesamt für Statistik (BFS), Sektion Demografie und Migration, info.dem@bfs.admin.ch, Tel. 058 463 67 11",0,0
