region,General hospitals Center Care Inpatient Rate,General hospitals day care Rate,General hospitals total rate,General hospitals Primary care Inpatient Rate,General hospitals Primary care day care Rate,General hospitals Primary care total rate,Specialty Clinics SC psychiatric Inpatient Rate,Specialty Clinics psychiatric day care Rate,Specialty Clinics psychiatric total rate,Specialty Clinics psychiatric Reahbilitation Inpatient rate,Specialty Clinics psychiatric Reahbilitation day care Rate,Specialty Clinics psychiatric Reahbilitation total rate,Other Specialty Clinics Inpatient Rate,Other Specialty Clinics day care Rate,Other Specialty Clinics total rate,Total hospitals Inpatient Rate,Total hospitals day care Rate,Total hospitals total rate,year
Total,54.5,15.7,70.1,63.3,18.9,82.2,6.5,0.3,6.8,6.0,0.5,6.5,12.4,4.7,17.1,142.7,40.0,182.7,2001.0
Genferseeregion,49.1,56.9,106.0,63.7,32.4,96.1,8.2,0.1,8.2,5.1,0.6,5.7,12.0,11.6,23.6,138.0,101.6,239.6,2001.0
Waadt,37.6,9.6,47.2,84.5,46.8,131.2,8.9,0.0,8.9,3.7,0.4,4.1,9.6,11.4,21.0,144.3,68.1,212.4,2001.0
Wallis,41.7,2.5,44.2,83.2,29.0,112.2,3.5,0.2,3.7,9.1,1.5,10.6,7.1,1.0,8.1,144.5,34.3,178.8,2001.0
Genf,71.4,165.4,236.8,19.1,13.0,32.0,10.2,0.0,10.2,4.5,0.4,4.9,18.9,19.1,38.0,124.0,197.8,321.8,2001.0
Espace Mittelland,54.8,15.7,70.5,79.5,26.4,105.9,6.0,0.3,6.3,5.1,0.5,5.7,7.8,4.1,11.8,153.2,167.2,200.2,2001.0
Bern,43.5,22.7,66.2,85.1,37.2,122.3,5.4,0.5,5.9,6.3,0.5,6.8,6.9,5.8,12.6,147.1,66.7,213.9,2001.0
Freiburg,58.4,12.8,71.2,78.3,9.5,87.8,6.7,0.0,6.7,2.6,1.0,3.6,9.1,1.1,10.2,155.1,24.5,179.6,2001.0
Solothurn,61.2,3.0,64.2,75.5,7.9,83.4,5.1,0.1,5.2,4.2,0.3,4.5,7.3,1.5,8.8,153.3,12.9,166.2,2001.0
Neuenburg,116.7,3.9,120.6,44.6,2.5,47.2,9.9,0.0,9.9,4.1,0.2,4.3,11.7,3.6,15.3,187.1,10.3,197.4,2001.0
Jura,25.5,3.2,28.7,105.9,58.7,164.6,4.9,0.3,5.2,3.5,0.5,4.1,8.4,0.5,8.9,148.3,63.2,211.5,2001.0
Nordwestschweiz,72.1,0.7,72.9,43.4,4.1,47.5,6.0,0.3,6.3,6.3,0.2,6.5,16.1,2.9,18.9,143.9,8.2,152.1,2001.0
Basel-Stadt,86.1,2.5,88.6,53.0,11.6,64.6,13.3,1.0,14.2,8.8,0.2,9.0,30.3,3.3,33.6,191.4,18.6,210.1,2001.0
Basel-Landschaft,94.9,0.2,95.1,35.4,4.6,39.9,5.8,0.3,6.1,5.1,0.2,5.3,18.8,4.1,22.9,159.9,9.5,169.4,2001.0
Aargau,56.5,0.4,56.9,43.9,1.3,45.3,3.6,0.0,3.7,6.0,0.2,6.2,9.9,2.1,12.0,120.0,4.0,124.0,2001.0
Zürich,57.0,9.0,66.0,52.9,14.7,67.6,7.8,0.8,8.6,6.5,0.0,6.6,15.4,3.6,19.0,139.6,28.1,167.7,2001.0
Ostschweiz,51.0,0.4,51.4,57.1,19.0,76.1,5.5,0.1,5.6,7.2,0.6,7.8,16.4,4.0,20.4,137.2,24.1,161.2,2001.0
Glarus,13.1,0.2,13.2,96.5,2.9,99.4,3.0,0.0,3.0,10.6,0.4,11.0,6.6,1.6,8.2,129.8,5.1,134.9,2001.0
Schaffhausen,13.2,1.2,14.5,81.0,0.6,81.6,6.2,0.0,6.3,6.9,0.1,7.0,31.0,7.4,38.4,138.4,9.4,147.8,2001.0
Appenzell A. Rh.,26.2,0.1,26.3,79.2,46.7,125.9,6.1,0.0,6.1,5.7,0.7,6.4,14.1,7.3,21.4,131.2,54.9,186.1,2001.0
Appenzell I. Rh.,22.8,0.1,22.9,81.0,55.2,136.2,3.5,0.0,3.5,4.8,0.1,4.9,12.5,4.3,16.9,124.7,59.7,184.3,2001.0
St. Gallen,47.2,0.2,47.4,64.9,33.0,98.0,4.8,0.0,4.8,7.5,1.0,8.5,14.7,4.7,19.4,139.2,38.9,178.1,2001.0
Graubünden,49.4,0.2,49.7,71.0,1.2,72.2,7.2,0.3,7.5,5.4,0.1,5.4,17.7,0.8,18.5,150.8,2.6,153.4,2001.0
Thurgau,86.0,0.6,86.6,8.9,5.6,14.5,5.8,0.0,5.9,8.1,0.4,8.6,16.2,4.0,20.2,125.1,10.7,135.7,2001.0
