Region of residence,Geographic MedStat region,Number of deliveries,Number of cesarean sections,Cesarean section rate (%),Average age deliveries,Average age cesarean sections,year
ZH01,Limmattal,123,51,41.46,31.5,31.37,2007
ZH02,Urdorf,77,24,31.17,30.08,29.43,2007
ZH03,Birmensdorf,101,47,46.53,32.67,34.25,2007
ZH04,Affoltern am Albis,249,77,30.92,29.5,31.19,2007
ZH05,Obfelden,101,27,26.73,31.54,35.06,2007
ZH06,Hausen am Albis,56,14,25,34.63,34.91,2007
ZH07,Schlieren,177,39,22.03,30.96,30.21,2007
ZH08,Dietikon,283,80,28.27,31.04,31.17,2007
ZH09,Geroldswil,68,22,32.35,29.7,32.18,2007
ZH10,Thalwil,250,109,43.6,31.42,33,2007
ZH11,Richterswil,94,38,40.43,31.86,33.13,2007
ZH12,Horgen,202,89,44.06,31.42,31,2007
ZH13,Schönenberg,45,16,35.56,31.4,32.64,2007
ZH14,Wädenswil,170,74,43.53,30.13,30.65,2007
ZH15,Küsnacht,121,53,43.8,32.35,33.71,2007
ZH16,Hombrechtikon,123,42,34.15,29.69,31.59,2007
ZH17,Herrliberg,86,47,54.65,31.14,33.93,2007
ZH18,Meilen,182,85,46.7,31.38,34.05,2007
ZH19,Männedorf,98,36,36.73,32.87,34.8,2007
ZH20,Stäfa,128,48,37.5,31.8,32.86,2007
ZH21,Adlikon,340,120,35.29,30.54,31.27,2007
ZH22,Rümlang,63,27,42.86,29.64,31.31,2007
ZH23,Niederhasli,215,65,30.23,31,31.8,2007
ZH24,Unterland,195,72,36.92,32.62,33.29,2007
ZH25,Bachenbülach,123,32,26.02,31.05,32.18,2007
ZH26,Bülach,162,51,31.48,32.07,32.23,2007
ZH27,Eglisau,133,38,28.57,30.14,30.94,2007
ZH28,Dietlikon,184,68,36.96,31.04,32.05,2007
ZH29,Kloten,179,57,31.84,30.58,31.95,2007
ZH30,Embrach,198,68,34.34,30.32,31.78,2007
ZH31,Mönchaltdorf,211,80,37.91,30.96,31.5,2007
ZH32,Wallisellen,130,40,30.77,30.25,32.24,2007
ZH33,Kemptthal,319,110,34.48,31.5,30.6,2007
ZH34,Fehraltdorf,225,80,35.56,31.12,32.55,2007
ZH35,Dübendorf,251,90,35.86,31,32.1,2007
ZH36,Schwerzenbach,118,39,33.05,31.42,34.38,2007
ZH37,Volketswil,172,53,30.81,31.24,32.38,2007
ZH38,Gossau,108,35,32.41,31.42,32.83,2007
ZH39,Wetzikon,195,52,26.67,30.12,30.45,2007
ZH40,Grüningen,66,17,25.76,32.44,33.22,2007
ZH41,Uster,304,81,26.64,30.04,31.05,2007
ZH42,Hinwil,125,39,31.2,30.58,31.81,2007
ZH43,Wald,108,30,27.78,31,30.69,2007
ZH44,Dürnten,51,15,29.41,30.9,32.38,2007
ZH45,Rüti,117,28,23.93,29.87,31.64,2007
ZH46,Bauma,63,20,31.75,30.05,30.83,2007
ZH47,Elgg,142,52,36.62,32.64,32.52,2007
ZH48,Seuzach,187,53,28.34,31.54,31,2007
ZH49,Pfungen,80,28,35,31.45,31.5,2007
ZH50,Henggart,47,17,36.17,32.72,32.17,2007
ZH51,Rheinau,85,27,31.76,32.05,33.86,2007
ZH52,Flurlingen,208,61,29.33,30.12,30.76,2007
ZH53,Zollikerberg,194,84,43.3,33.55,34.26,2007
ZH54,Winterthur,354,118,33.33,30.46,31,2007
ZH55,Winterthur-Oberwinterthur,181,50,27.62,31,31.05,2007
ZH56,Winterthur-Seen,129,51,39.53,28.5,29.4,2007
ZH57,Winterthur-Töss,150,45,30,30.04,31.38,2007
ZH58,Winterthur-Wülflingen,199,55,27.64,30.11,30.62,2007
ZH59,Kilchberg,126,44,34.92,31.76,33.67,2007
ZH60,Adliswil,149,46,30.87,31.09,31.31,2007
ZH61,Opfikon-Glattbrugg,159,49,30.82,29.09,30.2,2007
ZH62,Langnau am Albis,70,28,40,30,30.47,2007
ZH63,Zürich-Limmatquai,44,26,59.09,33.57,34,2007
ZH64,Zürich-Enge,126,54,42.86,31.69,34.05,2007
ZH65,Zürich-Idaplatz,249,79,31.73,30.54,32.76,2007
ZH66,Zürich-Hardplatz,243,80,32.92,31,31.35,2007
ZH67,Zürich-Industrie,137,48,35.04,30.15,31.44,2007
ZH68,Zürich-Weinbergstrasse,215,86,40,32.45,33.55,2007
ZH69,Zürich-Zürichhorn/Bellvue,147,69,46.94,34.35,34,2007
ZH70,Zürich-Neumünster,217,82,37.79,33.96,35,2007
ZH71,Zürich-Wipkingen,186,65,34.95,31.5,33.86,2007
ZH72,Zürich-Wollishofen,123,44,35.77,32.5,32.82,2007
ZH73,Zürich-Leimbach,57,18,31.58,32.57,33.09,2007
ZH74,Zürich-Geisshübel,200,80,40,31.33,32.74,2007
ZH75,Zürich-Affoltern,212,74,34.91,31.04,31.91,2007
ZH76,Zürich-Albisrieden,146,47,32.19,29.08,31.79,2007
ZH77,Zürich-Altstetten,256,83,32.42,31.62,32.55,2007
ZH78,Zürich-Höngg,202,71,35.15,32.93,35.19,2007
ZH79,Zürich-Oerlikon,279,101,36.2,31.5,31.71,2007
ZH80,Zürich-Schwammendingen,235,73,31.06,30.04,30.96,2007
ZH81,Zürich-Seebach,177,70,39.55,30.79,31.82,2007
ZH82,Zürich-Witikon,92,23,25,33.95,34.17,2007
ZH83,Zürich-Heuried,165,52,31.52,31.92,32.56,2007
ZH84,Zürich-Hirschwiesen,180,56,31.11,31.84,33.63,2007
ZH85,Zürich-Grünau,46,11,23.91,30.44,30.13,2007
BE01,Aarberg,72,23,31.94,29.74,30.92,2007
BE02,Lyss,94,27,28.72,31.58,31.33,2007
BE03,Schüpfen,79,28,35.44,32.25,32.63,2007
BE04,Aarwangen,252,98,38.89,30.5,30.04,2007
BE05,Lotzwil,112,38,33.93,29.7,30.25,2007
BE07,Bern-Felsenau,87,39,44.83,31.83,33.81,2007
BE08,Bern-Monbijou,393,136,34.61,31.46,32.54,2007
BE09,Bern-Bärenplatz,51,18,35.29,32.45,33.93,2007
BE10,Bern-Allmend,380,127,33.42,31.65,32.22,2007
BE11,Bern-Murifeld,-,-,-,-,-,2007
BE12,Bern-Bümpliz,153,51,33.33,29.5,30.32,2007
BE15,Bern-Bethlehem,130,45,34.62,29.5,29.6,2007
BE17,Wohlen bei Bern,117,47,40.17,31.96,32,2007
BE18,Ittigen,95,41,43.16,30.74,30,2007
BE19,Zollikofen,101,42,41.58,30,30.44,2007
BE20,Bolligen,71,27,38.03,32.78,32.21,2007
BE21,Ostermundigen,143,70,48.95,30.5,31.6,2007
BE22,Vechigen,30,17,56.67,32.08,32.18,2007
BE23,Muri bei Bern,71,31,43.66,32,32.06,2007
BE24,Köniz,83,34,40.96,34.05,32.94,2007
BE25,Köniz-Schlieren,170,58,34.12,31.5,31.87,2007
BE26,Köniz-Niederscherli,62,24,38.71,31.14,31.08,2007
BE28,Biel 2,156,39,25,29.46,30.65,2007
BE29,Biel 3,317,98,30.91,30.62,31.63,2007
BE30,Evilard,27,8,29.63,31.79,32.38,2007
BE31,Lengnau,67,21,31.34,29.59,30.93,2007
BE32,Büren an der Aare,99,37,37.37,29.96,30.59,2007
BE33,Krauchtal,49,18,36.73,30.44,31.75,2007
BE34,Burgdorf 1,125,36,28.8,31,30.89,2007
BE36,Oberburg,87,24,27.59,30.59,32.71,2007
BE37,Kirchberg,93,30,32.26,30.61,31.64,2007
BE38,Wynigen,73,24,32.88,30.63,32,2007
BE39,St. Imier,86,22,25.58,30.5,30.81,2007
BE40,Tramelan,42,12,28.57,29.65,31.33,2007
BE41,Courtelary,84,21,25,30.55,32,2007
BE42,Erlach,87,25,28.74,31.68,31.69,2007
BE43,Münchenbuchsee,91,36,39.56,31.95,31.5,2007
BE44,Urtenen,78,32,41.03,30.5,29.27,2007
