Region,Total,age 0-19,age 20-64,age 65+,Male,Female,Swiss citizens,Foreigners,Single,Married,Widowed,Divorced,Unmarried,In registered partnership,Dissolved partnership
Schweiz,8670300,1726301.0,5314329.0,1629670.0,4302599.0,4367701.0,6459512.0,2210788.0,3903333.0,3588894.0,403471.0,751735.0,617.0,19022.0,2981.0
Genferseeregion,1669608,352457.0,1029714.0,287437.0,818492.0,851116.0,1115756.0,553852.0,786918.0,652560.0,72456.0,152562.0,197.0,4166.0,693.0
Waadt,814762,178201.0,502049.0,134512.0,400217.0,414545.0,544045.0,270717.0,390456.0,315488.0,33856.0,72495.0,74.0,2046.0,322.0
Wallis,348503,67768.0,210723.0,70012.0,172955.0,175548.0,268980.0,79523.0,150781.0,147805.0,18447.0,30828.0,32.0,514.0,80.0
Genf,506343,106488.0,316942.0,82913.0,245320.0,261023.0,302731.0,203612.0,245681.0,189267.0,20153.0,49239.0,91.0,1606.0,291.0
Espace Mittelland,1895693,374276.0,1140813.0,380604.0,936569.0,959124.0,1526914.0,368779.0,840219.0,785146.0,96427.0,169945.0,118.0,3232.0,550.0
Bern,1043132,198135.0,622565.0,222432.0,512300.0,530832.0,869681.0,173451.0,459553.0,434188.0,54891.0,92148.0,55.0,1922.0,355.0
Freiburg,325496,71566.0,201329.0,52601.0,162985.0,162511.0,250287.0,75209.0,151140.0,132998.0,13544.0,27196.0,26.0,515.0,64.0
Solothurn,277462,52851.0,168974.0,55637.0,138626.0,138836.0,212535.0,64927.0,117216.0,120496.0,14082.0,25090.0,14.0,466.0,75.0
Neuenburg,175894,36481.0,105285.0,34128.0,86184.0,89710.0,131671.0,44223.0,79901.0,67413.0,9456.0,18822.0,13.0,246.0,43.0
Jura,73709,15243.0,42660.0,15806.0,36474.0,37235.0,62740.0,10969.0,32409.0,30051.0,4454.0,6689.0,10.0,83.0,13.0
Nordwestschweiz,1181776,230414.0,721349.0,230013.0,587202.0,594574.0,863570.0,318206.0,512675.0,508144.0,56434.0,101449.0,65.0,2642.0,340.0
Basel-Stadt,196735,34218.0,123788.0,38729.0,95621.0,101114.0,124151.0,72584.0,96080.0,70666.0,9966.0,19112.0,21.0,791.0,95.0
Basel-Landschaft,290969,55753.0,170100.0,65116.0,142767.0,148202.0,222404.0,68565.0,118581.0,130683.0,15809.0,25080.0,11.0,726.0,77.0
Aargau,694072,140443.0,427461.0,126168.0,348814.0,345258.0,517015.0,177057.0,298014.0,306795.0,30659.0,57257.0,33.0,1125.0,168.0
Zürich,1553423,307069.0,980693.0,265661.0,774299.0,779124.0,1129722.0,423701.0,732076.0,618478.0,62232.0,134045.0,81.0,5517.0,947.0
Ostschweiz,1193069,235425.0,724940.0,232704.0,598955.0,594114.0,912802.0,280267.0,512342.0,519867.0,57991.0,100949.0,57.0,1629.0,199.0
Glarus,40851,7821.0,24610.0,8420.0,20625.0,20226.0,30753.0,10098.0,17182.0,17884.0,2283.0,3443.0,2.0,50.0,7.0
Schaffhausen,83107,15515.0,49632.0,17960.0,41162.0,41945.0,61267.0,21840.0,34219.0,36690.0,4538.0,7485.0,1.0,151.0,22.0
Appenzell A. Rh.,55309,11163.0,32940.0,11206.0,27883.0,27426.0,46135.0,9174.0,23560.0,24002.0,2765.0,4882.0,1.0,87.0,12.0
Appenzell I. Rh.,16293,3414.0,9621.0,3258.0,8361.0,7932.0,14420.0,1873.0,7396.0,7039.0,849.0,1001.0,1.0,5.0,2.0
St. Gallen,514504,105183.0,313333.0,95988.0,258108.0,256396.0,387398.0,127106.0,224463.0,222302.0,24223.0,42706.0,27.0,678.0,74.0
Graubünden,200096,35161.0,120785.0,44150.0,100289.0,99807.0,161989.0,38107.0,85157.0,87156.0,10715.0,16788.0,13.0,234.0,30.0
Thurgau,282909,57168.0,174019.0,51722.0,142527.0,140382.0,210840.0,72069.0,120365.0,124794.0,12618.0,24644.0,12.0,424.0,52.0
Zentralschweiz,825745,164123.0,509382.0,152240.0,416252.0,409493.0,656639.0,169106.0,369320.0,356682.0,36709.0,61420.0,58.0,1354.0,178.0
Luzern,416347,84267.0,256790.0,75290.0,207582.0,208765.0,337132.0,79215.0,191095.0,175836.0,18746.0,29842.0,25.0,693.0,98.0
Uri,36819,7315.0,21739.0,7765.0,18768.0,18051.0,32073.0,4746.0,15821.0,16962.0,1965.0,2025.0,6.0,35.0,5.0
Schwyz,162157,31099.0,101197.0,29861.0,83109.0,79048.0,126227.0,35930.0,70456.0,70988.0,7144.0,13244.0,10.0,276.0,36.0
Obwalden,38108,7589.0,23034.0,7485.0,19268.0,18840.0,32475.0,5633.0,16708.0,16949.0,1808.0,2592.0,2.0,45.0,3.0
Nidwalden,43520,7863.0,26388.0,9269.0,22298.0,21222.0,36996.0,6524.0,18745.0,19047.0,2048.0,3620.0,2.0,48.0,5.0
Zug,128794,25990.0,80234.0,22570.0,65227.0,63567.0,91736.0,37058.0,56495.0,56900.0,4998.0,10097.0,13.0,257.0,31.0
Tessin,350986,62537.0,207438.0,81011.0,170830.0,180156.0,254109.0,96877.0,149783.0,148017.0,21222.0,31365.0,41.0,482.0,74.0
