,lat,lng,population,population_proper,city,canton_name,hospital,number_of_cases
0,47.3786,8.54,434008.0,434008.0,Zürich,Zürich,Geburtshaus Delphys,2418
1,47.3786,8.54,434008.0,434008.0,Zürich,Zürich,Klinik Hirslanden AG,189222
2,47.3786,8.54,434008.0,434008.0,Zürich,Zürich,Klinik Im Park,70258
3,47.3786,8.54,434008.0,434008.0,Zürich,Zürich,Klinik Pyramide am See AG,8488
4,47.3786,8.54,434008.0,434008.0,Zürich,Zürich,Limmatklinik AG,5004
5,47.3786,8.54,434008.0,434008.0,Zürich,Zürich,Privatklinik Bethanien,25271
6,47.3786,8.54,434008.0,434008.0,Zürich,Zürich,Schulthess Klinik,28797
7,47.3786,8.54,434008.0,434008.0,Zürich,Zürich,Stadtspital Triemli,234004
8,47.3786,8.54,434008.0,434008.0,Zürich,Zürich,Stadtspital Waid,57640
9,47.3786,8.54,434008.0,434008.0,Zürich,Zürich,Universitäts-Kinderspital Zürich das Spital der Eleonorenstiftung,24800
10,47.3786,8.54,434008.0,434008.0,Zürich,Zürich,Universitätsklinik Balgrist,17918
11,47.3786,8.54,434008.0,434008.0,Zürich,Zürich,Universitätsspital Zürich,356599
12,46.2,6.15,201818.0,201818.0,Geneva,Genève,Clinique Générale­Beaulieu,36184
13,46.2,6.15,201818.0,201818.0,Geneva,Genève,Clinique de la Plaine,263
14,46.2,6.15,201818.0,201818.0,Geneva,Genève,Clinique la Colline,13048
15,46.2,6.15,201818.0,201818.0,Geneva,Genève,Les Hôpitaux Universitaires de Genève HUG,360584
16,46.2,6.15,201818.0,201818.0,Geneva,Genève,Maison de naissance La Roseraie,1046
17,47.5606,7.5906,177595.0,177595.0,Basel,Basel-stadt,Bethesda Spital AG,60119
18,47.5606,7.5906,177595.0,177595.0,Basel,Basel-stadt,Geburtshaus Basel,42
19,47.5606,7.5906,177595.0,177595.0,Basel,Basel-stadt,Matthea Geburtshaus,179
20,47.5606,7.5906,177595.0,177595.0,Basel,Basel-stadt,Merian Iselin Klinik,19496
21,47.5606,7.5906,177595.0,177595.0,Basel,Basel-stadt,St. Claraspital,78985
22,47.5606,7.5906,177595.0,177595.0,Basel,Basel-stadt,Universitätsspital Basel,318065
23,47.5606,7.5906,177595.0,177595.0,Basel,Basel-stadt,Universitäts­Kinderspital beider Basel (UKBB),11149
24,46.5333,6.6333,138905.0,138905.0,Lausanne,Vaud,CHUV Centre Hospitalier Universitaire Vaudois,313080
25,46.5333,6.6333,138905.0,138905.0,Lausanne,Vaud,Clinique de La Source,40804
26,46.5333,6.6333,138905.0,138905.0,Lausanne,Vaud,Clinique de Montchoisi,2081
27,46.5333,6.6333,138905.0,138905.0,Lausanne,Vaud,Hirslanden Lausanne SA,66691
28,46.948,7.4474,133798.0,133798.0,Bern,Bern,Hirslanden Bern AG,158824
29,46.948,7.4474,133798.0,133798.0,Bern,Bern,Insel Gruppe AG (nicht-universitär),121280
30,46.948,7.4474,133798.0,133798.0,Bern,Bern,Insel Gruppe AG (universitär),419355
31,46.948,7.4474,133798.0,133798.0,Bern,Bern,Lindenhofgruppe AG,206008
32,46.948,7.4474,133798.0,133798.0,Bern,Bern,Stiftung Diaconis Palliative Care,1696
33,47.4992,8.7267,109775.0,109775.0,Winterthur,Zürich,Eulachklinik AG,10
34,47.4992,8.7267,109775.0,109775.0,Winterthur,Zürich,Kantonsspital Winterthur,185643
35,47.4992,8.7267,109775.0,109775.0,Winterthur,Zürich,Privatklinik Lindberg,7742
36,47.4233,9.3772,75833.0,75833.0,Sankt Gallen,St. Gallen,Geburtshaus St.Gallen GmbH,323
37,47.4233,9.3772,75833.0,75833.0,Sankt Gallen,St. Gallen,Hirslanden Klinik Stephanshorn,57857
38,47.4233,9.3772,75833.0,75833.0,Sankt Gallen,St. Gallen,Kantonsspital St. Gallen,272554
39,47.4233,9.3772,75833.0,75833.0,Sankt Gallen,St. Gallen,Stiftung Ostschweizer Kinderspital,7441
40,46.0103,8.9625,63185.0,63185.0,Lugano,Ticino,Cardiocentro Ticino (CCT),83120
41,46.0103,8.9625,63185.0,63185.0,Lugano,Ticino,Clinica Luganese Moncucco SA,43793
42,46.0103,8.9625,63185.0,63185.0,Lugano,Ticino,EOC Ente ospedaliero cantonale,232748
43,47.1372,7.2472,54456.0,54456.0,Biel/Bienne,Bern,Hirslanden Klinik Linde AG,40271
44,47.1372,7.2472,54456.0,54456.0,Biel/Bienne,Bern,Spitalzentrum Biel AG,87052
45,46.759,7.63,43743.0,43743.0,Thun,Bern,Klinik Hohmad AG,5102
46,46.759,7.63,43743.0,43743.0,Thun,Bern,Spital STS AG,99727
47,47.0996,6.8296,38965.0,38965.0,La Chaux-de-Fonds,Neuchâtel,Clinique Volta SA,112
48,47.0996,6.8296,38965.0,38965.0,La Chaux-de-Fonds,Neuchâtel,Réseau hospitalier neuchâtelois RHNe,118077
49,47.0996,6.8296,38965.0,38965.0,La Chaux-de-Fonds,Neuchâtel,SMN,80773
50,46.8,7.15,38365.0,38365.0,Fribourg,Fribourg,HFR,142840
51,46.8,7.15,38365.0,38365.0,Fribourg,Fribourg,Hôpital Jules Daler,56008
52,47.6965,8.6339,36587.0,36587.0,Schaffhausen,Schaffhausen,Hirslanden Klinik Belair,6352
53,47.6965,8.6339,36587.0,36587.0,Schaffhausen,Schaffhausen,Spitäler Schaffhausen,59740
54,46.8521,9.5297,35038.0,35038.0,Chur,Graubünden,Kantonsspital Graubünden,129449
55,46.2304,7.3661,34708.0,34708.0,Sion,Valais,Hôpital du Valais Centre hospitalier du Valais Romand CHVR,179899
56,47.3492,8.7192,34442.0,34442.0,Uster,Zürich,Spital Uster,61668
57,46.9903,6.9306,33475.0,33475.0,Neuchâtel,Neuchâtel,Maison de Naissance Tilia Sàrl,478
58,46.7785,6.6408,30157.0,30157.0,Yverdon-les-Bains,Vaud,Etablissements Hospitaliers du Nord Vaudois (eHnv),73001
59,47.2286,8.8317,26989.0,26989.0,Rapperswil-Jona,St. Gallen,Rosenklinik AG,1470
60,46.4333,6.9167,25984.0,25984.0,Montreux,Vaud,Hôpital Riviera­Chablais Vaud-Valais,118931
61,47.1956,8.5264,24322.0,24322.0,Baar,Zug,Zuger Kantonsspital AG,58220
62,46.2322,6.0791,24144.0,24144.0,Meyrin,Genève,Hôpital de la Tour,52997
63,47.4664,9.0497,23768.0,23768.0,Wil,St. Gallen,Spitalregion Fürstenland Toggenburg,45978
64,47.6058,8.5075,1425.0,1425.0,Wil,St. Gallen,Spitalregion Fürstenland Toggenburg,45978
65,47.2608,8.5975,22662.0,22662.0,Horgen,Zürich,See­Spital,60931
