
	A1_01_M HD Herzinfarkt (Alter >19), Mortalität // DP infarctus du myocarde (âge >19), mortalité // DP infarto miocardico (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	5	0	
	2008	6	1	0	8	0	
	2008	6	2	0	5	0	
	2008	7	1	1	32	0.03125	
	2008	7	2	0	4	0	
	2008	8	1	0	104	0	
	2008	8	2	0	24	0	
	2008	9	1	5	411	0.01216545	
	2008	9	2	1	52	0.01923077	
	2008	10	1	8	690	0.0115942	
	2008	10	2	2	108	0.01851852	
	2008	11	1	14	894	0.01565996	
	2008	11	2	6	184	0.0326087	
	2008	12	1	28	994	0.02816901	
	2008	12	2	14	240	0.05833333	
	2008	13	1	37	1188	0.03114478	
	2008	13	2	8	315	0.02539683	
	2008	14	1	45	1025	0.04390244	
	2008	14	2	16	362	0.0441989	
	2008	15	1	60	977	0.06141249	
	2008	15	2	20	492	0.04065041	
	2008	16	1	78	980	0.07959184	
	2008	16	2	44	660	0.06666667	
	2008	17	1	112	774	0.1447028	
	2008	17	2	110	752	0.1462766	
	2008	18	1	101	493	0.2048682	
	2008	18	2	103	561	0.1836007	
	2008	19	1	47	160	0.29375	
	2008	19	2	61	227	0.2687225	
	2008	20	1	11	27	0.4074074	
	2008	20	2	23	53	0.4339623	
	2009	5	1	0	4	0	
	2009	6	1	1	14	0.07142857	
	2009	6	2	0	2	0	
	2009	7	1	0	30	0	
	2009	7	2	0	12	0	
	2009	8	1	0	155	0	
	2009	8	2	0	31	0	
	2009	9	1	3	354	0.008474576	
	2009	9	2	1	59	0.01694915	
	2009	10	1	15	721	0.02080444	
	2009	10	2	3	135	0.02222222	
	2009	11	1	18	1030	0.01747573	
	2009	11	2	1	188	0.005319149	
	2009	12	1	20	1180	0.01694915	
	2009	12	2	4	233	0.01716738	
	2009	13	1	38	1212	0.03135314	
	2009	13	2	10	312	0.03205128	
	2009	14	1	38	1132	0.0335689	
	2009	14	2	18	422	0.04265403	
	2009	15	1	46	1062	0.0433145	
	2009	15	2	23	509	0.04518664	
	2009	16	1	84	1028	0.08171206	
	2009	16	2	46	641	0.07176287	
	2009	17	1	107	806	0.1327543	
	2009	17	2	88	711	0.1237693	
	2009	18	1	109	511	0.2133072	
	2009	18	2	108	593	0.1821248	
	2009	19	1	41	142	0.2887324	
	2009	19	2	60	237	0.2531646	
	2009	20	1	8	26	0.3076923	
