
	A1_01_M HD Herzinfarkt (Alter >19), Mortalität // DP infarctus du myocarde (âge >19), mortalité // DP infarto miocardico (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	DeathCH	CasesCH	pCH	
	2008	955	12801	7.460355	
	2009	904	13545	6.674049	
	2010	896	15388	5.822719	
	2011	927	16188	5.726464	
	2012	946	15999	5.91287	
	2013	937	16065	5.832555	
	2014	873	16692	5.23005	
	2015	869	17061	5.093488	
	2016	884	17678	5.000566	
	2017	903	17610	5.127768	
	2018	814	17632	4.616606	
	2019	821	17798	4.612878	
