
	A1_02_M HD Herzinfarkt, Alter 20-44, Mortalität // DP infarctus du myocarde, âge 20-44, mortalité // DP infarto miocardico, età 20-44, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	5	0	
	2008	6	1	0	8	0	
	2008	6	2	0	5	0	
	2008	7	1	1	32	0.03125	
	2008	7	2	0	4	0	
	2008	8	1	0	104	0	
	2008	8	2	0	24	0	
	2008	9	1	5	411	0.01216545	
	2008	9	2	1	52	0.01923077	
	2009	5	1	0	4	0	
	2009	6	1	1	14	0.07142857	
	2009	6	2	0	2	0	
	2009	7	1	0	30	0	
	2009	7	2	0	12	0	
	2009	8	1	0	155	0	
	2009	8	2	0	31	0	
	2009	9	1	3	354	0.008474576	
	2009	9	2	1	59	0.01694915	
	2010	5	1	0	6	0	
	2010	5	2	0	1	0	
	2010	6	1	0	14	0	
	2010	6	2	0	2	0	
	2010	7	1	1	46	0.02173913	
	2010	7	2	0	18	0	
	2010	8	1	1	148	0.006756757	
	2010	8	2	0	19	0	
	2010	9	1	5	399	0.01253133	
	2010	9	2	1	59	0.01694915	
	2011	5	1	0	3	0	
	2011	5	2	0	1	0	
	2011	6	1	1	7	0.1428571	
	2011	6	2	0	4	0	
	2011	7	1	1	36	0.02777778	
	2011	7	2	0	16	0	
	2011	8	1	2	141	0.0141844	
	2011	8	2	0	29	0	
	2011	9	1	5	456	0.01096491	
	2011	9	2	1	81	0.01234568	
	2012	5	1	0	5	0	
	2012	5	2	0	2	0	
	2012	6	1	1	18	0.05555556	
	2012	6	2	0	1	0	
	2012	7	1	0	64	0	
	2012	7	2	0	4	0	
	2012	8	1	1	118	0.008474576	
	2012	8	2	0	21	0	
	2012	9	1	5	397	0.01259446	
	2012	9	2	3	68	0.04411765	
	2013	5	1	0	5	0	
	2013	5	2	0	5	0	
	2013	6	1	0	18	0	
	2013	6	2	0	5	0	
	2013	7	1	0	54	0	
	2013	8	1	0	132	0	
	2013	8	2	0	27	0	
	2013	9	1	5	374	0.01336898	
	2013	9	2	0	71	0	
	2014	5	1	0	19	0	
	2014	6	1	1	12	0.08333333	
	2014	6	2	0	2	0	
	2014	7	1	0	54	0	
	2014	7	2	1	8	0.125	
	2014	8	1	4	128	0.03125	
	2014	8	2	0	24	0	
	2014	9	1	3	381	0.007874016	
	2014	9	2	1	72	0.01388889	
	2015	5	1	0	5	0	
	2015	5	2	0	4	0	
	2015	6	1	0	21	0	
	2015	6	2	0	1	0	
	2015	7	1	0	53	0	
	2015	7	2	0	6	0	
	2015	8	1	2	130	0.01538462	
	2015	8	2	1	24	0.04166667	
	2015	9	1	5	403	0.01240695	
	2015	9	2	0	61	0	
	2016	5	1	0	8	0	
	2016	5	2	0	1	0	
	2016	6	1	0	22	0	
	2016	6	2	0	2	0	
	2016	7	1	2	45	0.04444444	
	2016	7	2	0	6	0	
	2016	8	1	0	134	0	
	2016	8	2	1	27	0.03703704	
	2016	9	1	3	361	0.008310249	
	2016	9	2	0	49	0	
	2017	5	1	0	7	0	
	2017	5	2	0	1	0	
	2017	6	1	0	25	0	
	2017	6	2	0	1	0	
	2017	7	1	2	62	0.03225806	
	2017	7	2	0	3	0	
	2017	8	1	0	122	0	
	2017	8	2	0	34	0	
	2017	9	1	3	319	0.009404389	
	2017	9	2	2	50	0.04	
	2018	5	1	0	10	0	
	2018	6	1	0	17	0	
	2018	6	2	0	3	0	
	2018	7	1	2	57	0.03508772	
	2018	7	2	0	11	0	
	2018	8	1	3	142	0.02112676	
	2018	8	2	2	32	0.0625	
	2018	9	1	3	342	0.00877193	
	2018	9	2	1	71	0.01408451	
	2019	5	1	0	2	0	
	2019	5	2	0	1	0	
	2019	6	1	0	9	0	
	2019	6	2	0	12	0	
	2019	7	1	0	56	0	
	2019	7	2	0	5	0	
	2019	8	1	1	147	0.006802721	
	2019	8	2	0	18	0	
	2019	9	1	0	347	0	
	2019	9	2	0	57	0	
