
	A1_02_M HD Herzinfarkt, Alter 20-44, Mortalität // DP infarctus du myocarde, âge 20-44, mortalité // DP infarto miocardico, età 20-44, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	DeathCH	CasesCH	pCH	
	2008	7	645	1.085271	
	2009	5	661	0.7564297	
	2010	8	712	1.123596	
	2011	10	774	1.29199	
	2012	10	698	1.432665	
	2013	5	691	0.723589	
	2014	10	700	1.428571	
	2015	8	708	1.129944	
	2016	6	655	0.9160305	
	2017	7	624	1.121795	
	2018	11	685	1.605839	
	2019	1	654	0.1529052	
