
	A1_07_M HD Herzinfarkt (Alter >19), Direktaufnahmen nicht weiter verlegt, Mortalität // DP infarctus du myocarde (âge >19), admissions directes, non transféré, mortalité // DP infarto miocardico (età >19), ammissioni dirette non trasferito, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	5	0	
	2008	6	1	0	4	0	
	2008	6	2	0	2	0	
	2008	7	1	1	16	0.0625	
	2008	7	2	0	2	0	
	2008	8	1	0	47	0	
	2008	8	2	0	10	0	
	2008	9	1	2	196	0.01020408	
	2008	9	2	0	23	0	
	2008	10	1	6	336	0.01785714	
	2008	10	2	1	44	0.02272727	
	2008	11	1	9	411	0.02189781	
	2008	11	2	2	98	0.02040816	
	2008	12	1	24	521	0.04606526	
	2008	12	2	11	122	0.09016393	
	2008	13	1	31	587	0.0528109	
	2008	13	2	8	152	0.05263158	
	2008	14	1	38	550	0.06909091	
	2008	14	2	13	194	0.06701031	
	2008	15	1	50	527	0.09487666	
	2008	15	2	17	251	0.06772908	
	2008	16	1	65	537	0.1210428	
	2008	16	2	34	365	0.09315068	
	2008	17	1	103	526	0.1958175	
	2008	17	2	97	484	0.2004132	
	2008	18	1	91	378	0.2407407	
	2008	18	2	96	434	0.2211982	
	2008	19	1	44	137	0.3211679	
	2008	19	2	57	195	0.2923077	
	2008	20	1	11	25	0.44	
	2008	20	2	22	47	0.4680851	
	2009	5	1	0	2	0	
	2009	6	1	1	7	0.1428571	
	2009	6	2	0	2	0	
	2009	7	1	0	13	0	
	2009	7	2	0	4	0	
	2009	8	1	0	64	0	
	2009	8	2	0	14	0	
	2009	9	1	2	170	0.01176471	
	2009	9	2	1	31	0.03225806	
	2009	10	1	14	333	0.04204204	
	2009	10	2	3	57	0.05263158	
	2009	11	1	14	484	0.02892562	
	2009	11	2	1	93	0.01075269	
	2009	12	1	14	559	0.02504472	
	2009	12	2	3	105	0.02857143	
	2009	13	1	30	562	0.05338078	
	2009	13	2	6	154	0.03896104	
	2009	14	1	32	536	0.05970149	
	2009	14	2	15	216	0.06944444	
	2009	15	1	41	548	0.07481752	
	2009	15	2	17	250	0.068	
	2009	16	1	69	578	0.1193772	
	2009	16	2	39	337	0.115727	
	2009	17	1	95	495	0.1919192	
	2009	17	2	78	462	0.1688312	
	2009	18	1	101	378	0.2671958	
	2009	18	2	100	437	0.228833	
