
	A1_08_M HD Herzinfarkt (Alter >19), Zuverlegungen, Mortalität // DP infarctus du myocarde (âge >19), transféré d'un autre hôpital, mortalité // DP infarto miocardico (età >19), trasferito da un altro ospedale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	6	1	0	2	0	
	2008	6	2	0	2	0	
	2008	7	1	0	8	0	
	2008	7	2	0	1	0	
	2008	8	1	0	35	0	
	2008	8	2	0	8	0	
	2008	9	1	3	130	0.02307692	
	2008	9	2	1	18	0.05555556	
	2008	10	1	2	213	0.009389671	
	2008	10	2	1	33	0.03030303	
	2008	11	1	5	267	0.01872659	
	2008	11	2	4	53	0.0754717	
	2008	12	1	4	273	0.01465201	
	2008	12	2	3	64	0.046875	
	2008	13	1	6	340	0.01764706	
	2008	13	2	0	87	0	
	2008	14	1	7	262	0.02671756	
	2008	14	2	3	93	0.03225806	
	2008	15	1	10	258	0.03875969	
	2008	15	2	3	139	0.02158273	
	2008	16	1	13	237	0.05485232	
	2008	16	2	10	168	0.05952381	
	2008	17	1	9	141	0.06382979	
	2008	17	2	13	147	0.08843537	
	2008	18	1	10	60	0.1666667	
	2008	18	2	7	61	0.1147541	
	2008	19	1	3	7	0.4285714	
	2008	19	2	4	10	0.4	
	2008	20	1	0	1	0	
	2008	20	2	1	1	1	
	2009	5	1	0	1	0	
	2009	6	1	0	3	0	
	2009	7	1	0	9	0	
	2009	7	2	0	5	0	
	2009	8	1	0	53	0	
	2009	8	2	0	10	0	
	2009	9	1	1	108	0.009259259	
	2009	9	2	0	15	0	
	2009	10	1	1	228	0.004385965	
	2009	10	2	0	42	0	
	2009	11	1	4	320	0.0125	
	2009	11	2	0	60	0	
	2009	12	1	6	333	0.01801802	
	2009	12	2	1	69	0.01449275	
	2009	13	1	8	376	0.0212766	
	2009	13	2	4	85	0.04705882	
	2009	14	1	6	336	0.01785714	
	2009	14	2	3	117	0.02564103	
	2009	15	1	5	296	0.01689189	
	2009	15	2	6	137	0.04379562	
	2009	16	1	15	266	0.05639098	
	2009	16	2	7	166	0.04216867	
	2009	17	1	12	175	0.06857143	
	2009	17	2	10	133	0.07518797	
	2009	18	1	8	68	0.1176471	
	2009	18	2	8	65	0.1230769	
	2009	19	1	0	7	0	
	2009	19	2	1	8	0.125	
	2010	5	1	0	2	0	
	2010	6	1	0	6	0	
	2010	7	1	1	16	0.0625	
	2010	7	2	0	6	0	
	2010	8	1	0	46	0	
	2010	8	2	0	5	0	
	2010	9	1	3	129	0.02325581	
	2010	9	2	0	19	0	
	2010	10	1	2	246	0.008130081	
	2010	10	2	1	39	0.02564103	
	2010	11	1	3	389	0.007712082	
	2010	11	2	0	69	0	
	2010	12	1	9	422	0.02132701	
	2010	12	2	1	74	0.01351351	
	2010	13	1	2	469	0.004264392	
	2010	13	2	2	128	0.015625	
	2010	14	1	8	390	0.02051282	
	2010	14	2	2	135	0.01481481	
	2010	15	1	16	342	0.04678363	
	2010	15	2	4	184	0.02173913	
	2010	16	1	16	341	0.04692082	
	2010	16	2	7	247	0.02834008	
	2010	17	1	13	228	0.05701754	
	2010	17	2	13	208	0.0625	
	2010	18	1	13	124	0.1048387	
	2010	18	2	12	132	0.09090909	
	2010	19	1	2	23	0.08695652	
	2010	19	2	5	42	0.1190476	
	2010	20	1	1	3	0.3333333	
	2010	20	2	1	8	0.125	
	2011	5	1	0	1	0	
	2011	6	1	0	1	0	
	2011	6	2	0	1	0	
	2011	7	1	1	11	0.09090909	
	2011	7	2	0	8	0	
	2011	8	1	1	43	0.02325581	
	2011	8	2	0	10	0	
	2011	9	1	0	150	0	
	2011	9	2	0	24	0	
	2011	10	1	3	257	0.01167315	
	2011	10	2	1	53	0.01886792	
	2011	11	1	2	366	0.005464481	
	2011	11	2	0	60	0	
	2011	12	1	2	388	0.005154639	
	2011	12	2	1	99	0.01010101	
	2011	13	1	8	409	0.0195599	
	2011	13	2	0	105	0	
	2011	14	1	8	451	0.01773836	
	2011	14	2	3	145	0.02068966	
	2011	15	1	17	357	0.04761905	
	2011	15	2	3	164	0.01829268	
	2011	16	1	19	391	0.04859335	
	2011	16	2	6	235	0.02553191	
	2011	17	1	19	272	0.06985294	
	2011	17	2	13	227	0.05726872	
	2011	18	1	11	122	0.09016393	
	2011	18	2	8	140	0.05714286	
	2011	19	1	3	28	0.1071429	
	2011	19	2	4	46	0.08695652	
	2011	20	1	0	2	0	
	2011	20	2	0	9	0	
	2012	5	1	0	2	0	
	2012	5	2	0	1	0	
	2012	6	1	0	2	0	
	2012	7	1	0	22	0	
	2012	7	2	0	2	0	
	2012	8	1	1	34	0.02941176	
	2012	8	2	0	6	0	
	2012	9	1	0	114	0	
	2012	9	2	2	24	0.08333333	
	2012	10	1	3	261	0.01149425	
	2012	10	2	0	45	0	
	2012	11	1	2	348	0.005747126	
	2012	11	2	1	67	0.01492537	
	2012	12	1	6	365	0.01643836	
	2012	12	2	0	71	0	
	2012	13	1	14	444	0.03153153	
	2012	13	2	3	113	0.02654867	
	2012	14	1	15	413	0.03631961	
	2012	14	2	1	124	0.008064516	
	2012	15	1	17	368	0.04619565	
	2012	15	2	4	175	0.02285714	
	2012	16	1	9	326	0.02760736	
	2012	16	2	16	203	0.07881773	
	2012	17	1	18	279	0.06451613	
	2012	17	2	10	203	0.04926108	
	2012	18	1	10	123	0.08130081	
	2012	18	2	11	117	0.09401709	
	2012	19	1	1	20	0.05	
	2012	19	2	7	49	0.1428571	
	2012	20	1	0	1	0	
	2012	20	2	1	4	0.25	
	2013	5	2	0	2	0	
	2013	6	1	0	5	0	
	2013	6	2	0	1	0	
	2013	7	1	0	17	0	
	2013	8	1	0	34	0	
	2013	8	2	0	8	0	
	2013	9	1	0	100	0	
	2013	9	2	0	18	0	
	2013	10	1	2	235	0.008510638	
	2013	10	2	1	36	0.02777778	
	2013	11	1	1	326	0.003067485	
	2013	11	2	1	60	0.01666667	
	2013	12	1	9	368	0.02445652	
	2013	12	2	4	78	0.05128205	
	2013	13	1	10	390	0.02564103	
	2013	13	2	3	119	0.02521008	
	2013	14	1	10	384	0.02604167	
	2013	14	2	2	122	0.01639344	
	2013	15	1	19	367	0.05177112	
	2013	15	2	3	155	0.01935484	
	2013	16	1	18	338	0.05325444	
	2013	16	2	11	194	0.05670103	
	2013	17	1	26	236	0.1101695	
	2013	17	2	14	190	0.07368421	
	2013	18	1	14	120	0.1166667	
	2013	18	2	7	124	0.05645161	
	2013	19	1	2	21	0.0952381	
	2013	19	2	2	41	0.04878049	
	2013	20	1	0	2	0	
	2013	20	2	2	10	0.2	
	2014	5	1	0	5	0	
	2014	6	1	0	3	0	
	2014	6	2	0	1	0	
	2014	7	1	0	17	0	
	2014	7	2	0	2	0	
	2014	8	1	2	28	0.07142857	
	2014	8	2	0	7	0	
	2014	9	1	0	110	0	
	2014	9	2	0	22	0	
	2014	10	1	2	245	0.008163265	
	2014	10	2	0	34	0	
	2014	11	1	1	342	0.002923977	
	2014	11	2	1	57	0.01754386	
	2014	12	1	6	448	0.01339286	
	2014	12	2	0	108	0	
	2014	13	1	10	378	0.02645503	
	2014	13	2	5	108	0.0462963	
	2014	14	1	14	422	0.03317536	
	2014	14	2	0	123	0	
	2014	15	1	16	381	0.04199475	
	2014	15	2	7	153	0.04575163	
	2014	16	1	15	341	0.04398827	
	2014	16	2	9	192	0.046875	
	2014	17	1	23	267	0.08614232	
	2014	17	2	12	235	0.05106383	
	2014	18	1	10	129	0.07751938	
	2014	18	2	14	119	0.1176471	
	2014	19	1	4	36	0.1111111	
	2014	19	2	4	61	0.06557377	
	2014	20	1	1	3	0.3333333	
	2014	20	2	1	10	0.1	
	2015	5	1	0	1	0	
	2015	5	2	0	1	0	
	2015	6	1	0	4	0	
	2015	7	1	0	14	0	
	2015	7	2	0	1	0	
	2015	8	1	0	31	0	
	2015	8	2	0	4	0	
	2015	9	1	1	108	0.009259259	
	2015	9	2	0	17	0	
	2015	10	1	1	253	0.003952569	
	2015	10	2	2	38	0.05263158	
	2015	11	1	1	343	0.002915452	
	2015	11	2	0	66	0	
	2015	12	1	4	398	0.01005025	
	2015	12	2	0	72	0	
	2015	13	1	12	405	0.02962963	
	2015	13	2	0	100	0	
	2015	14	1	14	452	0.03097345	
	2015	14	2	2	160	0.0125	
	2015	15	1	17	392	0.04336735	
	2015	15	2	7	146	0.04794521	
	2015	16	1	17	360	0.04722222	
	2015	16	2	9	206	0.04368932	
	2015	17	1	16	280	0.05714286	
	2015	17	2	11	220	0.05	
	2015	18	1	10	125	0.08	
	2015	18	2	13	155	0.08387097	
	2015	19	1	2	38	0.05263158	
	2015	19	2	6	39	0.1538462	
	2015	20	1	1	6	0.1666667	
	2015	20	2	1	8	0.125	
	2016	5	1	0	1	0	
	2016	6	1	0	5	0	
	2016	7	1	1	12	0.08333333	
	2016	8	1	0	29	0	
	2016	8	2	0	4	0	
	2016	9	1	1	96	0.01041667	
	2016	9	2	0	9	0	
	2016	10	1	1	216	0.00462963	
	2016	10	2	0	30	0	
	2016	11	1	4	338	0.01183432	
	2016	11	2	1	68	0.01470588	
	2016	12	1	4	419	0.009546539	
	2016	12	2	2	78	0.02564103	
	2016	13	1	10	467	0.02141328	
	2016	13	2	4	116	0.03448276	
	2016	14	1	6	442	0.01357466	
	2016	14	2	7	140	0.05	
	2016	15	1	19	421	0.04513064	
	2016	15	2	7	164	0.04268293	
	2016	16	1	19	377	0.05039788	
	2016	16	2	12	207	0.05797101	
	2016	17	1	17	323	0.05263158	
	2016	17	2	13	248	0.05241935	
	2016	18	1	6	154	0.03896104	
	2016	18	2	9	163	0.05521472	
	2016	19	1	7	43	0.1627907	
	2016	19	2	3	60	0.05	
	2016	20	1	1	5	0.2	
	2016	20	2	2	10	0.2	
	2017	6	1	0	6	0	
	2017	7	1	1	19	0.05263158	
