
	A1_10_M Transmuraler Herzinfarkt (Alter >19), Mortalität // Infarctus du myocarde transmural (âge >19), mortalité // Infarto transmurale (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	5	0	
	2008	6	1	0	6	0	
	2008	6	2	0	2	0	
	2008	7	1	0	25	0	
	2008	7	2	0	3	0	
	2008	8	1	0	68	0	
	2008	8	2	0	18	0	
	2008	9	1	2	265	0.00754717	
	2008	9	2	1	28	0.03571429	
	2008	10	1	6	460	0.01304348	
	2008	10	2	2	77	0.02597403	
	2008	11	1	10	585	0.01709402	
	2008	11	2	5	117	0.04273504	
	2008	12	1	17	623	0.02728732	
	2008	12	2	10	140	0.07142857	
	2008	13	1	26	723	0.03596127	
	2008	13	2	3	174	0.01724138	
	2008	14	1	26	571	0.04553415	
	2008	14	2	12	213	0.05633803	
	2008	15	1	31	482	0.06431535	
	2008	15	2	11	245	0.04489796	
	2008	16	1	39	459	0.08496732	
	2008	16	2	29	351	0.08262108	
	2008	17	1	52	325	0.16	
	2008	17	2	67	345	0.1942029	
	2008	18	1	49	224	0.21875	
	2008	18	2	58	244	0.2377049	
	2008	19	1	14	51	0.2745098	
	2008	19	2	32	100	0.32	
	2008	20	1	7	15	0.4666667	
	2008	20	2	10	21	0.4761905	
	2009	6	1	1	10	0.1	
	2009	7	1	0	21	0	
	2009	7	2	0	9	0	
	2009	8	1	0	100	0	
	2009	8	2	0	21	0	
	2009	9	1	3	214	0.01401869	
	2009	9	2	1	26	0.03846154	
	2009	10	1	9	432	0.02083333	
	2009	10	2	3	87	0.03448276	
	2009	11	1	12	626	0.01916933	
	2009	11	2	1	99	0.01010101	
	2009	12	1	13	702	0.01851852	
	2009	12	2	3	141	0.0212766	
	2009	13	1	27	651	0.04147465	
	2009	13	2	6	158	0.03797468	
	2009	14	1	26	564	0.04609929	
	2009	14	2	8	203	0.03940887	
	2009	15	1	24	520	0.04615385	
	2009	15	2	13	246	0.05284553	
	2009	16	1	41	465	0.08817204	
	2009	16	2	24	262	0.09160305	
	2009	17	1	44	321	0.1370717	
	2009	17	2	31	315	0.0984127	
	2009	18	1	46	191	0.2408377	
	2009	18	2	50	232	0.2155172	
	2009	19	1	16	46	0.3478261	
	2009	19	2	26	97	0.2680412	
	2009	20	1	2	10	0.2	
	2009	20	2	6	22	0.2727273	
	2010	5	1	0	5	0	
	2010	6	1	0	12	0	
	2010	6	2	0	1	0	
	2010	7	1	1	28	0.03571429	
	2010	7	2	0	10	0	
	2010	8	1	1	93	0.01075269	
	2010	8	2	0	9	0	
	2010	9	1	5	250	0.02	
	2010	9	2	0	31	0	
	2010	10	1	8	464	0.01724138	
	2010	10	2	2	73	0.02739726	
	2010	11	1	12	700	0.01714286	
	2010	11	2	1	102	0.009803922	
	2010	12	1	20	726	0.02754821	
	2010	12	2	6	144	0.04166667	
	2010	13	1	19	813	0.02337023	
	2010	13	2	3	186	0.01612903	
	2010	14	1	24	670	0.0358209	
	2010	14	2	8	205	0.03902439	
	2010	15	1	39	501	0.07784431	
	2010	15	2	17	258	0.06589147	
	2010	16	1	33	456	0.07236842	
	2010	16	2	33	339	0.09734513	
	2010	17	1	50	347	0.1440922	
	2010	17	2	44	344	0.127907	
	2010	18	1	41	182	0.2252747	
	2010	18	2	51	262	0.1946565	
	2010	19	1	15	49	0.3061224	
	2010	19	2	20	86	0.2325581	
	2010	20	1	5	10	0.5	
	2010	20	2	11	22	0.5	
	2011	5	1	0	1	0	
	2011	6	1	0	3	0	
	2011	6	2	0	1	0	
	2011	7	1	1	18	0.05555556	
	2011	7	2	0	11	0	
	2011	8	1	2	80	0.025	
	2011	8	2	0	17	0	
	2011	9	1	3	269	0.01115242	
	2011	9	2	0	50	0	
	2011	10	1	9	517	0.01740812	
	2011	10	2	3	85	0.03529412	
	2011	11	1	11	632	0.01740506	
	2011	11	2	2	94	0.0212766	
	2011	12	1	14	653	0.02143951	
	2011	12	2	6	151	0.0397351	
	2011	13	1	22	688	0.03197674	
	2011	13	2	4	164	0.02439024	
	2011	14	1	36	707	0.05091938	
	2011	14	2	7	199	0.03517588	
	2011	15	1	30	495	0.06060606	
	2011	15	2	18	234	0.07692308	
	2011	16	1	43	467	0.09207709	
	2011	16	2	24	320	0.075	
	2011	17	1	36	314	0.1146497	
	2011	17	2	40	322	0.1242236	
	2011	18	1	43	218	0.1972477	
	2011	18	2	49	243	0.2016461	
	2011	19	1	21	63	0.3333333	
	2011	19	2	30	116	0.2586207	
	2011	20	1	2	7	0.2857143	
	2011	20	2	6	20	0.3	
	2012	5	1	0	3	0	
	2012	6	1	0	13	0	
	2012	7	1	0	46	0	
	2012	8	1	1	78	0.01282051	
	2012	8	2	0	9	0	
	2012	9	1	4	237	0.01687764	
	2012	9	2	1	42	0.02380952	
	2012	10	1	13	503	0.02584493	
	2012	10	2	3	83	0.03614458	
	2012	11	1	14	661	0.02118003	
	2012	11	2	2	127	0.01574803	
	2012	12	1	20	691	0.02894356	
	2012	12	2	4	127	0.03149606	
	2012	13	1	18	721	0.02496533	
	2012	13	2	9	174	0.05172414	
	2012	14	1	34	662	0.05135952	
	2012	14	2	7	201	0.03482587	
	2012	15	1	34	551	0.06170599	
	2012	15	2	16	246	0.06504065	
	2012	16	1	31	412	0.07524272	
	2012	16	2	33	316	0.1044304	
	2012	17	1	46	344	0.1337209	
	2012	17	2	40	293	0.1365188	
	2012	18	1	40	200	0.2	
	2012	18	2	39	230	0.1695652	
	2012	19	1	16	54	0.2962963	
	2012	19	2	43	108	0.3981481	
	2012	20	1	3	5	0.6	
	2012	20	2	5	23	0.2173913	
	2013	5	1	0	2	0	
	2013	5	2	0	5	0	
	2013	6	1	0	11	0	
	2013	6	2	0	4	0	
	2013	7	1	0	38	0	
	2013	8	1	0	82	0	
	2013	8	2	0	15	0	
	2013	9	1	5	220	0.02272727	
	2013	9	2	0	35	0	
	2013	10	1	14	489	0.02862986	
	2013	10	2	3	76	0.03947368	
	2013	11	1	8	613	0.01305057	
	2013	11	2	3	118	0.02542373	
	2013	12	1	24	749	0.03204272	
	2013	12	2	8	134	0.05970149	
	2013	13	1	21	634	0.03312303	
	2013	13	2	11	202	0.05445545	
	2013	14	1	31	632	0.04905063	
	2013	14	2	12	230	0.05217391	
	2013	15	1	32	560	0.05714286	
	2013	15	2	20	269	0.07434944	
	2013	16	1	40	455	0.08791209	
	2013	16	2	20	269	0.07434944	
	2013	17	1	48	336	0.1428571	
	2013	17	2	41	301	0.1362126	
	2013	18	1	36	208	0.1730769	
	2013	18	2	38	237	0.1603376	
	2013	19	1	11	56	0.1964286	
	2013	19	2	48	114	0.4210526	
	2013	20	1	5	9	0.5555556	
	2013	20	2	4	22	0.1818182	
	2014	5	1	0	9	0	
	2014	6	1	1	8	0.125	
	2014	6	2	0	1	0	
	2014	7	1	0	36	0	
	2014	7	2	1	5	0.2	
	2014	8	1	2	77	0.02597403	
	2014	8	2	0	11	0	
	2014	9	1	3	236	0.01271186	
	2014	9	2	1	30	0.03333333	
	2014	10	1	4	479	0.008350731	
	2014	10	2	0	70	0	
	2014	11	1	10	611	0.01636661	
	2014	11	2	1	79	0.01265823	
	2014	12	1	18	799	0.02252816	
	2014	12	2	4	167	0.0239521	
	2014	13	1	22	704	0.03125	
	2014	13	2	8	209	0.03827751	
	2014	14	1	29	646	0.04489164	
	2014	14	2	4	203	0.01970443	
	2014	15	1	30	543	0.05524862	
	2014	15	2	20	229	0.08733624	
	2014	16	1	41	436	0.0940367	
	2014	16	2	25	279	0.08960573	
	2014	17	1	39	305	0.1278689	
	2014	17	2	37	309	0.1197411	
	2014	18	1	38	182	0.2087912	
	2014	18	2	40	216	0.1851852	
	2014	19	1	11	53	0.2075472	
	2014	19	2	31	147	0.2108844	
	2014	20	1	3	7	0.4285714	
	2014	20	2	6	18	0.3333333	
	2015	5	1	0	1	0	
	2015	5	2	0	2	0	
	2015	6	1	0	13	0	
	2015	7	1	0	29	0	
	2015	7	2	0	3	0	
	2015	8	1	2	80	0.025	
	2015	8	2	1	11	0.09090909	
	2015	9	1	4	231	0.01731602	
	2015	9	2	0	32	0	
	2015	10	1	12	462	0.02597403	
	2015	10	2	3	71	0.04225352	
	2015	11	1	10	678	0.01474926	
	2015	11	2	0	110	0	
	2015	12	1	17	747	0.0227577	
	2015	12	2	3	118	0.02542373	
	2015	13	1	26	667	0.03898051	
	2015	13	2	4	168	0.02380952	
	2015	14	1	23	652	0.03527607	
	2015	14	2	3	235	0.01276596	
	2015	15	1	41	547	0.0749543	
	2015	15	2	16	216	0.07407407	
	2015	16	1	31	382	0.08115183	
	2015	16	2	15	259	0.05791506	
	2015	17	1	56	326	0.1717791	
	2015	17	2	37	280	0.1321429	
	2015	18	1	44	199	0.2211055	
	2015	18	2	43	225	0.1911111	
	2015	19	1	17	52	0.3269231	
	2015	19	2	28	123	0.2276423	
	2015	20	1	7	16	0.4375	
	2015	20	2	10	24	0.4166667	
	2016	5	1	0	6	0	
	2016	6	1	0	16	0	
	2016	6	2	0	1	0	
	2016	7	1	2	26	0.07692308	
	2016	7	2	0	4	0	
	2016	8	1	0	86	0	
	2016	8	2	0	11	0	
	2016	9	1	2	189	0.01058201	
	2016	9	2	0	22	0	
	2016	10	1	9	404	0.02227723	
	2016	10	2	0	66	0	
	2016	11	1	15	654	0.02293578	
	2016	11	2	1	120	0.008333333	
	2016	12	1	20	806	0.0248139	
	2016	12	2	3	138	0.02173913	
	2016	13	1	27	832	0.03245192	
	2016	13	2	4	170	0.02352941	
	2016	14	1	19	707	0.02687412	
	2016	14	2	13	213	0.06103286	
	2016	15	1	47	547	0.08592322	
	2016	15	2	25	251	0.09960159	
	2016	16	1	42	473	0.08879493	
	2016	16	2	27	273	0.0989011	
	2016	17	1	44	339	0.1297935	
	2016	17	2	30	283	0.1060071	
	2016	18	1	26	196	0.1326531	
	2016	18	2	42	236	0.1779661	
	2016	19	1	25	78	0.3205128	
	2016	19	2	28	117	0.2393162	
	2016	20	1	2	7	0.2857143	
	2016	20	2	9	28	0.3214286	
	2017	5	1	0	5	0	
	2017	5	2	0	1	0	
	2017	6	1	0	14	0	
	2017	6	2	0	1	0	
	2017	7	1	1	37	0.02702703	
	2017	7	2	0	1	0	
	2017	8	1	0	65	0	
	2017	8	2	0	15	0	
	2017	9	1	3	178	0.01685393	
	2017	9	2	2	26	0.07692308	
	2017	10	1	5	443	0.01128668	
	2017	10	2	3	53	0.05660377	
	2017	11	1	13	684	0.01900585	
	2017	11	2	0	121	0	
	2017	12	1	28	823	0.03402187	
	2017	12	2	6	148	0.04054054	
	2017	13	1	20	776	0.0257732	
	2017	13	2	3	167	0.01796407	
	2017	14	1	29	644	0.04503106	
	2017	14	2	14	209	0.06698565	
	2017	15	1	37	553	0.06690778	
	2017	15	2	15	286	0.05244755	
	2017	16	1	49	459	0.1067538	
	2017	16	2	27	278	0.0971223	
	2017	17	1	39	331	0.1178248	
	2017	17	2	41	300	0.1366667	
	2017	18	1	40	209	0.1913876	
	2017	18	2	35	231	0.1515152	
	2017	19	1	13	59	0.220339	
	2017	19	2	32	133	0.2406015	
	2017	20	1	3	8	0.375	
	2017	20	2	8	24	0.3333333	
	2018	5	1	0	3	0	
	2018	6	1	0	6	0	
	2018	7	1	2	32	0.0625	
	2018	7	2	0	6	0	
	2018	8	1	2	84	0.02380952	
	2018	8	2	2	20	0.1	
	2018	9	1	2	176	0.01136364	
	2018	9	2	1	32	0.03125	
