
	A1_11_M Nichttransmuraler Infarkt/NSTEMI (Alter >19), Mortalität // Infarctus non transmural/NSTEMI (âge >19), mortalité // Infarto non transmurale/NSTEMI (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	6	1	0	2	0	
	2008	6	2	0	3	0	
	2008	7	1	0	3	0	
	2008	7	2	0	1	0	
	2008	8	1	0	33	0	
	2008	8	2	0	5	0	
	2008	9	1	1	132	0.007575758	
	2008	9	2	0	23	0	
	2008	10	1	1	207	0.004830918	
	2008	10	2	0	27	0	
	2008	11	1	3	265	0.01132075	
	2008	11	2	1	54	0.01851852	
	2008	12	1	7	330	0.02121212	
	2008	12	2	2	90	0.02222222	
	2008	13	1	5	394	0.01269036	
	2008	13	2	3	129	0.02325581	
	2008	14	1	10	383	0.02610966	
	2008	14	2	2	128	0.015625	
	2008	15	1	14	411	0.03406326	
	2008	15	2	5	214	0.02336449	
	2008	16	1	23	432	0.05324074	
	2008	16	2	9	262	0.03435115	
	2008	17	1	41	365	0.1123288	
	2008	17	2	24	328	0.07317073	
	2008	18	1	27	198	0.1363636	
	2008	18	2	28	257	0.1089494	
	2008	19	1	19	80	0.2375	
	2008	19	2	12	84	0.1428571	
	2008	20	1	3	10	0.3	
	2008	20	2	5	17	0.2941176	
	2009	5	1	0	3	0	
	2009	6	1	0	2	0	
	2009	6	2	0	2	0	
	2009	7	1	0	7	0	
	2009	7	2	0	3	0	
	2009	8	1	0	49	0	
	2009	8	2	0	9	0	
	2009	9	1	0	126	0	
	2009	9	2	0	31	0	
	2009	10	1	2	247	0.008097166	
	2009	10	2	0	40	0	
	2009	11	1	1	358	0.002793296	
	2009	11	2	0	77	0	
	2009	12	1	3	422	0.007109005	
	2009	12	2	0	74	0	
	2009	13	1	4	495	0.008080808	
	2009	13	2	2	133	0.01503759	
	2009	14	1	7	499	0.01402806	
	2009	14	2	8	196	0.04081633	
	2009	15	1	12	478	0.0251046	
	2009	15	2	8	226	0.03539823	
	2009	16	1	36	500	0.072	
	2009	16	2	14	327	0.04281346	
	2009	17	1	39	413	0.09443099	
	2009	17	2	36	335	0.1074627	
	2009	18	1	40	261	0.1532567	
	2009	18	2	34	294	0.1156463	
	2009	19	1	16	73	0.2191781	
	2009	19	2	21	107	0.1962617	
	2009	20	1	3	11	0.2727273	
	2009	20	2	5	22	0.2272727	
	2010	5	1	0	1	0	
	2010	5	2	0	1	0	
	2010	6	2	0	1	0	
	2010	7	1	0	18	0	
	2010	7	2	0	8	0	
	2010	8	1	0	50	0	
	2010	8	2	0	10	0	
	2010	9	1	0	140	0	
	2010	9	2	0	22	0	
	2010	10	1	1	300	0.003333333	
	2010	10	2	0	48	0	
	2010	11	1	1	446	0.002242152	
	2010	11	2	0	124	0	
	2010	12	1	4	554	0.007220217	
	2010	12	2	1	104	0.009615385	
	2010	13	1	5	624	0.008012821	
	2010	13	2	1	184	0.005434783	
	2010	14	1	16	592	0.02702703	
	2010	14	2	5	216	0.02314815	
	2010	15	1	16	594	0.02693603	
	2010	15	2	9	304	0.02960526	
	2010	16	1	21	634	0.03312303	
	2010	16	2	15	400	0.0375	
	2010	17	1	43	541	0.07948244	
	2010	17	2	30	396	0.07575758	
	2010	18	1	65	359	0.1810585	
	2010	18	2	27	357	0.07563025	
	2010	19	1	18	91	0.1978022	
	2010	19	2	26	153	0.1699346	
	2010	20	1	2	21	0.0952381	
	2010	20	2	7	38	0.1842105	
	2011	5	1	0	1	0	
	2011	5	2	0	1	0	
	2011	6	1	0	2	0	
	2011	6	2	0	3	0	
	2011	7	1	0	18	0	
	2011	7	2	0	4	0	
	2011	8	1	0	54	0	
	2011	8	2	0	10	0	
	2011	9	1	0	168	0	
	2011	9	2	0	27	0	
	2011	10	1	1	323	0.003095975	
	2011	10	2	1	60	0.01666667	
	2011	11	1	0	478	0	
	2011	11	2	0	108	0	
	2011	12	1	1	624	0.001602564	
	2011	12	2	0	131	0	
	2011	13	1	9	708	0.01271186	
	2011	13	2	2	211	0.009478673	
	2011	14	1	9	744	0.01209677	
	2011	14	2	5	249	0.02008032	
	2011	15	1	17	670	0.02537313	
	2011	15	2	6	307	0.01954397	
	2011	16	1	32	790	0.04050633	
	2011	16	2	11	427	0.02576112	
	2011	17	1	57	647	0.08809892	
	2011	17	2	42	526	0.07984791	
	2011	18	1	45	364	0.1236264	
	2011	18	2	43	420	0.102381	
	2011	19	1	18	111	0.1621622	
	2011	19	2	15	160	0.09375	
	2011	20	1	2	24	0.08333333	
	2011	20	2	8	43	0.1860465	
	2012	5	1	0	2	0	
	2012	5	2	0	2	0	
	2012	6	1	0	3	0	
	2012	6	2	0	1	0	
	2012	7	1	0	18	0	
	2012	7	2	0	4	0	
	2012	8	1	0	39	0	
	2012	8	2	0	9	0	
	2012	9	1	0	155	0	
	2012	9	2	2	26	0.07692308	
	2012	10	1	1	326	0.003067485	
	2012	10	2	0	63	0	
	2012	11	1	3	494	0.006072874	
	2012	11	2	1	101	0.00990099	
	2012	12	1	6	582	0.01030928	
	2012	12	2	0	146	0	
	2012	13	1	10	703	0.01422475	
	2012	13	2	3	234	0.01282051	
	2012	14	1	18	761	0.02365309	
	2012	14	2	4	234	0.01709402	
	2012	15	1	16	723	0.02213001	
	2012	15	2	12	351	0.03418803	
	2012	16	1	27	735	0.03673469	
	2012	16	2	23	376	0.06117021	
	2012	17	1	53	663	0.07993967	
	2012	17	2	21	512	0.04101562	
