
	A1_13_M ND Herzinfarkt (Alter >19), Mortalität // DS infarctus du myocarde (âge >19), mortalité // DS infarto miocardico (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	3	0	
	2008	6	1	0	2	0	
	2008	6	2	0	1	0	
	2008	7	1	0	10	0	
	2008	7	2	0	3	0	
	2008	8	1	0	20	0	
	2008	8	2	0	4	0	
	2008	9	1	1	59	0.01694915	
	2008	9	2	0	6	0	
	2008	10	1	1	109	0.009174312	
	2008	10	2	4	26	0.1538462	
	2008	11	1	5	144	0.03472222	
	2008	11	2	5	26	0.1923077	
	2008	12	1	8	202	0.03960396	
	2008	12	2	5	46	0.1086957	
	2008	13	1	22	291	0.07560137	
	2008	13	2	9	70	0.1285714	
	2008	14	1	48	294	0.1632653	
	2008	14	2	16	114	0.1403509	
	2008	15	1	54	348	0.1551724	
	2008	15	2	28	165	0.169697	
	2008	16	1	70	407	0.1719902	
	2008	16	2	40	275	0.1454545	
	2008	17	1	82	384	0.2135417	
	2008	17	2	69	348	0.1982759	
	2008	18	1	68	229	0.2969432	
	2008	18	2	65	312	0.2083333	
	2008	19	1	27	103	0.2621359	
	2008	19	2	28	127	0.2204724	
	2008	20	1	5	18	0.2777778	
	2008	20	2	11	48	0.2291667	
	2009	6	1	0	2	0	
	2009	6	2	0	1	0	
	2009	7	1	2	6	0.3333333	
	2009	7	2	1	2	0.5	
	2009	8	1	1	21	0.04761905	
	2009	8	2	2	3	0.6666667	
	2009	9	1	1	34	0.02941176	
	2009	9	2	1	9	0.1111111	
	2009	10	1	8	67	0.119403	
	2009	10	2	2	19	0.1052632	
	2009	11	1	13	102	0.127451	
	2009	11	2	4	33	0.1212121	
	2009	12	1	11	146	0.07534247	
	2009	12	2	1	50	0.02	
	2009	13	1	26	205	0.1268293	
	2009	13	2	8	52	0.1538462	
	2009	14	1	32	226	0.1415929	
	2009	14	2	18	97	0.185567	
	2009	15	1	49	305	0.1606557	
	2009	15	2	24	154	0.1558442	
	2009	16	1	64	339	0.1887906	
	2009	16	2	43	238	0.1806723	
	2009	17	1	111	355	0.3126761	
	2009	17	2	57	303	0.1881188	
	2009	18	1	75	268	0.2798507	
	2009	18	2	75	304	0.2467105	
	2009	19	1	24	84	0.2857143	
	2009	19	2	29	128	0.2265625	
	2009	20	1	3	11	0.2727273	
	2009	20	2	9	34	0.2647059	
	2010	6	1	0	2	0	
	2010	7	1	0	6	0	
	2010	7	2	1	1	1	
	2010	8	1	1	15	0.06666667	
	2010	8	2	0	1	0	
	2010	9	1	3	34	0.08823529	
	2010	9	2	1	14	0.07142857	
	2010	10	1	9	62	0.1451613	
	2010	10	2	4	14	0.2857143	
	2010	11	1	10	89	0.1123596	
	2010	11	2	3	26	0.1153846	
	2010	12	1	13	128	0.1015625	
	2010	12	2	3	34	0.08823529	
	2010	13	1	32	212	0.1509434	
	2010	13	2	8	76	0.1052632	
	2010	14	1	44	235	0.187234	
	2010	14	2	10	90	0.1111111	
	2010	15	1	44	254	0.1732283	
	2010	15	2	20	165	0.1212121	
	2010	16	1	73	348	0.2097701	
	2010	16	2	31	236	0.1313559	
	2010	17	1	88	367	0.239782	
	2010	17	2	60	324	0.1851852	
	2010	18	1	65	251	0.2589641	
	2010	18	2	61	280	0.2178571	
	2010	19	1	21	78	0.2692308	
	2010	19	2	30	137	0.2189781	
	2010	20	1	4	20	0.2	
	2010	20	2	16	37	0.4324324	
	2011	5	1	0	2	0	
	2011	5	2	0	1	0	
	2011	6	1	0	3	0	
	2011	6	2	1	3	0.3333333	
	2011	7	1	1	3	0.3333333	
	2011	7	2	0	1	0	
	2011	8	1	1	11	0.09090909	
	2011	8	2	0	2	0	
	2011	9	1	1	19	0.05263158	
	2011	9	2	1	15	0.06666667	
	2011	10	1	3	49	0.06122449	
	2011	10	2	1	16	0.0625	
	2011	11	1	11	87	0.1264368	
	2011	11	2	6	27	0.2222222	
	2011	12	1	19	121	0.1570248	
	2011	12	2	2	34	0.05882353	
	2011	13	1	20	186	0.1075269	
	2011	13	2	8	65	0.1230769	
	2011	14	1	28	265	0.1056604	
	2011	14	2	17	78	0.2179487	
	2011	15	1	48	288	0.1666667	
	2011	15	2	27	143	0.1888112	
	2011	16	1	62	358	0.1731844	
	2011	16	2	41	236	0.1737288	
	2011	17	1	85	396	0.2146465	
	2011	17	2	57	338	0.1686391	
	2011	18	1	74	276	0.2681159	
	2011	18	2	61	330	0.1848485	
	2011	19	1	31	109	0.2844037	
	2011	19	2	33	151	0.218543	
	2011	20	1	9	19	0.4736842	
	2011	20	2	12	44	0.2727273	
	2012	5	1	0	2	0	
	2012	6	1	1	3	0.3333333	
	2012	6	2	0	2	0	
	2012	7	1	0	6	0	
	2012	7	2	0	1	0	
	2012	8	1	1	5	0.2	
	2012	8	2	1	7	0.1428571	
	2012	9	1	4	28	0.1428571	
	2012	9	2	0	7	0	
	2012	10	1	2	49	0.04081633	
	2012	10	2	1	17	0.05882353	
	2012	11	1	8	73	0.109589	
	2012	11	2	2	28	0.07142857	
	2012	12	1	12	118	0.1016949	
	2012	12	2	5	45	0.1111111	
	2012	13	1	20	175	0.1142857	
	2012	13	2	8	82	0.09756098	
	2012	14	1	39	256	0.1523438	
	2012	14	2	12	103	0.1165049	
	2012	15	1	44	274	0.1605839	
	2012	15	2	25	136	0.1838235	
	2012	16	1	60	392	0.1530612	
	2012	16	2	38	238	0.1596639	
	2012	17	1	60	368	0.1630435	
	2012	17	2	55	309	0.1779935	
	2012	18	1	58	270	0.2148148	
	2012	18	2	62	367	0.1689373	
	2012	19	1	39	142	0.2746479	
	2012	19	2	47	166	0.2831325	
	2012	20	1	7	22	0.3181818	
	2012	20	2	10	33	0.3030303	
	2013	5	1	0	2	0	
	2013	6	1	0	2	0	
	2013	6	2	0	2	0	
	2013	7	1	1	5	0.2	
	2013	7	2	0	3	0	
	2013	8	1	0	3	0	
	2013	8	2	0	5	0	
	2013	9	1	2	18	0.1111111	
	2013	9	2	1	5	0.2	
	2013	10	1	5	46	0.1086957	
	2013	10	2	1	13	0.07692308	
	2013	11	1	6	70	0.08571429	
	2013	11	2	2	30	0.06666667	
	2013	12	1	19	120	0.1583333	
	2013	12	2	4	42	0.0952381	
	2013	13	1	24	186	0.1290323	
	2013	13	2	9	60	0.15	
	2013	14	1	41	243	0.1687243	
	2013	14	2	16	102	0.1568627	
	2013	15	1	46	310	0.1483871	
	2013	15	2	21	167	0.1257485	
	2013	16	1	65	358	0.1815642	
	2013	16	2	27	252	0.1071429	
	2013	17	1	72	363	0.1983471	
	2013	17	2	55	350	0.1571429	
	2013	18	1	92	312	0.2948718	
	2013	18	2	79	414	0.1908213	
	2013	19	1	40	122	0.3278689	
	2013	19	2	46	199	0.2311558	
	2013	20	1	9	18	0.5	
	2013	20	2	8	53	0.1509434	
	2014	5	1	1	4	0.25	
	2014	6	1	1	2	0.5	
	2014	6	2	0	1	0	
	2014	7	1	0	3	0	
	2014	7	2	0	1	0	
	2014	8	1	1	10	0.1	
	2014	8	2	1	3	0.3333333	
	2014	9	1	2	21	0.0952381	
	2014	9	2	1	7	0.1428571	
	2014	10	1	6	60	0.1	
	2014	10	2	0	10	0	
	2014	11	1	7	80	0.0875	
	2014	11	2	3	21	0.1428571	
	2014	12	1	18	141	0.1276596	
	2014	12	2	3	47	0.06382979	
	2014	13	1	12	167	0.07185629	
	2014	13	2	11	74	0.1486486	
	2014	14	1	34	252	0.1349206	
	2014	14	2	13	111	0.1171171	
	2014	15	1	34	297	0.1144781	
	2014	15	2	26	185	0.1405405	
	2014	16	1	71	391	0.1815857	
	2014	16	2	45	258	0.1744186	
	2014	17	1	91	481	0.1891892	
	2014	17	2	63	391	0.1611253	
	2014	18	1	89	349	0.2550143	
	2014	18	2	74	377	0.1962865	
	2014	19	1	48	165	0.2909091	
	2014	19	2	47	249	0.188755	
	2014	20	1	12	27	0.4444444	
	2014	20	2	16	45	0.3555556	
	2015	5	1	0	4	0	
	2015	6	1	0	5	0	
	2015	7	1	0	2	0	
	2015	7	2	0	2	0	
	2015	8	1	1	13	0.07692308	
	2015	8	2	0	2	0	
	2015	9	1	0	19	0	
	2015	9	2	0	12	0	
	2015	10	1	0	49	0	
	2015	10	2	1	10	0.1	
