
	A2_01_M HD Herzinsuffizienz (Alter >19), Mortalität // DP insuffisance cardiaque (âge >19), mortalité // DP insufficienza cardiaca (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	7	0	
	2008	5	2	1	4	0.25	
	2008	6	1	0	9	0	
	2008	6	2	0	1	0	
	2008	7	1	1	7	0.1428571	
	2008	7	2	1	5	0.2	
	2008	8	1	0	11	0	
	2008	8	2	0	8	0	
	2008	9	1	2	33	0.06060606	
	2008	9	2	1	24	0.04166667	
	2008	10	1	1	61	0.01639344	
	2008	10	2	2	27	0.07407407	
	2008	11	1	3	138	0.02173913	
	2008	11	2	1	53	0.01886792	
	2008	12	1	8	251	0.03187251	
	2008	12	2	5	96	0.05208333	
	2008	13	1	14	402	0.03482587	
	2008	13	2	9	184	0.04891304	
	2008	14	1	26	556	0.04676259	
	2008	14	2	15	250	0.06	
	2008	15	1	61	864	0.07060185	
	2008	15	2	35	575	0.06086957	
	2008	16	1	90	1141	0.07887818	
	2008	16	2	79	1086	0.07274401	
	2008	17	1	162	1397	0.1159628	
	2008	17	2	130	1600	0.08125	
	2008	18	1	137	1035	0.1323671	
	2008	18	2	173	1665	0.1039039	
	2008	19	1	91	469	0.1940299	
	2008	19	2	103	816	0.1262255	
	2008	20	1	24	92	0.2608696	
	2008	20	2	20	227	0.08810573	
	2009	5	1	1	7	0.1428571	
	2009	5	2	0	1	0	
	2009	6	1	0	5	0	
	2009	6	2	0	4	0	
	2009	7	1	1	9	0.1111111	
	2009	7	2	0	5	0	
	2009	8	1	0	15	0	
	2009	8	2	0	6	0	
	2009	9	1	1	40	0.025	
	2009	9	2	0	20	0	
	2009	10	1	1	92	0.01086957	
	2009	10	2	2	23	0.08695652	
	2009	11	1	4	142	0.02816901	
	2009	11	2	3	52	0.05769231	
	2009	12	1	5	260	0.01923077	
	2009	12	2	1	78	0.01282051	
	2009	13	1	18	426	0.04225352	
	2009	13	2	3	197	0.01522843	
	2009	14	1	28	640	0.04375	
	2009	14	2	9	283	0.03180212	
	2009	15	1	60	855	0.07017544	
	2009	15	2	33	600	0.055	
	2009	16	1	103	1216	0.08470395	
	2009	16	2	61	947	0.06441394	
	2009	17	1	135	1541	0.08760545	
	2009	17	2	129	1661	0.07766406	
	2009	18	1	143	1210	0.1181818	
	2009	18	2	191	1684	0.1134204	
	2009	19	1	65	453	0.1434879	
	2009	19	2	101	763	0.1323722	
	2009	20	1	27	104	0.2596154	
	2009	20	2	29	206	0.1407767	
	2010	5	1	1	13	0.07692308	
	2010	6	1	0	11	0	
	2010	6	2	0	3	0	
	2010	7	1	0	10	0	
	2010	7	2	0	9	0	
	2010	8	1	2	22	0.09090909	
	2010	8	2	1	18	0.05555556	
	2010	9	1	0	50	0	
	2010	9	2	0	13	0	
	2010	10	1	3	84	0.03571429	
	2010	10	2	0	37	0	
	2010	11	1	3	166	0.01807229	
	2010	11	2	4	74	0.05405405	
	2010	12	1	7	269	0.0260223	
	2010	12	2	1	125	0.008	
	2010	13	1	15	460	0.0326087	
	2010	13	2	13	202	0.06435644	
	2010	14	1	40	680	0.05882353	
	2010	14	2	15	317	0.04731861	
	2010	15	1	55	965	0.05699482	
	2010	15	2	34	596	0.05704698	
	2010	16	1	134	1365	0.0981685	
	2010	16	2	76	1054	0.07210626	
	2010	17	1	140	1557	0.08991651	
	2010	17	2	145	1730	0.08381503	
	2010	18	1	174	1260	0.1380952	
	2010	18	2	190	1851	0.1026472	
	2010	19	1	93	535	0.1738318	
	2010	19	2	114	907	0.1256891	
	2010	20	1	19	116	0.1637931	
	2010	20	2	42	293	0.1433447	
	2011	5	1	0	3	0	
	2011	5	2	0	2	0	
	2011	6	1	0	8	0	
	2011	6	2	0	2	0	
	2011	7	1	1	13	0.07692308	
	2011	7	2	0	7	0	
	2011	8	1	0	23	0	
	2011	8	2	0	22	0	
	2011	9	1	3	53	0.05660377	
	2011	9	2	1	20	0.05	
	2011	10	1	0	92	0	
	2011	10	2	1	47	0.0212766	
	2011	11	1	2	133	0.01503759	
	2011	11	2	3	65	0.04615385	
	2011	12	1	4	250	0.016	
	2011	12	2	2	111	0.01801802	
	2011	13	1	17	481	0.03534304	
	2011	13	2	10	210	0.04761905	
	2011	14	1	31	678	0.04572271	
	2011	14	2	13	316	0.04113924	
	2011	15	1	51	883	0.05775764	
	2011	15	2	25	558	0.04480287	
	2011	16	1	93	1245	0.0746988	
	2011	16	2	74	1083	0.06832872	
	2011	17	1	178	1618	0.1100124	
	2011	17	2	145	1773	0.08178229	
	2011	18	1	184	1414	0.1301273	
	2011	18	2	199	1971	0.100964	
	2011	19	1	82	578	0.1418685	
	2011	19	2	124	1030	0.1203883	
	2011	20	1	24	119	0.2016807	
	2011	20	2	42	248	0.1693548	
	2012	5	1	0	5	0	
	2012	5	2	0	2	0	
	2012	6	1	0	8	0	
	2012	6	2	0	2	0	
	2012	7	1	2	8	0.25	
	2012	7	2	0	6	0	
	2012	8	1	0	24	0	
	2012	8	2	0	18	0	
	2012	9	1	1	52	0.01923077	
	2012	9	2	0	29	0	
	2012	10	1	3	89	0.03370787	
	2012	10	2	0	37	0	
	2012	11	1	3	153	0.01960784	
	2012	11	2	1	64	0.015625	
	2012	12	1	12	256	0.046875	
	2012	12	2	2	110	0.01818182	
	2012	13	1	19	442	0.04298643	
	2012	13	2	8	178	0.04494382	
	2012	14	1	31	691	0.04486252	
	2012	14	2	13	328	0.03963415	
	2012	15	1	52	915	0.0568306	
	2012	15	2	19	564	0.03368794	
	2012	16	1	111	1375	0.08072727	
	2012	16	2	58	1034	0.05609284	
	2012	17	1	163	1657	0.09837055	
	2012	17	2	147	1719	0.08551483	
	2012	18	1	188	1362	0.1380323	
	2012	18	2	190	1945	0.09768638	
	2012	19	1	108	696	0.1551724	
	2012	19	2	143	1138	0.1256591	
	2012	20	1	24	131	0.1832061	
	2012	20	2	53	308	0.1720779	
	2013	5	1	0	3	0	
	2013	5	2	0	3	0	
	2013	6	1	2	12	0.1666667	
	2013	6	2	0	3	0	
	2013	7	1	1	12	0.08333333	
	2013	7	2	0	12	0	
	2013	8	1	1	17	0.05882353	
	2013	8	2	0	21	0	
	2013	9	1	1	47	0.0212766	
	2013	9	2	0	15	0	
	2013	10	1	5	73	0.06849315	
	2013	10	2	1	32	0.03125	
	2013	11	1	5	156	0.03205128	
	2013	11	2	1	56	0.01785714	
	2013	12	1	11	275	0.04	
	2013	12	2	3	112	0.02678571	
	2013	13	1	12	399	0.03007519	
	2013	13	2	9	202	0.04455446	
	2013	14	1	40	703	0.056899	
	2013	14	2	19	381	0.04986877	
	2013	15	1	49	933	0.05251876	
	2013	15	2	21	573	0.03664921	
	2013	16	1	93	1392	0.06681034	
	2013	16	2	51	1082	0.04713494	
	2013	17	1	181	1708	0.1059719	
	2013	17	2	131	1823	0.07185957	
	2013	18	1	214	1610	0.1329193	
	2013	18	2	208	2204	0.09437387	
	2013	19	1	126	762	0.1653543	
	2013	19	2	160	1272	0.1257862	
	2013	20	1	30	146	0.2054795	
	2013	20	2	49	334	0.1467066	
	2014	5	1	0	1	0	
	2014	5	2	0	3	0	
	2014	6	1	1	15	0.06666667	
	2014	6	2	1	2	0.5	
	2014	7	1	1	8	0.125	
	2014	7	2	0	6	0	
	2014	8	1	1	31	0.03225806	
	2014	8	2	0	22	0	
	2014	9	1	1	33	0.03030303	
	2014	9	2	2	28	0.07142857	
	2014	10	1	2	85	0.02352941	
	2014	10	2	0	35	0	
	2014	11	1	9	148	0.06081081	
	2014	11	2	3	61	0.04918033	
	2014	12	1	13	287	0.04529617	
	2014	12	2	4	131	0.03053435	
	2014	13	1	20	444	0.04504505	
	2014	13	2	10	184	0.05434783	
	2014	14	1	47	761	0.06176084	
	2014	14	2	16	388	0.04123711	
	2014	15	1	68	1045	0.06507177	
	2014	15	2	28	620	0.04516129	
	2014	16	1	111	1453	0.07639367	
	2014	16	2	70	1117	0.06266786	
