
	A2_01_M HD Herzinsuffizienz (Alter >19), Mortalität // DP insuffisance cardiaque (âge >19), mortalité // DP insufficienza cardiaca (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	DeathCH	CasesCH	pCH	
	2008	1195	13094	9.126317	
	2009	1154	13545	8.519749	
	2010	1321	14792	8.930503	
	2011	1309	15056	8.694208	
	2012	1351	15346	8.803597	
	2013	1424	16373	8.697245	
	2014	1495	17204	8.68984	
	2015	1580	18083	8.737488	
	2016	1579	19383	8.146314	
	2017	1594	19866	8.023759	
	2018	1611	20348	7.91724	
	2019	1655	22263	7.433859	
