
	A2_03_M HD Herzinsuffizienz, Alter 45-64, Mortalität // DP insuffisance cardiaque, âge 45-64, mortalité // DP insufficienza cardiaca, età 45-64, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	10	1	1	61	0.01639344	
	2008	10	2	2	27	0.07407407	
	2008	11	1	3	138	0.02173913	
	2008	11	2	1	53	0.01886792	
	2008	12	1	8	251	0.03187251	
	2008	12	2	5	96	0.05208333	
	2008	13	1	14	402	0.03482587	
	2008	13	2	9	184	0.04891304	
	2009	10	1	1	92	0.01086957	
	2009	10	2	2	23	0.08695652	
	2009	11	1	4	142	0.02816901	
	2009	11	2	3	52	0.05769231	
	2009	12	1	5	260	0.01923077	
	2009	12	2	1	78	0.01282051	
	2009	13	1	18	426	0.04225352	
	2009	13	2	3	197	0.01522843	
	2010	10	1	3	84	0.03571429	
	2010	10	2	0	37	0	
	2010	11	1	3	166	0.01807229	
	2010	11	2	4	74	0.05405405	
	2010	12	1	7	269	0.0260223	
	2010	12	2	1	125	0.008	
	2010	13	1	15	460	0.0326087	
	2010	13	2	13	202	0.06435644	
	2011	10	1	0	92	0	
	2011	10	2	1	47	0.0212766	
	2011	11	1	2	133	0.01503759	
	2011	11	2	3	65	0.04615385	
	2011	12	1	4	250	0.016	
	2011	12	2	2	111	0.01801802	
	2011	13	1	17	481	0.03534304	
	2011	13	2	10	210	0.04761905	
	2012	10	1	3	89	0.03370787	
	2012	10	2	0	37	0	
	2012	11	1	3	153	0.01960784	
	2012	11	2	1	64	0.015625	
	2012	12	1	12	256	0.046875	
	2012	12	2	2	110	0.01818182	
	2012	13	1	19	442	0.04298643	
	2012	13	2	8	178	0.04494382	
	2013	10	1	5	73	0.06849315	
	2013	10	2	1	32	0.03125	
	2013	11	1	5	156	0.03205128	
	2013	11	2	1	56	0.01785714	
	2013	12	1	11	275	0.04	
	2013	12	2	3	112	0.02678571	
	2013	13	1	12	399	0.03007519	
	2013	13	2	9	202	0.04455446	
	2014	10	1	2	85	0.02352941	
	2014	10	2	0	35	0	
	2014	11	1	9	148	0.06081081	
	2014	11	2	3	61	0.04918033	
	2014	12	1	13	287	0.04529617	
	2014	12	2	4	131	0.03053435	
	2014	13	1	20	444	0.04504505	
	2014	13	2	10	184	0.05434783	
	2015	10	1	2	102	0.01960784	
	2015	10	2	1	30	0.03333333	
	2015	11	1	5	158	0.03164557	
	2015	11	2	1	82	0.01219512	
	2015	12	1	6	285	0.02105263	
	2015	12	2	5	111	0.04504505	
	2015	13	1	23	505	0.04554455	
	2015	13	2	5	180	0.02777778	
	2016	10	1	3	102	0.02941176	
	2016	10	2	2	42	0.04761905	
	2016	11	1	5	199	0.02512563	
	2016	11	2	5	65	0.07692308	
	2016	12	1	9	293	0.03071672	
	2016	12	2	4	116	0.03448276	
	2016	13	1	21	511	0.04109589	
	2016	13	2	9	224	0.04017857	
	2017	10	1	3	115	0.02608696	
	2017	10	2	1	35	0.02857143	
	2017	11	1	11	216	0.05092593	
	2017	11	2	1	53	0.01886792	
	2017	12	1	2	308	0.006493506	
	2017	12	2	2	109	0.01834862	
	2017	13	1	18	448	0.04017857	
	2017	13	2	3	224	0.01339286	
	2018	10	1	0	103	0	
	2018	10	2	2	35	0.05714286	
	2018	11	1	0	195	0	
	2018	11	2	1	47	0.0212766	
	2018	12	1	5	332	0.01506024	
	2018	12	2	3	151	0.01986755	
	2018	13	1	21	493	0.04259635	
	2018	13	2	9	245	0.03673469	
	2019	10	1	6	108	0.05555556	
	2019	10	2	2	34	0.05882353	
	2019	11	1	3	195	0.01538462	
	2019	11	2	0	46	0	
	2019	12	1	9	332	0.02710843	
	2019	12	2	4	118	0.03389831	
	2019	13	1	12	504	0.02380952	
	2019	13	2	5	224	0.02232143	
