
	A3_02_M Katheter der Koronargefässe bei HD Herzinfarkt ohne OP am Herzen (Alter >19), Mortalität // Cathétérisme des vaisseaux coronaires en cas de DP infarctus du myocarde sans OP du cœur (âge >19), mortalité // Catetere dei vasi coronarici con DP infarto miocardico senza OP al cuore (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	5	0	
	2008	6	1	0	7	0	
	2008	6	2	0	2	0	
	2008	7	1	0	18	0	
	2008	7	2	0	3	0	
	2008	8	1	0	60	0	
	2008	8	2	0	16	0	
	2008	9	1	3	248	0.01209677	
	2008	9	2	1	34	0.02941176	
	2008	10	1	5	423	0.01182033	
	2008	10	2	2	61	0.03278689	
	2008	11	1	10	536	0.01865672	
	2008	11	2	6	119	0.05042017	
	2008	12	1	10	596	0.01677852	
	2008	12	2	6	124	0.0483871	
	2008	13	1	17	660	0.02575758	
	2008	13	2	4	179	0.02234637	
	2008	14	1	16	573	0.02792321	
	2008	14	2	9	209	0.0430622	
	2008	15	1	19	535	0.03551402	
	2008	15	2	6	253	0.02371542	
	2008	16	1	21	467	0.04496788	
	2008	16	2	15	301	0.04983389	
	2008	17	1	24	279	0.08602151	
	2008	17	2	24	237	0.1012658	
	2008	18	1	10	106	0.09433962	
	2008	18	2	11	99	0.1111111	
	2008	19	1	1	9	0.1111111	
	2008	19	2	1	20	0.05	
	2008	20	1	0	2	0	
	2009	5	1	0	2	0	
	2009	6	1	0	7	0	
	2009	6	2	0	2	0	
	2009	7	1	0	17	0	
	2009	7	2	0	6	0	
	2009	8	1	0	90	0	
	2009	8	2	0	17	0	
	2009	9	1	2	223	0.00896861	
	2009	9	2	1	36	0.02777778	
	2009	10	1	9	444	0.02027027	
	2009	10	2	3	72	0.04166667	
	2009	11	1	12	619	0.01938611	
	2009	11	2	1	111	0.009009009	
	2009	12	1	11	689	0.01596517	
	2009	12	2	0	131	0	
	2009	13	1	17	694	0.02449568	
	2009	13	2	5	166	0.03012048	
	2009	14	1	17	613	0.02773246	
	2009	14	2	10	238	0.04201681	
	2009	15	1	13	567	0.02292769	
	2009	15	2	9	275	0.03272727	
	2009	16	1	25	510	0.04901961	
	2009	16	2	11	292	0.03767123	
	2009	17	1	16	322	0.04968944	
	2009	17	2	17	247	0.06882591	
	2009	18	1	5	123	0.04065041	
	2009	18	2	6	105	0.05714286	
	2009	19	1	1	12	0.08333333	
	2009	19	2	0	15	0	
	2009	20	2	0	1	0	
	2010	5	1	0	4	0	
	2010	6	1	0	8	0	
	2010	6	2	0	2	0	
	2010	7	1	0	28	0	
	2010	7	2	0	11	0	
	2010	8	1	0	96	0	
	2010	8	2	0	10	0	
	2010	9	1	4	247	0.01619433	
	2010	9	2	0	33	0	
	2010	10	1	7	488	0.01434426	
	2010	10	2	2	75	0.02666667	
	2010	11	1	9	697	0.01291248	
	2010	11	2	0	130	0	
	2010	12	1	15	791	0.01896334	
	2010	12	2	4	147	0.02721088	
	2010	13	1	12	877	0.01368301	
	2010	13	2	2	208	0.009615385	
	2010	14	1	30	783	0.03831418	
	2010	14	2	6	238	0.02521008	
	2010	15	1	29	634	0.04574132	
	2010	15	2	11	299	0.0367893	
	2010	16	1	24	592	0.04054054	
	2010	16	2	18	382	0.04712042	
	2010	17	1	32	393	0.08142494	
	2010	17	2	15	303	0.04950495	
	2010	18	1	22	165	0.1333333	
	2010	18	2	7	147	0.04761905	
	2010	19	1	1	20	0.05	
	2010	19	2	2	19	0.1052632	
	2010	20	1	0	2	0	
	2010	20	2	0	2	0	
	2011	5	1	0	1	0	
	2011	5	2	0	1	0	
	2011	6	1	0	2	0	
	2011	6	2	0	3	0	
	2011	7	1	1	17	0.05882353	
	2011	7	2	0	8	0	
	2011	8	1	1	80	0.0125	
	2011	8	2	0	18	0	
	2011	9	1	3	267	0.01123596	
	2011	9	2	0	50	0	
	2011	10	1	7	514	0.01361868	
	2011	10	2	2	81	0.02469136	
	2011	11	1	8	688	0.01162791	
	2011	11	2	1	133	0.007518797	
	2011	12	1	15	795	0.01886792	
	2011	12	2	3	168	0.01785714	
	2011	13	1	17	867	0.01960784	
	2011	13	2	4	236	0.01694915	
	2011	14	1	29	894	0.03243848	
	2011	14	2	7	263	0.02661597	
	2011	15	1	24	673	0.03566122	
	2011	15	2	9	301	0.02990033	
	2011	16	1	38	709	0.05359661	
	2011	16	2	14	385	0.03636364	
	2011	17	1	32	427	0.07494145	
	2011	17	2	20	358	0.05586592	
	2011	18	1	13	176	0.07386364	
	2011	18	2	10	164	0.06097561	
	2011	19	1	3	24	0.125	
	2011	19	2	2	41	0.04878049	
	2011	20	2	0	2	0	
	2012	5	1	0	2	0	
	2012	5	2	0	1	0	
	2012	6	1	0	10	0	
	2012	6	2	0	1	0	
	2012	7	1	0	39	0	
	2012	7	2	0	2	0	
	2012	8	1	1	79	0.01265823	
	2012	8	2	0	13	0	
	2012	9	1	3	254	0.01181102	
	2012	9	2	1	41	0.02439024	
	2012	10	1	7	529	0.01323251	
	2012	10	2	2	91	0.02197802	
	2012	11	1	14	751	0.01864181	
	2012	11	2	2	154	0.01298701	
	2012	12	1	22	836	0.02631579	
	2012	12	2	4	178	0.02247191	
	2012	13	1	18	901	0.0199778	
	2012	13	2	9	251	0.03585657	
	2012	14	1	36	875	0.04114286	
	2012	14	2	7	288	0.02430556	
	2012	15	1	34	787	0.04320203	
	2012	15	2	6	327	0.01834862	
	2012	16	1	30	670	0.04477612	
	2012	16	2	33	408	0.08088235	
	2012	17	1	28	512	0.0546875	
	2012	17	2	21	357	0.05882353	
	2012	18	1	18	216	0.08333333	
	2012	18	2	15	181	0.08287293	
	2012	19	1	4	37	0.1081081	
	2012	19	2	3	24	0.125	
