
	A3_04_M Diagnostische Katheter der Koronargefässe ohne HD Herzinfarkt ohne OP am Herzen (Alter >19), Mortalität // Cathétérisme diagnostique des vaisseaux coronaires sans DP infarctus du myocarde sans OP du cœur (âge >19), mortalité // Catetere diagnostico dei vasi coronarici senza DP infarto miocardico senza OP al cuore (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	19	0	
	2008	5	2	0	2	0	
	2008	6	1	0	22	0	
	2008	6	2	0	2	0	
	2008	7	1	0	45	0	
	2008	7	2	1	12	0.08333333	
	2008	8	1	0	84	0	
	2008	8	2	0	42	0	
	2008	9	1	2	214	0.009345794	
	2008	9	2	0	54	0	
	2008	10	1	1	345	0.002898551	
	2008	10	2	1	118	0.008474576	
	2008	11	1	3	551	0.005444646	
	2008	11	2	1	225	0.004444444	
	2008	12	1	6	762	0.007874016	
	2008	12	2	2	302	0.006622517	
	2008	13	1	5	1077	0.004642526	
	2008	13	2	3	522	0.005747126	
	2008	14	1	6	1038	0.005780347	
	2008	14	2	2	596	0.003355705	
	2008	15	1	10	1048	0.009541985	
	2008	15	2	3	632	0.004746835	
	2008	16	1	14	754	0.01856764	
	2008	16	2	5	614	0.008143322	
	2008	17	1	6	410	0.01463415	
	2008	17	2	3	332	0.009036145	
	2008	18	1	1	114	0.00877193	
	2008	18	2	3	96	0.03125	
	2008	19	1	0	8	0	
	2008	19	2	0	14	0	
	2009	5	1	0	20	0	
	2009	5	2	0	6	0	
	2009	6	1	0	27	0	
	2009	6	2	1	6	0.1666667	
	2009	7	1	1	35	0.02857143	
	2009	7	2	0	14	0	
	2009	8	1	0	87	0	
	2009	8	2	0	30	0	
	2009	9	1	2	177	0.01129944	
	2009	9	2	0	66	0	
	2009	10	1	1	313	0.003194888	
	2009	10	2	0	113	0	
	2009	11	1	0	524	0	
	2009	11	2	3	243	0.01234568	
	2009	12	1	4	749	0.005340454	
	2009	12	2	5	276	0.01811594	
	2009	13	1	2	1004	0.001992032	
	2009	13	2	5	486	0.01028807	
	2009	14	1	3	1034	0.002901354	
	2009	14	2	1	558	0.001792115	
	2009	15	1	8	993	0.008056395	
	2009	15	2	4	590	0.006779661	
	2009	16	1	10	797	0.01254705	
	2009	16	2	5	621	0.00805153	
	2009	17	1	16	412	0.03883495	
	2009	17	2	5	367	0.01362398	
	2009	18	1	3	127	0.02362205	
	2009	18	2	5	154	0.03246753	
	2009	19	1	0	13	0	
	2009	19	2	0	16	0	
	2009	20	2	1	2	0.5	
	2010	5	1	0	14	0	
	2010	5	2	1	7	0.1428571	
	2010	6	1	0	24	0	
	2010	6	2	0	9	0	
	2010	7	1	0	44	0	
	2010	7	2	0	14	0	
	2010	8	1	0	92	0	
	2010	8	2	1	29	0.03448276	
	2010	9	1	1	184	0.005434783	
	2010	9	2	1	70	0.01428571	
	2010	10	1	1	380	0.002631579	
	2010	10	2	1	159	0.006289308	
	2010	11	1	5	560	0.008928571	
	2010	11	2	1	234	0.004273504	
	2010	12	1	2	824	0.002427184	
	2010	12	2	2	391	0.00511509	
	2010	13	1	10	1135	0.008810573	
	2010	13	2	4	519	0.007707129	
	2010	14	1	16	1267	0.01262826	
	2010	14	2	3	741	0.004048583	
	2010	15	1	8	1160	0.006896552	
	2010	15	2	7	702	0.00997151	
	2010	16	1	12	1050	0.01142857	
	2010	16	2	7	757	0.009247028	
	2010	17	1	6	535	0.01121495	
	2010	17	2	7	504	0.01388889	
	2010	18	1	3	153	0.01960784	
	2010	18	2	2	162	0.01234568	
	2010	19	1	1	20	0.05	
	2010	19	2	0	24	0	
	2010	20	1	0	2	0	
	2011	5	1	0	8	0	
	2011	5	2	0	6	0	
	2011	6	1	0	31	0	
	2011	6	2	0	7	0	
	2011	7	1	0	39	0	
	2011	7	2	0	21	0	
	2011	8	1	0	90	0	
	2011	8	2	0	29	0	
	2011	9	1	0	191	0	
	2011	9	2	0	67	0	
	2011	10	1	2	367	0.005449591	
	2011	10	2	0	153	0	
	2011	11	1	4	563	0.007104796	
	2011	11	2	1	246	0.004065041	
	2011	12	1	9	822	0.01094891	
	2011	12	2	3	348	0.00862069	
	2011	13	1	5	1116	0.004480287	
	2011	13	2	5	516	0.009689922	
	2011	14	1	5	1220	0.004098361	
	2011	14	2	2	709	0.002820874	
	2011	15	1	10	1083	0.00923361	
	2011	15	2	9	749	0.01201602	
	2011	16	1	16	1026	0.01559454	
	2011	16	2	8	738	0.01084011	
	2011	17	1	7	636	0.01100629	
	2011	17	2	4	543	0.007366483	
	2011	18	1	4	185	0.02162162	
	2011	18	2	1	191	0.005235602	
	2011	19	1	1	20	0.05	
	2011	19	2	0	18	0	
	2012	5	1	0	12	0	
	2012	5	2	0	6	0	
	2012	6	1	0	25	0	
	2012	6	2	0	1	0	
	2012	7	1	2	34	0.05882353	
	2012	7	2	0	14	0	
	2012	8	1	0	88	0	
	2012	8	2	1	21	0.04761905	
	2012	9	1	0	184	0	
	2012	9	2	1	47	0.0212766	
	2012	10	1	2	319	0.006269592	
	2012	10	2	2	153	0.0130719	
	2012	11	1	5	506	0.009881423	
	2012	11	2	0	194	0	
	2012	12	1	6	745	0.008053691	
	2012	12	2	1	315	0.003174603	
	2012	13	1	8	980	0.008163265	
	2012	13	2	3	477	0.006289308	
	2012	14	1	10	1239	0.008071025	
	2012	14	2	5	664	0.00753012	
	2012	15	1	9	1063	0.008466604	
	2012	15	2	9	735	0.0122449	
	2012	16	1	20	991	0.02018163	
	2012	16	2	11	751	0.01464714	
	2012	17	1	16	587	0.02725724	
	2012	17	2	9	489	0.01840491	
	2012	18	1	6	173	0.03468208	
	2012	18	2	1	194	0.005154639	
	2012	19	1	1	22	0.04545455	
	2012	19	2	4	28	0.1428571	
	2012	20	1	0	1	0	
	2012	20	2	0	2	0	
	2013	5	1	0	20	0	
	2013	5	2	0	3	0	
	2013	6	1	0	22	0	
	2013	6	2	0	5	0	
	2013	7	1	1	45	0.02222222	
	2013	7	2	1	7	0.1428571	
	2013	8	1	1	71	0.01408451	
	2013	8	2	0	39	0	
	2013	9	1	2	180	0.01111111	
	2013	9	2	3	58	0.05172414	
	2013	10	1	0	340	0	
	2013	10	2	2	127	0.01574803	
	2013	11	1	4	518	0.007722008	
	2013	11	2	3	214	0.01401869	
	2013	12	1	4	685	0.005839416	
	2013	12	2	2	344	0.005813953	
	2013	13	1	15	929	0.01614639	
	2013	13	2	6	485	0.01237113	
	2013	14	1	16	1189	0.01345669	
	2013	14	2	9	693	0.01298701	
	2013	15	1	16	1143	0.01399825	
	2013	15	2	11	680	0.01617647	
	2013	16	1	15	1022	0.0146771	
	2013	16	2	4	754	0.00530504	
	2013	17	1	14	679	0.02061856	
	2013	17	2	10	577	0.01733102	
	2013	18	1	7	211	0.03317536	
	2013	18	2	4	214	0.01869159	
	2013	19	1	0	29	0	
	2013	19	2	2	37	0.05405405	
	2013	20	1	0	5	0	
	2013	20	2	0	1	0	
	2014	5	1	1	13	0.07692308	
	2014	5	2	0	5	0	
	2014	6	1	1	37	0.02702703	
	2014	6	2	0	2	0	
	2014	7	1	2	54	0.03703704	
	2014	7	2	1	18	0.05555556	
	2014	8	1	1	72	0.01388889	
