
	A3_05_M Therapeutische Katheter der Koronargefässe ohne HD Herzinfarkt ohne OP am Herzen (Alter >19), Mortalität // Cathétérisme thérapeutique des vaisseaux coronaires sans DP infarctus du myocarde sans OP du cœur (âge >19), mortalité // Catetere terapeutico dei vasi coronarici senza DP infarto miocardico senza OP al cuore (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	6	1	0	3	0	
	2008	7	1	0	15	0	
	2008	7	2	0	2	0	
	2008	8	1	0	38	0	
	2008	8	2	0	10	0	
	2008	9	1	2	153	0.0130719	
	2008	9	2	0	16	0	
	2008	10	1	0	374	0	
	2008	10	2	0	57	0	
	2008	11	1	3	594	0.005050505	
	2008	11	2	0	95	0	
	2008	12	1	1	878	0.001138952	
	2008	12	2	0	151	0	
	2008	13	1	8	1147	0.006974717	
	2008	13	2	2	271	0.007380074	
	2008	14	1	15	1165	0.01287554	
	2008	14	2	2	338	0.00591716	
	2008	15	1	6	1059	0.005665722	
	2008	15	2	5	432	0.01157407	
	2008	16	1	16	867	0.01845444	
	2008	16	2	3	450	0.006666667	
	2008	17	1	10	415	0.02409639	
	2008	17	2	2	277	0.007220217	
	2008	18	1	5	121	0.04132231	
	2008	18	2	9	85	0.1058824	
	2008	19	1	0	19	0	
	2008	19	2	1	7	0.1428571	
	2008	20	1	0	2	0	
	2009	7	1	1	9	0.1111111	
	2009	8	1	0	35	0	
	2009	8	2	0	7	0	
	2009	9	1	0	105	0	
	2009	9	2	2	29	0.06896552	
	2009	10	1	3	289	0.01038062	
	2009	10	2	0	34	0	
	2009	11	1	4	567	0.007054674	
	2009	11	2	1	92	0.01086957	
	2009	12	1	4	807	0.004956629	
	2009	12	2	0	142	0	
	2009	13	1	9	1053	0.008547009	
	2009	13	2	2	262	0.007633588	
	2009	14	1	12	1125	0.01066667	
	2009	14	2	2	338	0.00591716	
	2009	15	1	8	1008	0.007936508	
	2009	15	2	2	389	0.005141388	
	2009	16	1	6	796	0.007537688	
	2009	16	2	5	400	0.0125	
	2009	17	1	12	432	0.02777778	
	2009	17	2	6	273	0.02197802	
	2009	18	1	3	141	0.0212766	
	2009	18	2	1	87	0.01149425	
	2009	19	1	1	14	0.07142857	
	2009	19	2	2	10	0.2	
	2009	20	1	0	1	0	
	2009	20	2	0	2	0	
	2010	5	1	0	1	0	
	2010	6	1	0	1	0	
	2010	7	1	0	4	0	
	2010	7	2	0	1	0	
	2010	8	1	1	33	0.03030303	
	2010	8	2	0	7	0	
	2010	9	1	2	142	0.01408451	
	2010	9	2	0	19	0	
	2010	10	1	5	313	0.01597444	
	2010	10	2	0	48	0	
	2010	11	1	3	534	0.005617978	
	2010	11	2	1	106	0.009433962	
	2010	12	1	6	777	0.007722008	
	2010	12	2	0	154	0	
	2010	13	1	9	1168	0.007705479	
	2010	13	2	3	288	0.01041667	
	2010	14	1	10	1178	0.008488964	
	2010	14	2	6	367	0.01634877	
	2010	15	1	14	1163	0.01203783	
	2010	15	2	2	444	0.004504505	
	2010	16	1	15	951	0.01577287	
	2010	16	2	4	462	0.008658009	
	2010	17	1	11	508	0.02165354	
	2010	17	2	4	320	0.0125	
	2010	18	1	2	175	0.01142857	
	2010	18	2	5	109	0.04587156	
	2010	19	1	1	21	0.04761905	
	2010	19	2	1	16	0.0625	
	2011	6	1	0	2	0	
	2011	6	2	0	1	0	
	2011	7	1	0	6	0	
	2011	7	2	0	2	0	
	2011	8	1	2	30	0.06666667	
	2011	8	2	0	2	0	
	2011	9	1	1	105	0.00952381	
	2011	9	2	0	13	0	
	2011	10	1	3	281	0.01067616	
	2011	10	2	1	55	0.01818182	
	2011	11	1	2	521	0.003838772	
	2011	11	2	1	105	0.00952381	
	2011	12	1	7	765	0.009150327	
	2011	12	2	0	130	0	
	2011	13	1	4	1066	0.003752345	
	2011	13	2	3	268	0.01119403	
	2011	14	1	9	1281	0.007025761	
	2011	14	2	2	383	0.005221932	
	2011	15	1	13	1093	0.01189387	
	2011	15	2	4	408	0.009803922	
	2011	16	1	23	947	0.02428722	
	2011	16	2	5	465	0.01075269	
	2011	17	1	9	525	0.01714286	
	2011	17	2	5	314	0.01592357	
	2011	18	1	8	169	0.04733728	
	2011	18	2	0	106	0	
	2011	19	1	2	18	0.1111111	
	2011	19	2	0	16	0	
	2011	20	2	1	1	1	
	2012	5	1	0	1	0	
	2012	6	1	0	1	0	
	2012	7	1	0	9	0	
	2012	8	1	0	27	0	
	2012	8	2	0	1	0	
	2012	9	1	0	93	0	
	2012	9	2	1	14	0.07142857	
	2012	10	1	0	240	0	
	2012	10	2	0	31	0	
	2012	11	1	6	435	0.0137931	
	2012	11	2	0	73	0	
	2012	12	1	10	667	0.0149925	
	2012	12	2	1	143	0.006993007	
	2012	13	1	9	907	0.009922822	
	2012	13	2	0	192	0	
	2012	14	1	9	1095	0.008219178	
	2012	14	2	2	316	0.006329114	
	2012	15	1	18	989	0.0182002	
	2012	15	2	3	380	0.007894737	
	2012	16	1	20	891	0.02244669	
	2012	16	2	3	391	0.007672634	
	2012	17	1	11	488	0.02254098	
	2012	17	2	5	320	0.015625	
	2012	18	1	4	154	0.02597403	
	2012	18	2	1	88	0.01136364	
	2012	19	1	3	34	0.08823529	
	2012	19	2	0	15	0	
	2012	20	1	0	1	0	
	2012	20	2	0	1	0	
	2013	7	1	1	9	0.1111111	
	2013	7	2	1	2	0.5	
	2013	8	1	0	19	0	
	2013	8	2	0	9	0	
	2013	9	1	1	76	0.01315789	
	2013	9	2	0	10	0	
	2013	10	1	1	215	0.004651163	
	2013	10	2	1	33	0.03030303	
	2013	11	1	3	429	0.006993007	
	2013	11	2	0	84	0	
	2013	12	1	4	628	0.006369427	
	2013	12	2	1	114	0.00877193	
	2013	13	1	5	898	0.005567929	
	2013	13	2	2	192	0.01041667	
	2013	14	1	6	1128	0.005319149	
	2013	14	2	6	316	0.01898734	
	2013	15	1	14	1015	0.0137931	
	2013	15	2	3	393	0.007633588	
	2013	16	1	15	898	0.01670379	
	2013	16	2	8	432	0.01851852	
	2013	17	1	7	534	0.01310861	
	2013	17	2	3	301	0.009966777	
	2013	18	1	5	170	0.02941176	
	2013	18	2	5	120	0.04166667	
	2013	19	1	0	36	0	
	2013	19	2	0	18	0	
	2013	20	2	0	1	0	
	2014	6	1	1	4	0.25	
	2014	6	2	0	1	0	
	2014	7	1	0	5	0	
	2014	8	1	1	24	0.04166667	
	2014	8	2	0	4	0	
	2014	9	1	2	70	0.02857143	
	2014	9	2	0	17	0	
	2014	10	1	1	212	0.004716981	
	2014	10	2	0	33	0	
	2014	11	1	7	467	0.01498929	
	2014	11	2	1	81	0.01234568	
	2014	12	1	4	745	0.005369128	
	2014	12	2	3	155	0.01935484	
	2014	13	1	5	927	0.005393743	
	2014	13	2	0	188	0	
	2014	14	1	10	1082	0.009242144	
	2014	14	2	2	319	0.006269592	
	2014	15	1	14	1175	0.01191489	
	2014	15	2	4	402	0.009950249	
	2014	16	1	8	953	0.008394544	
	2014	16	2	5	426	0.01173709	
	2014	17	1	11	620	0.01774194	
	2014	17	2	6	330	0.01818182	
	2014	18	1	4	210	0.01904762	
	2014	18	2	7	136	0.05147059	
	2014	19	1	1	37	0.02702703	
	2014	19	2	1	31	0.03225806	
	2014	20	1	0	2	0	
	2014	20	2	0	2	0	
	2015	7	1	0	2	0	
	2015	8	1	0	23	0	
	2015	9	1	1	73	0.01369863	
	2015	9	2	0	11	0	
	2015	10	1	2	207	0.009661836	
	2015	10	2	0	35	0	
	2015	11	1	4	429	0.009324009	
	2015	11	2	0	73	0	
	2015	12	1	5	684	0.007309942	
	2015	12	2	1	118	0.008474576	
	2015	13	1	6	880	0.006818182	
	2015	13	2	3	182	0.01648352	
	2015	14	1	12	1185	0.01012658	
	2015	14	2	1	328	0.00304878	
	2015	15	1	12	1226	0.009787928	
	2015	15	2	2	443	0.004514673	
	2015	16	1	18	965	0.01865285	
	2015	16	2	6	417	0.01438849	
	2015	17	1	14	697	0.02008608	
	2015	17	2	9	330	0.02727273	
	2015	18	1	4	211	0.01895735	
	2015	18	2	3	130	0.02307692	
	2015	19	1	2	34	0.05882353	
	2015	19	2	0	25	0	
	2015	20	1	0	1	0	
	2015	20	2	0	1	0	
	2016	5	2	0	1	0	
	2016	6	1	0	3	0	
	2016	7	1	0	2	0	
	2016	7	2	0	1	0	
	2016	8	1	0	15	0	
	2016	8	2	0	3	0	
	2016	9	1	0	75	0	
	2016	9	2	0	11	0	
	2016	10	1	1	229	0.004366812	
	2016	10	2	0	42	0	
	2016	11	1	5	462	0.01082251	
	2016	11	2	1	82	0.01219512	
	2016	12	1	5	718	0.006963788	
	2016	12	2	1	155	0.006451613	
	2016	13	1	9	951	0.009463722	
	2016	13	2	2	217	0.00921659	
	2016	14	1	16	1262	0.01267829	
	2016	14	2	8	330	0.02424242	
	2016	15	1	11	1301	0.008455035	
	2016	15	2	9	488	0.01844262	
	2016	16	1	16	1034	0.01547389	
	2016	16	2	10	500	0.02	
	2016	17	1	24	769	0.03120936	
	2016	17	2	11	399	0.02756892	
	2016	18	1	10	274	0.03649635	
	2016	18	2	5	154	0.03246753	
	2016	19	1	0	50	0	
	2016	19	2	0	24	0	
	2016	20	1	1	4	0.25	
	2016	20	2	0	2	0	
	2017	7	1	0	7	0	
	2017	8	1	0	24	0	
	2017	8	2	0	1	0	
	2017	9	1	0	54	0	
	2017	9	2	0	8	0	
	2017	10	1	5	218	0.02293578	
	2017	10	2	0	29	0	
	2017	11	1	1	470	0.00212766	
	2017	11	2	0	71	0	
	2017	12	1	12	764	0.01570681	
	2017	12	2	0	117	0	
	2017	13	1	3	1014	0.00295858	
	2017	13	2	0	235	0	
	2017	14	1	10	1157	0.008643042	
	2017	14	2	1	359	0.002785515	
	2017	15	1	12	1419	0.00845666	
	2017	15	2	4	485	0.008247423	
	2017	16	1	9	1129	0.007971656	
	2017	16	2	7	501	0.01397206	
	2017	17	1	13	749	0.01735648	
	2017	17	2	8	411	0.01946472	
	2017	18	1	8	304	0.02631579	
	2017	18	2	2	189	0.01058201	
	2017	19	1	4	44	0.09090909	
	2017	19	2	0	29	0	
	2017	20	1	0	2	0	
	2017	20	2	0	3	0	
	2018	6	1	0	3	0	
	2018	7	1	0	2	0	
	2018	7	2	0	1	0	
	2018	8	1	0	21	0	
