
	A3_07_M Diagnostische Katheter der Koronargefässe ohne HD Herzinfarkt ohne weitere OP (Alter >19), Mortalität // Cathétérisme diagnostique des vaisseaux coronaires sans DP infarctus du myocarde sans autre OP (âge >19), mortalité // Catetere diagnostico dei vasi coronarici senza DP infarto miocardico senza altre OP (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	19	0	
	2008	5	2	0	2	0	
	2008	6	1	0	22	0	
	2008	6	2	0	2	0	
	2008	7	1	0	45	0	
	2008	7	2	1	12	0.08333333	
	2008	8	1	0	84	0	
	2008	8	2	0	42	0	
	2008	9	1	2	214	0.009345794	
	2008	9	2	0	54	0	
	2008	10	1	1	345	0.002898551	
	2008	10	2	1	118	0.008474576	
	2008	11	1	3	551	0.005444646	
	2008	11	2	1	225	0.004444444	
	2008	12	1	6	762	0.007874016	
	2008	12	2	2	302	0.006622517	
	2008	13	1	5	1077	0.004642526	
	2008	13	2	3	522	0.005747126	
	2008	14	1	6	1038	0.005780347	
	2008	14	2	2	596	0.003355705	
	2008	15	1	10	1048	0.009541985	
	2008	15	2	3	632	0.004746835	
	2008	16	1	14	754	0.01856764	
	2008	16	2	5	614	0.008143322	
	2008	17	1	6	410	0.01463415	
	2008	17	2	3	332	0.009036145	
	2008	18	1	1	114	0.00877193	
	2008	18	2	3	96	0.03125	
	2008	19	1	0	8	0	
	2008	19	2	0	14	0	
	2009	5	1	0	20	0	
	2009	5	2	0	6	0	
	2009	6	1	0	27	0	
	2009	6	2	1	6	0.1666667	
	2009	7	1	1	35	0.02857143	
	2009	7	2	0	14	0	
	2009	8	1	0	87	0	
	2009	8	2	0	30	0	
	2009	9	1	2	177	0.01129944	
	2009	9	2	0	66	0	
	2009	10	1	1	313	0.003194888	
	2009	10	2	0	113	0	
	2009	11	1	0	524	0	
	2009	11	2	3	243	0.01234568	
	2009	12	1	4	749	0.005340454	
	2009	12	2	5	276	0.01811594	
	2009	13	1	2	1004	0.001992032	
	2009	13	2	5	486	0.01028807	
	2009	14	1	3	1034	0.002901354	
	2009	14	2	1	558	0.001792115	
	2009	15	1	8	993	0.008056395	
	2009	15	2	4	590	0.006779661	
	2009	16	1	10	797	0.01254705	
	2009	16	2	5	621	0.00805153	
	2009	17	1	16	412	0.03883495	
	2009	17	2	5	367	0.01362398	
	2009	18	1	3	127	0.02362205	
	2009	18	2	5	154	0.03246753	
	2009	19	1	0	13	0	
	2009	19	2	0	16	0	
	2009	20	2	1	2	0.5	
	2010	5	1	0	14	0	
	2010	5	2	1	3	0.3333333	
	2010	6	1	0	22	0	
	2010	6	2	0	7	0	
	2010	7	1	0	38	0	
	2010	7	2	0	13	0	
	2010	8	1	0	85	0	
	2010	8	2	1	25	0.04	
	2010	9	1	0	171	0	
	2010	9	2	1	61	0.01639344	
	2010	10	1	1	347	0.002881844	
	2010	10	2	1	147	0.006802721	
	2010	11	1	3	512	0.005859375	
	2010	11	2	1	219	0.00456621	
	2010	12	1	2	753	0.002656042	
	2010	12	2	2	368	0.005434783	
	2010	13	1	3	1029	0.002915452	
	2010	13	2	2	469	0.004264392	
	2010	14	1	12	1151	0.01042572	
	2010	14	2	2	687	0.002911208	
	2010	15	1	3	1053	0.002849003	
	2010	15	2	3	636	0.004716981	
	2010	16	1	10	932	0.01072961	
	2010	16	2	2	708	0.002824859	
	2010	17	1	4	483	0.008281573	
	2010	17	2	3	460	0.006521739	
	2010	18	1	2	135	0.01481481	
	2010	18	2	1	148	0.006756757	
	2010	19	1	1	19	0.05263158	
	2010	19	2	0	21	0	
	2010	20	1	0	2	0	
	2011	5	1	0	6	0	
	2011	5	2	0	6	0	
	2011	6	1	0	27	0	
	2011	6	2	0	5	0	
	2011	7	1	0	30	0	
	2011	7	2	0	16	0	
	2011	8	1	0	79	0	
	2011	8	2	0	25	0	
	2011	9	1	0	176	0	
	2011	9	2	0	62	0	
	2011	10	1	2	339	0.005899705	
	2011	10	2	0	134	0	
	2011	11	1	3	522	0.005747126	
	2011	11	2	1	224	0.004464286	
	2011	12	1	6	745	0.008053691	
	2011	12	2	2	322	0.00621118	
	2011	13	1	3	1026	0.002923977	
	2011	13	2	4	470	0.008510638	
	2011	14	1	4	1102	0.003629764	
	2011	14	2	1	658	0.001519757	
	2011	15	1	7	983	0.007121058	
	2011	15	2	4	683	0.005856515	
	2011	16	1	10	925	0.01081081	
	2011	16	2	7	673	0.01040119	
	2011	17	1	4	563	0.007104796	
	2011	17	2	3	484	0.006198347	
	2011	18	1	2	165	0.01212121	
	2011	18	2	1	170	0.005882353	
	2011	19	1	1	19	0.05263158	
	2011	19	2	0	17	0	
	2012	5	1	0	11	0	
	2012	5	2	0	5	0	
	2012	6	1	0	21	0	
	2012	6	2	0	1	0	
	2012	7	1	2	33	0.06060606	
	2012	7	2	0	13	0	
	2012	8	1	0	81	0	
	2012	8	2	1	16	0.0625	
	2012	9	1	0	163	0	
	2012	9	2	1	37	0.02702703	
	2012	10	1	2	279	0.007168459	
	2012	10	2	1	138	0.007246377	
	2012	11	1	1	444	0.002252252	
	2012	11	2	0	175	0	
	2012	12	1	5	654	0.00764526	
	2012	12	2	1	282	0.003546099	
	2012	13	1	7	846	0.008274232	
	2012	13	2	2	430	0.004651163	
	2012	14	1	6	1094	0.005484461	
	2012	14	2	3	595	0.005042017	
	2012	15	1	4	924	0.004329004	
	2012	15	2	4	658	0.006079027	
	2012	16	1	18	832	0.02163462	
	2012	16	2	5	654	0.00764526	
	2012	17	1	12	477	0.02515723	
	2012	17	2	6	425	0.01411765	
	2012	18	1	4	142	0.02816901	
	2012	18	2	0	168	0	
	2012	19	1	0	17	0	
	2012	19	2	2	23	0.08695652	
	2012	20	1	0	1	0	
	2012	20	2	0	2	0	
	2013	5	1	0	17	0	
	2013	5	2	0	2	0	
	2013	6	1	0	18	0	
	2013	6	2	0	5	0	
	2013	7	1	0	39	0	
	2013	7	2	0	5	0	
	2013	8	1	1	65	0.01538462	
	2013	8	2	0	30	0	
	2013	9	1	2	170	0.01176471	
	2013	9	2	2	49	0.04081633	
	2013	10	1	0	318	0	
	2013	10	2	2	120	0.01666667	
	2013	11	1	3	480	0.00625	
	2013	11	2	3	197	0.01522843	
	2013	12	1	2	626	0.003194888	
	2013	12	2	2	316	0.006329114	
	2013	13	1	13	836	0.01555024	
	2013	13	2	3	449	0.006681514	
	2013	14	1	9	1040	0.008653846	
	2013	14	2	5	642	0.007788162	
	2013	15	1	13	1008	0.01289683	
	2013	15	2	8	618	0.01294498	
	2013	16	1	10	909	0.0110011	
	2013	16	2	3	692	0.00433526	
	2013	17	1	6	587	0.01022147	
	2013	17	2	7	529	0.01323251	
	2013	18	1	6	179	0.03351955	
	2013	18	2	3	186	0.01612903	
	2013	19	1	0	26	0	
	2013	19	2	1	33	0.03030303	
	2013	20	1	0	2	0	
	2013	20	2	0	1	0	
	2014	5	1	1	13	0.07692308	
	2014	5	2	0	2	0	
	2014	6	1	0	34	0	
	2014	6	2	0	1	0	
	2014	7	1	1	50	0.02	
	2014	7	2	1	17	0.05882353	
	2014	8	1	1	64	0.015625	
	2014	8	2	0	25	0	
	2014	9	1	1	143	0.006993007	
