
	A3_08_M Therapeutische Katheter der Koronargefässe ohne HD Herzinfarkt ohne weitere OP (Alter >19), Mortalität // Cathétérisme thérapeutique des vaisseaux coronaires sans DP infarctus du myocarde sans autre OP (âge >19), mortalité // Catetere terapeutico dei vasi coronarici senza DP infarto miocardico senza altre OP (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	6	1	0	3	0	
	2008	7	1	0	15	0	
	2008	7	2	0	2	0	
	2008	8	1	0	38	0	
	2008	8	2	0	10	0	
	2008	9	1	2	153	0.0130719	
	2008	9	2	0	16	0	
	2008	10	1	0	374	0	
	2008	10	2	0	57	0	
	2008	11	1	3	594	0.005050505	
	2008	11	2	0	95	0	
	2008	12	1	1	878	0.001138952	
	2008	12	2	0	151	0	
	2008	13	1	8	1147	0.006974717	
	2008	13	2	2	271	0.007380074	
	2008	14	1	15	1165	0.01287554	
	2008	14	2	2	338	0.00591716	
	2008	15	1	6	1059	0.005665722	
	2008	15	2	5	432	0.01157407	
	2008	16	1	16	867	0.01845444	
	2008	16	2	3	450	0.006666667	
	2008	17	1	10	415	0.02409639	
	2008	17	2	2	277	0.007220217	
	2008	18	1	5	121	0.04132231	
	2008	18	2	9	85	0.1058824	
	2008	19	1	0	19	0	
	2008	19	2	1	7	0.1428571	
	2008	20	1	0	2	0	
	2009	7	1	1	9	0.1111111	
	2009	8	1	0	35	0	
	2009	8	2	0	7	0	
	2009	9	1	0	105	0	
	2009	9	2	2	29	0.06896552	
	2009	10	1	3	289	0.01038062	
	2009	10	2	0	34	0	
	2009	11	1	4	567	0.007054674	
	2009	11	2	1	92	0.01086957	
	2009	12	1	4	807	0.004956629	
	2009	12	2	0	142	0	
	2009	13	1	9	1053	0.008547009	
	2009	13	2	2	262	0.007633588	
	2009	14	1	12	1125	0.01066667	
	2009	14	2	2	338	0.00591716	
	2009	15	1	8	1008	0.007936508	
	2009	15	2	2	389	0.005141388	
	2009	16	1	6	796	0.007537688	
	2009	16	2	5	400	0.0125	
	2009	17	1	12	432	0.02777778	
	2009	17	2	6	273	0.02197802	
	2009	18	1	3	141	0.0212766	
	2009	18	2	1	87	0.01149425	
	2009	19	1	1	14	0.07142857	
	2009	19	2	2	10	0.2	
	2009	20	1	0	1	0	
	2009	20	2	0	2	0	
	2010	5	1	0	1	0	
	2010	6	1	0	1	0	
	2010	7	1	0	4	0	
	2010	7	2	0	1	0	
	2010	8	1	0	32	0	
	2010	8	2	0	7	0	
	2010	9	1	1	134	0.007462687	
	2010	9	2	0	18	0	
	2010	10	1	4	306	0.0130719	
	2010	10	2	0	47	0	
	2010	11	1	1	519	0.001926782	
	2010	11	2	1	98	0.01020408	
	2010	12	1	5	761	0.006570302	
	2010	12	2	0	148	0	
	2010	13	1	2	1108	0.001805054	
	2010	13	2	3	277	0.01083032	
	2010	14	1	5	1133	0.004413063	
	2010	14	2	3	349	0.008595989	
	2010	15	1	7	1092	0.006410256	
	2010	15	2	2	419	0.00477327	
	2010	16	1	5	879	0.005688282	
	2010	16	2	1	436	0.002293578	
	2010	17	1	6	466	0.01287554	
	2010	17	2	3	302	0.009933775	
	2010	18	1	1	163	0.006134969	
	2010	18	2	3	98	0.03061224	
	2010	19	1	0	19	0	
	2010	19	2	1	16	0.0625	
	2011	6	1	0	2	0	
	2011	6	2	0	1	0	
	2011	7	1	0	6	0	
	2011	8	1	1	28	0.03571429	
	2011	8	2	0	1	0	
	2011	9	1	1	101	0.00990099	
	2011	9	2	0	11	0	
	2011	10	1	2	264	0.007575758	
	2011	10	2	1	54	0.01851852	
	2011	11	1	2	502	0.003984064	
	2011	11	2	0	98	0	
	2011	12	1	4	723	0.005532503	
	2011	12	2	0	123	0	
	2011	13	1	1	1012	0.0009881423	
	2011	13	2	2	250	0.008	
	2011	14	1	7	1217	0.005751849	
	2011	14	2	1	367	0.002724796	
	2011	15	1	8	1020	0.007843137	
	2011	15	2	2	382	0.005235602	
	2011	16	1	12	878	0.01366743	
	2011	16	2	2	430	0.004651163	
	2011	17	1	4	485	0.008247423	
	2011	17	2	2	285	0.007017544	
	2011	18	1	3	152	0.01973684	
	2011	18	2	0	93	0	
	2011	19	1	2	16	0.125	
	2011	19	2	0	10	0	
	2012	5	1	0	1	0	
	2012	6	1	0	1	0	
	2012	7	1	0	6	0	
	2012	8	1	0	26	0	
	2012	9	1	0	81	0	
	2012	9	2	0	6	0	
	2012	10	1	0	216	0	
	2012	10	2	0	25	0	
	2012	11	1	0	378	0	
	2012	11	2	0	65	0	
	2012	12	1	6	584	0.01027397	
	2012	12	2	1	117	0.008547009	
	2012	13	1	5	776	0.006443299	
	2012	13	2	0	159	0	
	2012	14	1	3	924	0.003246753	
	2012	14	2	1	266	0.003759398	
	2012	15	1	13	847	0.01534829	
	2012	15	2	3	321	0.009345794	
	2012	16	1	9	712	0.01264045	
	2012	16	2	1	312	0.003205128	
	2012	17	1	8	385	0.02077922	
	2012	17	2	4	253	0.01581028	
	2012	18	1	0	118	0	
	2012	18	2	0	73	0	
	2012	19	1	2	29	0.06896552	
	2012	19	2	0	12	0	
	2012	20	2	0	1	0	
	2013	7	1	0	6	0	
	2013	7	2	0	1	0	
	2013	8	1	0	18	0	
	2013	8	2	0	8	0	
	2013	9	1	1	75	0.01333333	
	2013	9	2	0	9	0	
	2013	10	1	0	206	0	
	2013	10	2	0	30	0	
	2013	11	1	2	408	0.004901961	
	2013	11	2	0	82	0	
	2013	12	1	1	599	0.001669449	
	2013	12	2	0	108	0	
	2013	13	1	2	846	0.002364066	
	2013	13	2	2	183	0.01092896	
	2013	14	1	3	1074	0.002793296	
	2013	14	2	4	304	0.01315789	
	2013	15	1	13	927	0.01402373	
	2013	15	2	0	364	0	
	2013	16	1	6	826	0.007263923	
	2013	16	2	2	403	0.004962779	
	2013	17	1	2	481	0.004158004	
	2013	17	2	0	270	0	
	2013	18	1	3	151	0.01986755	
	2013	18	2	5	114	0.04385965	
	2013	19	1	0	31	0	
	2013	19	2	0	16	0	
	2013	20	2	0	1	0	
	2014	6	1	0	2	0	
	2014	6	2	0	1	0	
	2014	7	1	0	4	0	
	2014	8	1	1	22	0.04545455	
	2014	8	2	0	4	0	
	2014	9	1	1	66	0.01515152	
	2014	9	2	0	17	0	
	2014	10	1	1	198	0.005050505	
	2014	10	2	0	33	0	
	2014	11	1	4	440	0.009090909	
	2014	11	2	1	76	0.01315789	
	2014	12	1	1	714	0.00140056	
	2014	12	2	0	149	0	
	2014	13	1	2	868	0.002304147	
	2014	13	2	0	178	0	
	2014	14	1	5	1022	0.004892368	
	2014	14	2	2	299	0.006688963	
	2014	15	1	10	1100	0.009090909	
	2014	15	2	3	365	0.008219178	
	2014	16	1	3	877	0.003420753	
	2014	16	2	4	400	0.01	
	2014	17	1	7	555	0.01261261	
	2014	17	2	3	295	0.01016949	
	2014	18	1	3	189	0.01587302	
	2014	18	2	4	123	0.03252033	
	2014	19	1	1	33	0.03030303	
	2014	19	2	0	27	0	
	2014	20	1	0	2	0	
	2014	20	2	0	2	0	
	2015	7	1	0	2	0	
	2015	8	1	0	22	0	
	2015	9	1	0	66	0	
	2015	9	2	0	10	0	
	2015	10	1	2	202	0.00990099	
	2015	10	2	0	32	0	
	2015	11	1	2	416	0.004807692	
	2015	11	2	0	68	0	
	2015	12	1	1	650	0.001538462	
	2015	12	2	1	108	0.009259259	
	2015	13	1	3	826	0.003631961	
	2015	13	2	2	171	0.01169591	
	2015	14	1	7	1112	0.006294964	
	2015	14	2	1	308	0.003246753	
	2015	15	1	2	1117	0.00179051	
	2015	15	2	1	409	0.002444988	
	2015	16	1	10	869	0.01150748	
	2015	16	2	2	388	0.005154639	
	2015	17	1	6	632	0.009493671	
	2015	17	2	6	302	0.01986755	
	2015	18	1	2	192	0.01041667	
	2015	18	2	3	118	0.02542373	
	2015	19	1	2	32	0.0625	
	2015	19	2	0	24	0	
	2015	20	1	0	1	0	
	2015	20	2	0	1	0	
	2016	5	2	0	1	0	
	2016	6	1	0	2	0	
	2016	7	1	0	2	0	
	2016	7	2	0	1	0	
	2016	8	1	0	15	0	
	2016	8	2	0	3	0	
	2016	9	1	0	73	0	
	2016	9	2	0	11	0	
	2016	10	1	1	223	0.004484305	
	2016	10	2	0	39	0	
	2016	11	1	3	441	0.006802721	
	2016	11	2	1	78	0.01282051	
	2016	12	1	5	677	0.007385524	
	2016	12	2	1	146	0.006849315	
	2016	13	1	7	910	0.007692308	
	2016	13	2	2	206	0.009708738	
	2016	14	1	9	1191	0.007556675	
	2016	14	2	6	298	0.02013423	
	2016	15	1	6	1228	0.004885993	
	2016	15	2	7	466	0.01502146	
	2016	16	1	7	950	0.007368421	
	2016	16	2	6	466	0.01287554	
	2016	17	1	16	696	0.02298851	
	2016	17	2	4	359	0.01114206	
	2016	18	1	7	250	0.028	
	2016	18	2	4	143	0.02797203	
	2016	19	1	0	45	0	
	2016	19	2	0	22	0	
	2016	20	1	1	4	0.25	
	2016	20	2	0	1	0	
	2017	7	1	0	6	0	
	2017	8	1	0	22	0	
	2017	8	2	0	1	0	
	2017	9	1	0	54	0	
	2017	9	2	0	7	0	
	2017	10	1	4	207	0.01932367	
	2017	10	2	0	25	0	
	2017	11	1	1	453	0.002207506	
	2017	11	2	0	68	0	
	2017	12	1	5	734	0.006811989	
	2017	12	2	0	107	0	
	2017	13	1	3	976	0.00307377	
	2017	13	2	0	224	0	
	2017	14	1	5	1096	0.004562044	
	2017	14	2	1	346	0.002890173	
	2017	15	1	7	1334	0.005247376	
	2017	15	2	2	464	0.004310345	
	2017	16	1	6	1045	0.005741627	
	2017	16	2	6	482	0.01244813	
	2017	17	1	10	695	0.01438849	
	2017	17	2	5	370	0.01351351	
	2017	18	1	4	278	0.01438849	
	2017	18	2	1	174	0.005747126	
	2017	19	1	3	41	0.07317073	
	2017	19	2	0	24	0	
	2017	20	1	0	2	0	
	2017	20	2	0	2	0	
	2018	6	1	0	3	0	
	2018	7	1	0	2	0	
	2018	7	2	0	1	0	
	2018	8	1	0	21	0	
	2018	8	2	0	1	0	
	2018	9	1	0	65	0	
	2018	9	2	0	12	0	
	2018	10	1	1	220	0.004545455	
	2018	10	2	0	23	0	
	2018	11	1	3	510	0.005882353	
	2018	11	2	1	74	0.01351351	
	2018	12	1	4	827	0.004836759	
	2018	12	2	0	153	0	
