
	A3_09_M Katheter der Koronargefässe bei HD Herzinfarkt ohne OP am Herzen (Alter >19), Zuverlegungen, Mortalität // Cathétérisme des vaisseaux coronaires en cas de DP infarctus du myocarde sans OP du cœur (âge >19), transféré d'un autre hôpital, mortalité // Catetere dei vasi coronarici con DP infarto miocardico senza OP al cuore (età >19), trasferito da un altro ospedale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	6	1	0	2	0	
	2008	6	2	0	2	0	
	2008	7	1	0	5	0	
	2008	7	2	0	1	0	
	2008	8	1	0	24	0	
	2008	8	2	0	6	0	
	2008	9	1	3	87	0.03448276	
	2008	9	2	1	14	0.07142857	
	2008	10	1	2	158	0.01265823	
	2008	10	2	1	23	0.04347826	
	2008	11	1	4	192	0.02083333	
	2008	11	2	4	39	0.1025641	
	2008	12	1	2	194	0.01030928	
	2008	12	2	2	39	0.05128205	
	2008	13	1	5	232	0.02155172	
	2008	13	2	0	54	0	
	2008	14	1	5	180	0.02777778	
	2008	14	2	2	62	0.03225806	
	2008	15	1	4	169	0.02366864	
	2008	15	2	3	93	0.03225806	
	2008	16	1	6	161	0.03726708	
	2008	16	2	3	105	0.02857143	
	2008	17	1	5	92	0.05434783	
	2008	17	2	8	87	0.09195402	
	2008	18	1	6	34	0.1764706	
	2008	18	2	2	31	0.06451613	
	2008	19	1	0	2	0	
	2008	19	2	1	4	0.25	
	2009	5	1	0	1	0	
	2009	6	1	0	2	0	
	2009	7	1	0	7	0	
	2009	7	2	0	3	0	
	2009	8	1	0	33	0	
	2009	8	2	0	4	0	
	2009	9	1	1	68	0.01470588	
	2009	9	2	0	11	0	
	2009	10	1	1	150	0.006666667	
	2009	10	2	0	28	0	
	2009	11	1	3	226	0.01327434	
	2009	11	2	0	41	0	
	2009	12	1	4	221	0.01809955	
	2009	12	2	0	44	0	
	2009	13	1	5	252	0.01984127	
	2009	13	2	3	59	0.05084746	
	2009	14	1	4	224	0.01785714	
	2009	14	2	3	86	0.03488372	
	2009	15	1	3	203	0.01477833	
	2009	15	2	3	91	0.03296703	
	2009	16	1	6	168	0.03571429	
	2009	16	2	3	95	0.03157895	
	2009	17	1	5	109	0.04587156	
	2009	17	2	4	88	0.04545455	
	2009	18	1	0	40	0	
	2009	18	2	3	40	0.075	
	2009	19	1	0	2	0	
	2009	19	2	0	1	0	
	2010	5	1	0	1	0	
	2010	6	1	0	3	0	
	2010	7	1	0	10	0	
	2010	7	2	0	4	0	
	2010	8	1	0	30	0	
	2010	8	2	0	2	0	
	2010	9	1	3	77	0.03896104	
	2010	9	2	0	12	0	
	2010	10	1	2	164	0.01219512	
	2010	10	2	1	25	0.04	
	2010	11	1	2	237	0.008438819	
	2010	11	2	0	45	0	
	2010	12	1	6	256	0.0234375	
	2010	12	2	1	47	0.0212766	
	2010	13	1	0	289	0	
	2010	13	2	1	70	0.01428571	
	2010	14	1	7	238	0.02941176	
	2010	14	2	1	83	0.01204819	
	2010	15	1	12	208	0.05769231	
	2010	15	2	1	103	0.009708738	
	2010	16	1	9	203	0.04433498	
	2010	16	2	2	142	0.01408451	
	2010	17	1	4	134	0.02985075	
	2010	17	2	5	111	0.04504505	
	2010	18	1	6	63	0.0952381	
	2010	18	2	2	47	0.04255319	
	2010	19	1	0	9	0	
	2010	19	2	0	7	0	
	2010	20	2	0	1	0	
	2011	5	1	0	1	0	
	2011	6	1	0	1	0	
	2011	6	2	0	1	0	
	2011	7	1	1	6	0.1666667	
	2011	7	2	0	5	0	
	2011	8	1	1	26	0.03846154	
	2011	8	2	0	8	0	
	2011	9	1	0	97	0	
	2011	9	2	0	13	0	
	2011	10	1	1	154	0.006493506	
	2011	10	2	1	29	0.03448276	
	2011	11	1	2	228	0.00877193	
	2011	11	2	0	41	0	
	2011	12	1	1	247	0.004048583	
	2011	12	2	1	69	0.01449275	
	2011	13	1	3	247	0.01214575	
	2011	13	2	0	64	0	
	2011	14	1	5	266	0.01879699	
	2011	14	2	1	85	0.01176471	
	2011	15	1	8	213	0.03755869	
	2011	15	2	1	85	0.01176471	
	2011	16	1	11	233	0.0472103	
	2011	16	2	3	124	0.02419355	
	2011	17	1	7	154	0.04545455	
	2011	17	2	5	118	0.04237288	
	2011	18	1	1	54	0.01851852	
	2011	18	2	2	62	0.03225806	
	2011	19	1	0	11	0	
	2011	19	2	0	10	0	
	2012	5	1	0	2	0	
	2012	5	2	0	1	0	
	2012	6	1	0	2	0	
	2012	7	1	0	16	0	
	2012	7	2	0	1	0	
	2012	8	1	1	27	0.03703704	
	2012	8	2	0	5	0	
	2012	9	1	0	80	0	
	2012	9	2	1	16	0.0625	
	2012	10	1	1	176	0.005681818	
	2012	10	2	0	31	0	
	2012	11	1	0	238	0	
	2012	11	2	1	53	0.01886792	
	2012	12	1	5	251	0.01992032	
	2012	12	2	0	49	0	
	2012	13	1	5	305	0.01639344	
	2012	13	2	3	73	0.04109589	
	2012	14	1	10	258	0.03875969	
	2012	14	2	0	90	0	
	2012	15	1	9	235	0.03829787	
	2012	15	2	2	112	0.01785714	
	2012	16	1	6	197	0.03045685	
	2012	16	2	9	127	0.07086614	
	2012	17	1	5	171	0.02923977	
	2012	17	2	5	122	0.04098361	
	2012	18	1	3	63	0.04761905	
	2012	18	2	3	55	0.05454545	
	2012	19	1	0	6	0	
	2012	19	2	2	10	0.2	
	2013	5	2	0	2	0	
	2013	6	1	0	4	0	
	2013	6	2	0	1	0	
	2013	7	1	0	13	0	
	2013	8	1	0	26	0	
	2013	8	2	0	6	0	
	2013	9	1	0	75	0	
	2013	9	2	0	16	0	
	2013	10	1	1	167	0.005988024	
	2013	10	2	1	28	0.03571429	
	2013	11	1	0	235	0	
	2013	11	2	1	45	0.02222222	
	2013	12	1	3	264	0.01136364	
	2013	12	2	4	53	0.0754717	
	2013	13	1	6	265	0.02264151	
	2013	13	2	2	79	0.02531646	
	2013	14	1	7	267	0.02621723	
	2013	14	2	1	88	0.01136364	
	2013	15	1	9	243	0.03703704	
	2013	15	2	1	108	0.009259259	
	2013	16	1	11	223	0.04932735	
	2013	16	2	4	118	0.03389831	
	2013	17	1	11	151	0.07284768	
	2013	17	2	7	100	0.07	
	2013	18	1	7	58	0.1206897	
	2013	18	2	4	62	0.06451613	
	2013	19	1	0	6	0	
	2013	19	2	0	10	0	
	2014	5	1	0	4	0	
	2014	6	1	0	3	0	
	2014	6	2	0	1	0	
	2014	7	1	0	11	0	
	2014	7	2	0	2	0	
	2014	8	1	2	21	0.0952381	
	2014	8	2	0	5	0	
	2014	9	1	0	86	0	
	2014	9	2	0	16	0	
	2014	10	1	1	185	0.005405405	
	2014	10	2	0	27	0	
	2014	11	1	0	249	0	
	2014	11	2	0	45	0	
	2014	12	1	5	318	0.01572327	
	2014	12	2	0	73	0	
	2014	13	1	6	239	0.0251046	
	2014	13	2	2	67	0.02985075	
	2014	14	1	9	293	0.03071672	
	2014	14	2	0	79	0	
	2014	15	1	11	241	0.04564315	
	2014	15	2	3	97	0.03092784	
	2014	16	1	10	203	0.04926108	
	2014	16	2	6	108	0.05555556	
	2014	17	1	11	170	0.06470588	
	2014	17	2	7	133	0.05263158	
	2014	18	1	3	73	0.04109589	
	2014	18	2	9	61	0.147541	
	2014	19	1	2	14	0.1428571	
	2014	19	2	1	14	0.07142857	
	2015	5	2	0	1	0	
	2015	6	1	0	4	0	
	2015	7	1	0	13	0	
	2015	7	2	0	1	0	
	2015	8	1	0	26	0	
	2015	8	2	0	4	0	
	2015	9	1	0	89	0	
	2015	9	2	0	11	0	
	2015	10	1	1	173	0.005780347	
	2015	10	2	1	31	0.03225806	
	2015	11	1	0	233	0	
	2015	11	2	0	49	0	
	2015	12	1	4	280	0.01428571	
	2015	12	2	0	52	0	
	2015	13	1	6	287	0.02090592	
	2015	13	2	0	78	0	
	2015	14	1	8	304	0.02631579	
	2015	14	2	2	98	0.02040816	
	2015	15	1	8	242	0.03305785	
	2015	15	2	3	96	0.03125	
	2015	16	1	12	235	0.05106383	
	2015	16	2	5	129	0.03875969	
	2015	17	1	8	174	0.04597701	
	2015	17	2	8	132	0.06060606	
	2015	18	1	5	75	0.06666667	
	2015	18	2	4	71	0.05633803	
	2015	19	1	1	16	0.0625	
	2015	19	2	1	11	0.09090909	
	2015	20	1	0	1	0	
	2016	5	1	0	1	0	
	2016	6	1	0	4	0	
	2016	7	1	0	6	0	
	2016	8	1	0	21	0	
	2016	8	2	0	4	0	
	2016	9	1	1	77	0.01298701	
	2016	9	2	0	7	0	
	2016	10	1	1	154	0.006493506	
	2016	10	2	0	25	0	
	2016	11	1	3	236	0.01271186	
	2016	11	2	0	51	0	
	2016	12	1	3	298	0.01006711	
	2016	12	2	2	50	0.04	
	2016	13	1	5	323	0.01547988	
	2016	13	2	0	82	0	
	2016	14	1	3	288	0.01041667	
	2016	14	2	5	96	0.05208333	
	2016	15	1	11	264	0.04166667	
	2016	15	2	3	103	0.02912621	
	2016	16	1	12	242	0.04958678	
	2016	16	2	4	142	0.02816901	
	2016	17	1	8	199	0.04020101	
	2016	17	2	7	147	0.04761905	
	2016	18	1	2	87	0.02298851	
	2016	18	2	2	94	0.0212766	
	2016	19	1	4	17	0.2352941	
	2016	19	2	0	17	0	
	2016	20	1	1	4	0.25	
	2017	6	1	0	5	0	
	2017	7	1	0	15	0	
	2017	7	2	0	1	0	
	2017	8	1	0	27	0	
	2017	8	2	0	8	0	
	2017	9	1	0	61	0	
	2017	9	2	0	9	0	
	2017	10	1	0	151	0	
	2017	10	2	2	19	0.1052632	
	2017	11	1	4	253	0.01581028	
	2017	11	2	0	44	0	
	2017	12	1	7	291	0.02405498	
	2017	12	2	0	67	0	
	2017	13	1	1	277	0.003610108	
	2017	13	2	0	74	0	
	2017	14	1	3	279	0.01075269	
	2017	14	2	1	93	0.01075269	
