
	A3_11_M Diagnostische Katheter der Koronargefässe ohne HD Herzinfarkt ohne OP am Herzen (Alter >19), Zuverlegungen, Mortalität // Cathétérisme diagnostique des vaisseaux coronaires sans DP infarctus du myocarde sans OP du cœur (âge >19), transféré d'un autre hôpital, mortalité // Catetere diagnostico dei vasi coronarici senza DP infarto miocardico senza OP al cuore (età >19), trasferito da un altro ospedale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	3	0	
	2008	5	2	0	1	0	
	2008	6	1	0	8	0	
	2008	6	2	0	1	0	
	2008	7	1	0	9	0	
	2008	7	2	1	3	0.3333333	
	2008	8	1	0	20	0	
	2008	8	2	0	9	0	
	2008	9	1	0	28	0	
	2008	9	2	0	7	0	
	2008	10	1	0	38	0	
	2008	10	2	0	16	0	
	2008	11	1	1	39	0.02564103	
	2008	11	2	0	20	0	
	2008	12	1	2	58	0.03448276	
	2008	12	2	1	33	0.03030303	
	2008	13	1	0	72	0	
	2008	13	2	1	25	0.04	
	2008	14	1	1	74	0.01351351	
	2008	14	2	1	52	0.01923077	
	2008	15	1	5	79	0.06329114	
	2008	15	2	0	59	0	
	2008	16	1	2	64	0.03125	
	2008	16	2	0	63	0	
	2008	17	1	3	34	0.08823529	
	2008	17	2	1	34	0.02941176	
	2008	18	1	0	17	0	
	2008	18	2	1	10	0.1	
	2008	19	2	0	3	0	
	2009	5	1	0	3	0	
	2009	5	2	0	1	0	
	2009	6	1	0	4	0	
	2009	7	1	0	7	0	
	2009	7	2	0	3	0	
	2009	8	1	0	18	0	
	2009	8	2	0	3	0	
	2009	9	1	0	28	0	
	2009	9	2	0	5	0	
	2009	10	1	0	35	0	
	2009	10	2	0	9	0	
	2009	11	1	0	54	0	
	2009	11	2	1	24	0.04166667	
	2009	12	1	2	58	0.03448276	
	2009	12	2	1	24	0.04166667	
	2009	13	1	0	71	0	
	2009	13	2	2	32	0.0625	
	2009	14	1	0	62	0	
	2009	14	2	0	37	0	
	2009	15	1	0	69	0	
	2009	15	2	1	61	0.01639344	
	2009	16	1	1	64	0.015625	
	2009	16	2	1	59	0.01694915	
	2009	17	1	4	36	0.1111111	
	2009	17	2	0	38	0	
	2009	18	1	0	14	0	
	2009	18	2	0	11	0	
