
	A3_13_M Therapeutische Katheter der Koronargefässe ohne HD Herzinfarkt ohne OP am Herzen (Alter >19), Zuverlegungen, Mortalität // Cathétérisme thérapeutique des vaisseaux coronaires sans DP infarctus du myocarde sans OP du cœur (âge >19), transféré d'un autre hôpital, mortalité // Catetere terapeutico dei vasi coronarici senza DP infarto miocardico senza OP al cuore (età >19), trasferito da un altro ospedale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	7	1	0	4	0	
	2008	8	1	0	2	0	
	2008	8	2	0	2	0	
	2008	9	1	0	25	0	
	2008	9	2	0	4	0	
	2008	10	1	0	49	0	
	2008	10	2	0	8	0	
	2008	11	1	1	74	0.01351351	
	2008	11	2	0	8	0	
	2008	12	1	1	92	0.01086957	
	2008	12	2	0	19	0	
	2008	13	1	2	103	0.01941748	
	2008	13	2	1	29	0.03448276	
	2008	14	1	1	108	0.009259259	
	2008	14	2	1	23	0.04347826	
	2008	15	1	1	89	0.01123596	
	2008	15	2	1	32	0.03125	
	2008	16	1	3	83	0.03614458	
	2008	16	2	1	61	0.01639344	
	2008	17	1	1	44	0.02272727	
	2008	17	2	2	44	0.04545455	
	2008	18	1	0	12	0	
	2008	18	2	3	14	0.2142857	
	2008	19	1	0	1	0	
	2008	19	2	1	3	0.3333333	
	2009	7	1	0	1	0	
	2009	8	1	0	4	0	
	2009	8	2	0	3	0	
	2009	9	1	0	16	0	
	2009	9	2	0	11	0	
	2009	10	1	0	32	0	
	2009	10	2	0	3	0	
	2009	11	1	1	46	0.02173913	
	2009	11	2	0	13	0	
	2009	12	1	1	62	0.01612903	
	2009	12	2	0	15	0	
	2009	13	1	1	70	0.01428571	
	2009	13	2	0	25	0	
	2009	14	1	4	87	0.04597701	
	2009	14	2	0	23	0	
	2009	15	1	1	88	0.01136364	
	2009	15	2	0	25	0	
	2009	16	1	1	69	0.01449275	
	2009	16	2	2	39	0.05128205	
	2009	17	1	3	48	0.0625	
	2009	17	2	1	30	0.03333333	
	2009	18	1	1	15	0.06666667	
	2009	18	2	1	9	0.1111111	
	2009	19	1	0	1	0	
	2009	19	2	1	3	0.3333333	
	2010	7	1	0	1	0	
	2010	8	1	0	3	0	
	2010	9	1	0	17	0	
	2010	9	2	0	2	0	
	2010	10	1	1	40	0.025	
	2010	10	2	0	2	0	
	2010	11	1	1	49	0.02040816	
	2010	11	2	0	12	0	
	2010	12	1	0	61	0	
	2010	12	2	0	12	0	
	2010	13	1	2	95	0.02105263	
	2010	13	2	2	28	0.07142857	
	2010	14	1	5	85	0.05882353	
	2010	14	2	1	44	0.02272727	
	2010	15	1	3	90	0.03333333	
	2010	15	2	0	39	0	
	2010	16	1	3	85	0.03529412	
	2010	16	2	1	40	0.025	
	2010	17	1	1	61	0.01639344	
	2010	17	2	0	50	0	
	2010	18	1	0	20	0	
	2010	18	2	1	11	0.09090909	
	2010	19	1	0	2	0	
	2010	19	2	0	1	0	
	2011	7	1	0	1	0	
	2011	8	1	1	5	0.2	
