
	A6_03_M Vorhofablation bei Vorhofflimmern/­flattern, Mortalität // Ablation de l'oreillette en cas de fibrillation auriculaire / de flutter auriculaire, mortalité // Ablazione della fibrillazione atriale in caso di fibrillazione/flutter atriale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2012	6	1	0	7	0	
	2012	6	2	0	1	0	
	2012	7	1	0	9	0	
	2012	7	2	0	2	0	
	2012	8	1	0	16	0	
	2012	8	2	0	2	0	
	2012	9	1	0	24	0	
	2012	9	2	0	6	0	
	2012	10	1	0	63	0	
	2012	10	2	0	15	0	
	2012	11	1	0	100	0	
	2012	11	2	0	27	0	
	2012	12	1	0	142	0	
	2012	12	2	0	35	0	
	2012	13	1	0	163	0	
	2012	13	2	0	51	0	
	2012	14	1	0	175	0	
	2012	14	2	0	101	0	
	2012	15	1	1	91	0.01098901	
	2012	15	2	0	68	0	
	2012	16	1	0	37	0	
	2012	16	2	0	27	0	
	2012	17	1	0	8	0	
	2012	17	2	0	6	0	
	2012	18	1	0	2	0	
	2012	18	2	0	1	0	
	2013	5	1	0	5	0	
	2013	6	1	0	3	0	
	2013	6	2	0	1	0	
	2013	7	1	0	5	0	
	2013	8	1	0	16	0	
	2013	8	2	0	3	0	
	2013	9	1	0	36	0	
	2013	9	2	0	4	0	
	2013	10	1	0	94	0	
	2013	10	2	0	16	0	
	2013	11	1	0	124	0	
	2013	11	2	0	26	0	
	2013	12	1	0	161	0	
	2013	12	2	0	53	0	
	2013	13	1	0	198	0	
	2013	13	2	0	65	0	
	2013	14	1	1	190	0.005263158	
	2013	14	2	0	109	0	
	2013	15	1	0	130	0	
	2013	15	2	0	91	0	
	2013	16	1	0	58	0	
	2013	16	2	0	44	0	
	2013	17	1	0	6	0	
	2013	17	2	0	9	0	
	2013	18	1	0	1	0	
	2013	18	2	0	1	0	
	2014	5	1	0	1	0	
	2014	5	2	0	1	0	
	2014	6	1	0	4	0	
	2014	6	2	0	2	0	
	2014	7	1	0	9	0	
	2014	7	2	0	1	0	
	2014	8	1	0	16	0	
	2014	8	2	0	1	0	
	2014	9	1	0	39	0	
	2014	9	2	0	6	0	
	2014	10	1	0	104	0	
	2014	10	2	0	22	0	
	2014	11	1	0	150	0	
	2014	11	2	0	26	0	
	2014	12	1	0	201	0	
	2014	12	2	0	51	0	
	2014	13	1	1	224	0.004464286	
	2014	13	2	0	81	0	
	2014	14	1	0	235	0	
	2014	14	2	0	103	0	
	2014	15	1	0	165	0	
	2014	15	2	0	93	0	
	2014	16	1	0	57	0	
	2014	16	2	0	46	0	
	2014	17	1	0	3	0	
	2014	17	2	0	13	0	
	2014	18	1	0	1	0	
	2015	5	1	0	2	0	
	2015	6	1	0	4	0	
	2015	6	2	0	1	0	
	2015	7	1	0	8	0	
	2015	7	2	0	2	0	
	2015	8	1	0	16	0	
	2015	8	2	0	1	0	
	2015	9	1	0	47	0	
	2015	9	2	0	5	0	
	2015	10	1	0	92	0	
	2015	10	2	0	16	0	
	2015	11	1	0	169	0	
	2015	11	2	0	39	0	
	2015	12	1	1	204	0.004901961	
	2015	12	2	0	65	0	
	2015	13	1	0	217	0	
	2015	13	2	0	90	0	
	2015	14	1	0	252	0	
	2015	14	2	0	145	0	
	2015	15	1	1	224	0.004464286	
	2015	15	2	0	117	0	
	2015	16	1	0	70	0	
	2015	16	2	0	59	0	
	2015	17	1	0	18	0	
	2015	17	2	0	9	0	
	2016	5	1	0	3	0	
