
	A7_08_M Minimalinvasive Implantation einer Aortenklappe, Mortalität // Implantation mini­invasive de valve aortique, mortalité // Applicazione minimamente invasiva di valvola aortica, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2011	1	1	0	1	0	
	2011	3	1	0	1	0	
	2011	3	2	0	1	0	
	2011	6	1	0	1	0	
	2011	7	1	0	1	0	
	2011	7	2	0	1	0	
	2011	11	1	0	2	0	
	2011	11	2	0	1	0	
	2011	12	1	0	3	0	
	2011	12	2	0	2	0	
	2011	13	1	1	12	0.08333333	
	2011	13	2	0	3	0	
	2011	14	1	0	7	0	
	2011	14	2	0	6	0	
	2011	15	1	0	19	0	
	2011	15	2	1	11	0.09090909	
	2011	16	1	4	47	0.08510638	
	2011	16	2	2	28	0.07142857	
	2011	17	1	6	77	0.07792208	
	2011	17	2	9	98	0.09183673	
	2011	18	1	2	66	0.03030303	
	2011	18	2	5	84	0.05952381	
	2011	19	1	2	8	0.25	
	2011	19	2	1	23	0.04347826	
	2011	20	2	0	2	0	
	2012	8	1	0	2	0	
	2012	9	2	0	1	0	
	2012	10	1	1	1	1	
	2012	11	1	0	5	0	
	2012	11	2	0	3	0	
	2012	12	1	0	2	0	
	2012	12	2	0	1	0	
	2012	13	1	0	3	0	
	2012	13	2	0	2	0	
	2012	14	1	0	19	0	
	2012	14	2	0	6	0	
	2012	15	1	2	26	0.07692308	
	2012	15	2	2	13	0.1538462	
	2012	16	1	2	76	0.02631579	
	2012	16	2	2	54	0.03703704	
	2012	17	1	5	109	0.04587156	
	2012	17	2	2	120	0.01666667	
	2012	18	1	6	83	0.07228916	
	2012	18	2	7	103	0.06796117	
	2012	19	1	1	15	0.06666667	
	2012	19	2	1	15	0.06666667	
	2012	20	1	0	1	0	
	2012	20	2	0	2	0	
	2013	6	1	0	1	0	
	2013	7	1	0	1	0	
	2013	8	2	0	1	0	
	2013	10	1	0	1	0	
	2013	11	1	1	5	0.2	
	2013	11	2	0	1	0	
	2013	12	1	0	2	0	
	2013	12	2	0	2	0	
	2013	13	1	0	2	0	
	2013	13	2	0	2	0	
	2013	14	1	1	9	0.1111111	
	2013	14	2	0	13	0	
	2013	15	1	3	36	0.08333333	
	2013	15	2	0	13	0	
	2013	16	1	8	98	0.08163265	
	2013	16	2	2	60	0.03333333	
	2013	17	1	10	141	0.07092199	
	2013	17	2	4	141	0.02836879	
	2013	18	1	4	81	0.04938272	
	2013	18	2	7	123	0.05691057	
	2013	19	1	4	26	0.1538462	
	2013	19	2	0	31	0	
	2013	20	1	0	1	0	
	2013	20	2	0	2	0	
	2014	1	1	0	1	0	
	2014	8	1	0	2	0	
	2014	9	1	0	2	0	
	2014	9	2	1	2	0.5	
	2014	10	1	0	2	0	
	2014	11	1	0	1	0	
	2014	11	2	0	2	0	
