
	A7_09_M Minimalinvasive Implantation einer Aortenklappe endovaskulär, Mortalität // Implantation mini­invasive de valve aortique par voie endovasculaire, mortalité // Applicazione minimamente invasiva di valvola aortica endovascolare, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2011	7	2	0	1	0	
	2011	11	1	0	1	0	
	2011	12	2	0	1	0	
	2011	13	1	0	8	0	
	2011	13	2	0	2	0	
	2011	14	1	0	3	0	
	2011	14	2	0	3	0	
	2011	15	1	0	9	0	
	2011	15	2	0	4	0	
	2011	16	1	2	33	0.06060606	
	2011	16	2	2	21	0.0952381	
	2011	17	1	2	53	0.03773585	
	2011	17	2	8	81	0.09876543	
	2011	18	1	0	52	0	
	2011	18	2	3	66	0.04545455	
	2011	19	1	2	7	0.2857143	
	2011	19	2	0	16	0	
	2011	20	2	0	2	0	
	2012	10	1	1	1	1	
	2012	11	1	0	1	0	
	2012	11	2	0	1	0	
	2012	13	1	0	1	0	
	2012	13	2	0	1	0	
	2012	14	1	0	14	0	
	2012	14	2	0	5	0	
	2012	15	1	1	16	0.0625	
	2012	15	2	0	6	0	
	2012	16	1	1	57	0.01754386	
	2012	16	2	1	41	0.02439024	
	2012	17	1	3	91	0.03296703	
	2012	17	2	2	102	0.01960784	
	2012	18	1	5	68	0.07352941	
	2012	18	2	6	89	0.06741573	
	2012	19	1	1	15	0.06666667	
	2012	19	2	0	12	0	
	2012	20	1	0	1	0	
	2012	20	2	0	1	0	
	2013	8	2	0	1	0	
	2013	10	1	0	1	0	
	2013	11	1	1	3	0.3333333	
	2013	12	1	0	1	0	
	2013	12	2	0	1	0	
	2013	13	1	0	2	0	
	2013	14	1	1	8	0.125	
	2013	14	2	0	8	0	
	2013	15	1	3	29	0.1034483	
	2013	15	2	0	11	0	
	2013	16	1	4	74	0.05405405	
	2013	16	2	1	51	0.01960784	
	2013	17	1	6	118	0.05084746	
	2013	17	2	2	121	0.01652893	
	2013	18	1	2	67	0.02985075	
	2013	18	2	3	104	0.02884615	
	2013	19	1	4	25	0.16	
	2013	19	2	0	29	0	
	2013	20	1	0	1	0	
	2013	20	2	0	2	0	
	2014	1	1	0	1	0	
	2014	9	2	1	1	1	
	2014	10	1	0	1	0	
	2014	11	2	0	2	0	
	2014	12	1	1	5	0.2	
	2014	12	2	0	1	0	
	2014	13	1	0	7	0	
	2014	13	2	0	3	0	
	2014	14	1	0	19	0	
	2014	14	2	0	8	0	
	2014	15	1	1	32	0.03125	
	2014	15	2	0	23	0	
	2014	16	1	2	88	0.02272727	
	2014	16	2	0	75	0	
	2014	17	1	7	170	0.04117647	
	2014	17	2	7	160	0.04375	
	2014	18	1	7	112	0.0625	
	2014	18	2	9	154	0.05844156	
	2014	19	1	1	34	0.02941176	
	2014	19	2	1	38	0.02631579	
	2014	20	2	0	3	0	
	2015	7	2	0	1	0	
	2015	10	1	0	2	0	
	2015	10	2	0	1	0	
	2015	11	2	0	1	0	
	2015	12	1	0	6	0	
	2015	12	2	0	1	0	
	2015	13	1	0	11	0	
	2015	13	2	1	5	0.2	
	2015	14	1	2	25	0.08	
	2015	14	2	0	11	0	
	2015	15	1	3	44	0.06818182	
	2015	15	2	0	32	0	
	2015	16	1	1	151	0.006622517	
	2015	16	2	1	99	0.01010101	
	2015	17	1	4	216	0.01851852	
	2015	17	2	3	217	0.01382488	
	2015	18	1	6	134	0.04477612	
	2015	18	2	7	177	0.03954802	
	2015	19	1	3	43	0.06976744	
	2015	19	2	3	46	0.06521739	
	2015	20	2	0	5	0	
	2016	4	1	0	1	0	
	2016	5	1	0	1	0	
	2016	8	1	0	1	0	
	2016	9	1	0	2	0	
	2016	10	1	0	1	0	
	2016	10	2	0	1	0	
	2016	11	1	0	3	0	
	2016	11	2	0	2	0	
	2016	12	1	0	12	0	
	2016	12	2	0	2	0	
	2016	13	1	0	22	0	
	2016	13	2	0	9	0	
	2016	14	1	1	24	0.04166667	
	2016	14	2	0	12	0	
	2016	15	1	1	78	0.01282051	
	2016	15	2	1	45	0.02222222	
	2016	16	1	3	143	0.02097902	
	2016	16	2	3	128	0.0234375	
	2016	17	1	7	257	0.02723735	
	2016	17	2	7	247	0.02834008	
	2016	18	1	5	170	0.02941176	
	2016	18	2	5	239	0.0209205	
	2016	19	1	2	40	0.05	
	2016	19	2	3	54	0.05555556	
	2016	20	1	0	3	0	
	2016	20	2	1	3	0.3333333	
	2017	9	1	0	1	0	
	2017	10	1	0	1	0	
	2017	11	1	0	4	0	
	2017	11	2	0	1	0	
	2017	12	1	1	8	0.125	
	2017	12	2	0	3	0	
	2017	13	1	1	12	0.08333333	
	2017	13	2	0	7	0	
	2017	14	1	0	27	0	
	2017	14	2	1	14	0.07142857	
	2017	15	1	1	72	0.01388889	
	2017	15	2	1	44	0.02272727	
	2017	16	1	5	169	0.0295858	
	2017	16	2	0	141	0	
	2017	17	1	6	260	0.02307692	
	2017	17	2	6	275	0.02181818	
	2017	18	1	5	164	0.0304878	
	2017	18	2	2	232	0.00862069	
	2017	19	1	1	34	0.02941176	
	2017	19	2	3	66	0.04545455	
	2017	20	1	1	8	0.125	
	2017	20	2	0	3	0	
	2018	8	1	0	1	0	
	2018	11	1	0	2	0	
	2018	11	2	0	1	0	
	2018	12	1	0	3	0	
	2018	12	2	0	1	0	
	2018	13	1	0	14	0	
	2018	13	2	0	6	0	
	2018	14	1	1	33	0.03030303	
	2018	14	2	0	17	0	
	2018	15	1	1	89	0.01123596	
	2018	15	2	2	75	0.02666667	
	2018	16	1	5	218	0.02293578	
	2018	16	2	3	155	0.01935484	
	2018	17	1	4	289	0.01384083	
	2018	17	2	6	281	0.02135231	
	2018	18	1	4	167	0.0239521	
	2018	18	2	11	232	0.04741379	
	2018	19	1	4	48	0.08333333	
	2018	19	2	4	63	0.06349206	
	2018	20	1	0	4	0	
	2018	20	2	1	7	0.1428571	
	2019	7	1	0	1	0	
	2019	9	2	0	1	0	
	2019	10	1	0	2	0	
	2019	11	1	0	5	0	
	2019	12	1	0	3	0	
	2019	12	2	0	4	0	
	2019	13	1	0	15	0	
	2019	13	2	0	5	0	
	2019	14	1	1	57	0.01754386	
	2019	14	2	0	15	0	
	2019	15	1	1	109	0.009174312	
	2019	15	2	2	79	0.02531646	
	2019	16	1	1	251	0.003984064	
	2019	16	2	2	177	0.01129944	
	2019	17	1	1	304	0.003289474	
	2019	17	2	4	268	0.01492537	
	2019	18	1	1	198	0.005050505	
	2019	18	2	5	241	0.02074689	
	2019	19	1	0	62	0	
	2019	19	2	0	70	0	
	2019	20	1	0	1	0	
	2019	20	2	2	9	0.2222222	
