
	A7_10_M Minimalinvasive Implantation einer Aortenklappe transapikal, Mortalität // Implantation mini­invasive de valve aortique par voie transapicale, mortalité // Applicazione minimamente invasiva di valvola aortica transapicale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2011	3	2	0	1	0	
	2011	13	1	0	2	0	
	2011	14	1	0	4	0	
	2011	14	2	0	2	0	
	2011	15	1	0	6	0	
	2011	15	2	1	6	0.1666667	
	2011	16	1	1	9	0.1111111	
	2011	16	2	0	4	0	
	2011	17	1	2	18	0.1111111	
	2011	17	2	1	15	0.06666667	
	2011	18	1	2	12	0.1666667	
	2011	18	2	1	10	0.1	
	2011	19	1	0	1	0	
	2011	19	2	1	3	0.3333333	
	2012	13	1	0	1	0	
	2012	14	1	0	3	0	
	2012	15	1	1	7	0.1428571	
	2012	15	2	2	5	0.4	
	2012	16	1	1	12	0.08333333	
	2012	16	2	1	8	0.125	
	2012	17	1	2	18	0.1111111	
	2012	17	2	0	15	0	
	2012	18	1	1	14	0.07142857	
	2012	18	2	1	13	0.07692308	
	2012	19	2	1	3	0.3333333	
	2012	20	2	0	1	0	
	2013	14	1	0	1	0	
	2013	14	2	0	3	0	
	2013	15	1	0	6	0	
	2013	15	2	0	2	0	
	2013	16	1	4	20	0.2	
	2013	16	2	1	6	0.1666667	
	2013	17	1	3	17	0.1764706	
	2013	17	2	2	17	0.1176471	
	2013	18	1	2	13	0.1538462	
	2013	18	2	4	19	0.2105263	
	2013	19	1	0	1	0	
	2013	19	2	0	2	0	
	2014	8	1	0	1	0	
	2014	9	1	0	1	0	
	2014	12	1	0	1	0	
	2014	14	1	0	3	0	
	2014	14	2	0	2	0	
	2014	15	1	1	4	0.25	
	2014	15	2	1	6	0.1666667	
	2014	16	1	1	9	0.1111111	
	2014	16	2	1	8	0.125	
	2014	17	1	1	22	0.04545455	
	2014	17	2	1	17	0.05882353	
	2014	18	1	0	10	0	
	2014	18	2	0	15	0	
	2014	19	1	0	1	0	
	2014	19	2	0	7	0	
	2015	12	2	0	1	0	
	2015	13	1	0	1	0	
	2015	14	1	0	1	0	
	2015	14	2	0	2	0	
	2015	15	1	0	5	0	
	2015	15	2	0	4	0	
	2015	16	1	0	14	0	
	2015	16	2	0	7	0	
	2015	17	1	0	16	0	
	2015	17	2	0	17	0	
	2015	18	1	3	15	0.2	
	2015	18	2	0	9	0	
	2015	19	1	0	3	0	
	2015	19	2	0	1	0	
	2016	12	1	0	1	0	
	2016	13	1	0	1	0	
	2016	14	1	1	3	0.3333333	
	2016	15	1	0	3	0	
	2016	15	2	0	1	0	
	2016	16	1	0	18	0	
	2016	16	2	0	9	0	
	2016	17	1	1	24	0.04166667	
	2016	17	2	0	13	0	
	2016	18	1	0	10	0	
	2016	18	2	1	7	0.1428571	
	2016	19	2	0	2	0	
	2017	13	1	0	2	0	
	2017	14	1	0	1	0	
	2017	14	2	1	1	1	
	2017	15	1	0	4	0	
	2017	16	1	0	8	0	
	2017	16	2	1	8	0.125	
	2017	17	1	1	16	0.0625	
	2017	17	2	0	6	0	
	2017	18	1	1	8	0.125	
	2017	18	2	3	8	0.375	
	2017	19	1	1	3	0.3333333	
	2017	19	2	0	2	0	
	2018	14	1	0	2	0	
	2018	14	2	0	1	0	
	2018	15	1	0	5	0	
	2018	15	2	1	3	0.3333333	
	2018	16	1	0	9	0	
	2018	16	2	0	1	0	
	2018	17	1	0	16	0	
	2018	17	2	0	5	0	
	2018	18	1	1	7	0.1428571	
	2018	18	2	0	3	0	
	2018	19	1	0	3	0	
	2019	14	1	0	1	0	
	2019	15	1	0	2	0	
	2019	15	2	0	2	0	
	2019	16	1	0	3	0	
	2019	16	2	0	5	0	
	2019	17	1	0	10	0	
	2019	17	2	1	4	0.25	
	2019	18	1	0	5	0	
	2019	18	2	1	4	0.25	
	2019	20	2	0	2	0	
