
	A7_11_M OP nur an Koronargefässen bei HD Herzinfarkt (Alter >19), Mortalität // OP des vaisseaux coronaires uniquement, en cas de DP infarctus du myocarde (âge >19), mortalité // OP solo ai vasi coronarici con DP infarto miocardico (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	9	1	0	7	0	
	2008	10	1	0	14	0	
	2008	11	1	2	22	0.09090909	
	2008	11	2	0	2	0	
	2008	12	1	1	31	0.03225806	
	2008	12	2	0	6	0	
	2008	13	1	0	55	0	
	2008	13	2	0	9	0	
	2008	14	1	3	42	0.07142857	
	2008	14	2	0	10	0	
	2008	15	1	1	33	0.03030303	
	2008	15	2	0	20	0	
	2008	16	1	0	41	0	
	2008	16	2	1	20	0.05	
	2008	17	1	1	16	0.0625	
	2008	17	2	0	9	0	
	2008	18	1	0	2	0	
	2008	18	2	0	1	0	
	2009	7	2	0	1	0	
	2009	8	1	0	5	0	
	2009	9	1	1	2	0.5	
	2009	10	1	1	16	0.0625	
	2009	10	2	0	5	0	
	2009	11	1	0	16	0	
	2009	11	2	0	3	0	
	2009	12	1	1	36	0.02777778	
	2009	12	2	0	6	0	
	2009	13	1	2	48	0.04166667	
	2009	13	2	1	5	0.2	
	2009	14	1	0	52	0	
	2009	14	2	0	13	0	
	2009	15	1	2	49	0.04081633	
	2009	15	2	0	11	0	
	2009	16	1	3	36	0.08333333	
	2009	16	2	1	13	0.07692308	
	2009	17	1	1	17	0.05882353	
	2009	17	2	4	9	0.4444444	
	2009	18	1	0	3	0	
	2009	18	2	0	2	0	
	2010	8	1	0	2	0	
	2010	9	1	0	7	0	
	2010	10	1	0	22	0	
	2010	10	2	0	1	0	
	2010	11	1	0	27	0	
	2010	11	2	0	4	0	
	2010	12	1	1	47	0.0212766	
	2010	12	2	0	4	0	
	2010	13	1	0	74	0	
	2010	13	2	2	14	0.1428571	
	2010	14	1	0	57	0	
	2010	14	2	0	15	0	
	2010	15	1	2	77	0.02597403	
	2010	15	2	3	19	0.1578947	
	2010	16	1	3	59	0.05084746	
	2010	16	2	0	28	0	
	2010	17	1	4	31	0.1290323	
	2010	17	2	2	17	0.1176471	
	2010	18	1	1	4	0.25	
	2011	8	1	0	2	0	
	2011	9	1	0	6	0	
	2011	9	2	0	1	0	
	2011	10	1	0	27	0	
	2011	10	2	0	2	0	
	2011	11	1	0	32	0	
	2011	11	2	0	3	0	
	2011	12	1	2	57	0.03508772	
	2011	12	2	1	6	0.1666667	
	2011	13	1	3	66	0.04545455	
	2011	13	2	1	11	0.09090909	
	2011	14	1	3	84	0.03571429	
	2011	14	2	1	14	0.07142857	
	2011	15	1	4	76	0.05263158	
	2011	15	2	1	20	0.05	
	2011	16	1	5	68	0.07352941	
	2011	16	2	1	18	0.05555556	
	2011	17	1	2	34	0.05882353	
	2011	17	2	3	18	0.1666667	
	2011	18	1	2	5	0.4	
	2011	18	2	1	2	0.5	
	2012	7	1	0	1	0	
	2012	7	2	0	1	0	
	2012	9	1	0	9	0	
	2012	10	1	0	19	0	
	2012	10	2	0	3	0	
	2012	11	1	0	39	0	
	2012	11	2	0	3	0	
	2012	12	1	0	49	0	
	2012	12	2	0	10	0	
	2012	13	1	3	65	0.04615385	
	2012	13	2	1	14	0.07142857	
	2012	14	1	4	97	0.04123711	
	2012	14	2	1	19	0.05263158	
	2012	15	1	1	76	0.01315789	
	2012	15	2	1	32	0.03125	
	2012	16	1	1	58	0.01724138	
	2012	16	2	2	25	0.08	
	2012	17	1	4	32	0.125	
	2012	17	2	1	15	0.06666667	
	2012	18	1	1	5	0.2	
	2013	7	1	0	1	0	
	2013	8	1	0	5	0	
	2013	8	2	0	1	0	
	2013	9	1	0	10	0	
	2013	10	1	3	26	0.1153846	
	2013	10	2	0	2	0	
	2013	11	1	0	40	0	
	2013	11	2	0	8	0	
	2013	12	1	1	58	0.01724138	
	2013	12	2	0	4	0	
	2013	13	1	1	67	0.01492537	
	2013	13	2	0	13	0	
	2013	14	1	2	76	0.02631579	
	2013	14	2	0	17	0	
	2013	15	1	3	81	0.03703704	
	2013	15	2	1	18	0.05555556	
	2013	16	1	1	57	0.01754386	
	2013	16	2	3	24	0.125	
	2013	17	1	8	35	0.2285714	
	2013	17	2	1	28	0.03571429	
	2013	18	1	1	5	0.2	
	2013	18	2	0	5	0	
	2014	5	1	0	1	0	
	2014	9	1	0	2	0	
	2014	10	1	0	24	0	
	2014	10	2	0	2	0	
	2014	11	1	0	48	0	
	2014	11	2	0	5	0	
	2014	12	1	1	77	0.01298701	
	2014	12	2	0	9	0	
	2014	13	1	1	85	0.01176471	
	2014	13	2	1	14	0.07142857	
	2014	14	1	0	94	0	
	2014	14	2	0	20	0	
	2014	15	1	5	96	0.05208333	
	2014	15	2	2	12	0.1666667	
	2014	16	1	4	66	0.06060606	
	2014	16	2	4	29	0.137931	
	2014	17	1	3	30	0.1	
	2014	17	2	0	20	0	
	2014	18	1	1	6	0.1666667	
	2014	18	2	0	3	0	
	2014	19	1	0	1	0	
	2015	8	1	0	1	0	
	2015	8	2	0	1	0	
	2015	9	1	0	9	0	
	2015	9	2	0	1	0	
	2015	10	1	1	31	0.03225806	
	2015	10	2	0	1	0	
	2015	11	1	0	46	0	
	2015	11	2	0	10	0	
	2015	12	1	0	70	0	
	2015	12	2	0	4	0	
	2015	13	1	3	83	0.03614458	
	2015	13	2	0	7	0	
	2015	14	1	2	91	0.02197802	
	2015	14	2	1	28	0.03571429	
	2015	15	1	3	86	0.03488372	
	2015	15	2	2	21	0.0952381	
	2015	16	1	2	70	0.02857143	
	2015	16	2	3	31	0.09677419	
	2015	17	1	5	49	0.1020408	
	2015	17	2	3	18	0.1666667	
	2015	18	1	1	7	0.1428571	
	2015	18	2	3	6	0.5	
	2015	19	1	0	1	0	
	2016	6	1	0	1	0	
	2016	7	1	0	1	0	
	2016	8	1	0	2	0	
	2016	9	1	0	7	0	
	2016	10	1	0	21	0	
	2016	11	1	0	42	0	
	2016	11	2	1	6	0.1666667	
	2016	12	1	1	64	0.015625	
	2016	12	2	0	11	0	
	2016	13	1	4	92	0.04347826	
	2016	13	2	2	16	0.125	
	2016	14	1	3	105	0.02857143	
	2016	14	2	2	27	0.07407407	
	2016	15	1	4	108	0.03703704	
	2016	15	2	1	22	0.04545455	
	2016	16	1	3	79	0.03797468	
	2016	16	2	2	21	0.0952381	
	2016	17	1	3	42	0.07142857	
	2016	17	2	2	20	0.1	
	2016	18	1	1	6	0.1666667	
	2016	18	2	0	2	0	
	2017	6	1	0	1	0	
	2017	7	1	0	1	0	
	2017	8	2	0	1	0	
	2017	9	1	0	13	0	
	2017	9	2	0	1	0	
	2017	10	1	0	18	0	
	2017	10	2	0	1	0	
	2017	11	1	0	47	0	
	2017	11	2	0	9	0	
	2017	12	1	3	78	0.03846154	
	2017	12	2	0	10	0	
	2017	13	1	1	100	0.01	
	2017	13	2	0	14	0	
	2017	14	1	1	106	0.009433962	
	2017	14	2	0	14	0	
	2017	15	1	1	122	0.008196721	
	2017	15	2	2	36	0.05555556	
	2017	16	1	2	66	0.03030303	
	2017	16	2	1	28	0.03571429	
	2017	17	1	5	45	0.1111111	
	2017	17	2	0	13	0	
	2017	18	1	0	8	0	
	2017	18	2	2	3	0.6666667	
	2017	19	1	1	1	1	
	2017	19	2	0	1	0	
	2018	7	1	0	1	0	
	2018	8	1	0	2	0	
	2018	9	1	0	9	0	
	2018	9	2	0	1	0	
	2018	10	1	0	21	0	
	2018	10	2	0	3	0	
	2018	11	1	0	54	0	
	2018	11	2	0	3	0	
	2018	12	1	0	60	0	
	2018	12	2	0	7	0	
	2018	13	1	1	78	0.01282051	
	2018	13	2	0	10	0	
	2018	14	1	0	91	0	
	2018	14	2	0	18	0	
	2018	15	1	1	110	0.009090909	
	2018	15	2	2	28	0.07142857	
	2018	16	1	6	67	0.08955224	
	2018	16	2	3	30	0.1	
	2018	17	1	3	32	0.09375	
	2018	17	2	1	12	0.08333333	
	2018	18	1	0	5	0	
	2018	18	2	0	1	0	
	2018	19	1	0	1	0	
	2019	8	1	0	4	0	
	2019	9	1	0	12	0	
	2019	9	2	0	2	0	
	2019	10	1	1	24	0.04166667	
	2019	10	2	0	1	0	
	2019	11	1	0	32	0	
	2019	11	2	0	5	0	
	2019	12	1	1	70	0.01428571	
	2019	12	2	0	13	0	
	2019	13	1	2	75	0.02666667	
	2019	13	2	1	12	0.08333333	
	2019	14	1	1	107	0.009345794	
	2019	14	2	1	21	0.04761905	
	2019	15	1	3	119	0.02521008	
	2019	15	2	0	24	0	
	2019	16	1	6	78	0.07692308	
	2019	16	2	2	20	0.1	
	2019	17	1	4	46	0.08695652	
	2019	17	2	3	15	0.2	
	2019	18	1	0	5	0	
	2019	18	2	0	4	0	
