
	A7_12_M OP nur an Koronargefässen ohne HD Herzinfarkt (Alter >19), Mortalität // OP des vaisseaux coronaires uniquement, sans DP infarctus du myocarde (âge >19), mortalité // OP solo ai vasi coronarici senza DP infarto miocardico (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	2	0	
	2008	6	1	0	1	0	
	2008	7	1	0	1	0	
	2008	8	1	0	2	0	
	2008	9	1	0	22	0	
	2008	9	2	0	1	0	
	2008	10	1	0	71	0	
	2008	10	2	0	11	0	
	2008	11	1	0	122	0	
	2008	11	2	0	12	0	
	2008	12	1	1	194	0.005154639	
	2008	12	2	2	32	0.0625	
	2008	13	1	3	361	0.008310249	
	2008	13	2	0	53	0	
	2008	14	1	3	334	0.008982036	
	2008	14	2	3	83	0.03614458	
	2008	15	1	7	303	0.02310231	
	2008	15	2	2	78	0.02564103	
	2008	16	1	3	218	0.01376147	
	2008	16	2	3	89	0.03370787	
	2008	17	1	1	63	0.01587302	
	2008	17	2	4	45	0.08888889	
	2008	18	1	0	7	0	
	2008	18	2	0	2	0	
	2008	19	1	0	1	0	
	2009	5	1	0	2	0	
	2009	7	1	0	1	0	
	2009	8	1	0	5	0	
	2009	8	2	0	1	0	
	2009	9	1	0	22	0	
	2009	9	2	0	1	0	
	2009	10	1	0	54	0	
	2009	10	2	0	8	0	
	2009	11	1	0	124	0	
	2009	11	2	0	15	0	
	2009	12	1	2	191	0.0104712	
	2009	12	2	0	21	0	
	2009	13	1	4	280	0.01428571	
	2009	13	2	1	41	0.02439024	
	2009	14	1	3	303	0.00990099	
	2009	14	2	2	63	0.03174603	
	2009	15	1	9	305	0.0295082	
	2009	15	2	1	83	0.01204819	
	2009	16	1	6	207	0.02898551	
	2009	16	2	3	83	0.03614458	
	2009	17	1	3	81	0.03703704	
	2009	17	2	1	36	0.02777778	
	2009	18	1	0	16	0	
	2009	18	2	1	6	0.1666667	
	2010	5	2	0	1	0	
	2010	6	1	0	1	0	
