
	A7_13_M OP nur an Koronargefässen ohne HD Herzinfarkt, Alter 20-49, Mortalität // OP des vaisseaux coronaires uniquement, sans DP infarctus du myocarde, âge 20-49, mortalité // OP solo ai vasi coronarici senza DP infarto miocardico, età 20-49, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	2	0	
	2008	6	1	0	1	0	
	2008	7	1	0	1	0	
	2008	8	1	0	2	0	
	2008	9	1	0	22	0	
	2008	9	2	0	1	0	
	2008	10	1	0	71	0	
	2008	10	2	0	11	0	
	2009	5	1	0	2	0	
	2009	7	1	0	1	0	
	2009	8	1	0	5	0	
	2009	8	2	0	1	0	
	2009	9	1	0	22	0	
	2009	9	2	0	1	0	
	2009	10	1	0	54	0	
	2009	10	2	0	8	0	
	2010	5	2	0	1	0	
	2010	6	1	0	1	0	
	2010	8	1	0	4	0	
	2010	8	2	0	3	0	
	2010	9	1	0	24	0	
	2010	9	2	0	3	0	
	2010	10	1	0	66	0	
	2010	10	2	0	5	0	
	2011	6	2	0	1	0	
	2011	7	1	0	2	0	
	2011	8	1	0	5	0	
	2011	9	1	1	24	0.04166667	
	2011	9	2	0	2	0	
	2011	10	1	0	70	0	
	2011	10	2	1	5	0.2	
	2012	7	1	0	1	0	
	2012	8	1	0	5	0	
	2012	8	2	0	1	0	
	2012	9	1	0	15	0	
	2012	9	2	0	1	0	
	2012	10	1	0	61	0	
	2012	10	2	0	7	0	
	2013	5	2	0	1	0	
	2013	8	1	0	1	0	
	2013	8	2	0	2	0	
	2013	9	1	0	16	0	
	2013	9	2	0	1	0	
	2013	10	1	0	55	0	
	2013	10	2	0	5	0	
	2014	7	1	0	1	0	
	2014	7	2	0	1	0	
	2014	9	1	0	22	0	
	2014	9	2	0	1	0	
	2014	10	1	1	55	0.01818182	
	2014	10	2	0	8	0	
	2015	6	1	0	1	0	
	2015	8	2	0	1	0	
	2015	9	1	0	13	0	
	2015	9	2	0	3	0	
	2015	10	1	1	61	0.01639344	
	2015	10	2	0	4	0	
	2016	7	1	0	1	0	
	2016	8	1	0	4	0	
	2016	8	2	0	1	0	
	2016	9	1	0	27	0	
	2016	9	2	0	2	0	
	2016	10	1	0	39	0	
	2016	10	2	0	5	0	
	2017	6	2	0	1	0	
	2017	7	1	0	5	0	
	2017	8	1	0	3	0	
	2017	8	2	0	1	0	
	2017	9	1	0	15	0	
	2017	9	2	0	3	0	
	2017	10	1	0	61	0	
	2017	10	2	0	4	0	
	2018	6	1	0	2	0	
	2018	7	1	0	2	0	
	2018	8	1	0	4	0	
	2018	9	1	1	23	0.04347826	
	2018	10	1	0	41	0	
	2018	10	2	0	6	0	
	2019	7	1	0	1	0	
	2019	8	1	0	5	0	
	2019	8	2	0	1	0	
	2019	9	1	0	12	0	
	2019	9	2	0	3	0	
	2019	10	1	0	45	0	
	2019	10	2	0	5	0	
