
	A7_19_M Isolierter offener Aortenklappenersatz ohne weitere OP am Herzen mit HD Endokarditis (Alter >19), Mortalität // Remplacement isolé de valve aortique à cœur ouvert sans autre OP du cœur avec DP endocardite (âge >19), mortalité // Sostituzione isolata della valvola aortica a cuore aperto senza altre OP al cuore con DP endocardite (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	6	1	0	1	0	
	2008	6	2	0	1	0	
	2008	10	1	0	1	0	
	2008	11	1	0	1	0	
	2008	11	2	0	1	0	
	2008	12	1	0	1	0	
	2008	13	1	0	1	0	
	2008	14	1	0	1	0	
	2009	6	1	0	2	0	
	2009	7	1	0	1	0	
	2009	9	1	0	2	0	
	2009	11	1	0	1	0	
	2009	14	1	0	2	0	
	2009	15	1	1	2	0.5	
	2010	7	1	0	1	0	
	2010	9	1	0	1	0	
	2010	10	1	0	1	0	
	2010	12	1	0	1	0	
	2010	13	1	0	1	0	
	2010	14	2	0	1	0	
	2010	15	1	0	1	0	
	2010	15	2	0	2	0	
	2011	7	1	0	2	0	
	2011	8	1	0	1	0	
	2011	9	1	0	2	0	
	2011	10	1	0	2	0	
	2011	11	1	0	2	0	
	2011	12	1	0	2	0	
	2011	13	1	1	2	0.5	
	2011	13	2	0	2	0	
	2011	14	1	0	2	0	
	2011	15	1	0	5	0	
	2011	16	1	0	2	0	
	2012	5	1	0	2	0	
	2012	6	1	0	1	0	
	2012	8	1	0	1	0	
	2012	10	1	0	2	0	
	2012	11	1	0	1	0	
	2012	12	1	0	2	0	
	2012	13	1	0	1	0	
	2012	14	1	0	1	0	
	2012	15	2	0	1	0	
	2012	16	1	0	1	0	
	2013	6	2	0	1	0	
	2013	10	1	0	1	0	
	2013	11	1	0	2	0	
	2013	12	1	0	1	0	
	2013	13	1	0	7	0	
	2013	14	1	1	3	0.3333333	
	2013	15	1	1	5	0.2	
	2013	16	1	0	3	0	
	2013	16	2	0	1	0	
	2014	7	2	0	1	0	
	2014	9	1	1	3	0.3333333	
	2014	10	1	0	1	0	
	2014	11	1	0	3	0	
	2014	12	1	0	4	0	
	2014	13	1	0	2	0	
	2014	14	1	1	2	0.5	
	2014	14	2	1	1	1	
	2014	15	1	0	1	0	
	2014	16	2	1	1	1	
	2015	8	1	0	1	0	
	2015	10	1	0	1	0	
	2015	11	1	0	3	0	
	2015	12	1	0	1	0	
	2015	13	1	0	1	0	
	2015	13	2	1	2	0.5	
	2015	14	1	0	5	0	
	2015	14	2	0	2	0	
	2015	15	1	0	1	0	
	2015	16	1	0	2	0	
	2015	17	1	0	3	0	
	2016	6	2	0	1	0	
	2016	10	1	0	3	0	
	2016	11	1	0	2	0	
	2016	12	1	0	3	0	
	2016	13	1	0	2	0	
	2016	13	2	0	1	0	
	2016	14	1	0	1	0	
	2016	15	1	1	3	0.3333333	
	2016	16	1	0	1	0	
	2016	16	2	0	2	0	
	2016	17	1	0	1	0	
	2016	18	1	1	1	1	
	2017	5	1	0	1	0	
	2017	6	1	0	1	0	
	2017	7	1	0	1	0	
	2017	9	1	0	1	0	
	2017	10	1	0	2	0	
	2017	11	1	0	2	0	
	2017	11	2	0	1	0	
	2017	12	1	0	3	0	
	2017	14	1	0	3	0	
	2017	15	1	0	3	0	
	2017	16	1	1	1	1	
	2017	17	1	0	1	0	
	2017	17	2	0	1	0	
	2018	6	1	0	4	0	
	2018	7	1	0	3	0	
	2018	8	1	0	3	0	
	2018	9	1	0	1	0	
	2018	10	2	0	1	0	
	2018	11	2	0	1	0	
	2018	12	1	0	1	0	
	2018	13	1	0	2	0	
	2018	13	2	0	1	0	
	2018	15	1	0	3	0	
	2018	16	1	1	2	0.5	
	2019	5	1	0	1	0	
	2019	6	1	0	1	0	
	2019	7	1	0	1	0	
	2019	8	1	0	2	0	
	2019	9	1	0	2	0	
	2019	10	1	0	2	0	
	2019	10	2	0	2	0	
	2019	11	1	0	2	0	
	2019	12	1	0	2	0	
	2019	13	1	0	1	0	
	2019	13	2	0	1	0	
	2019	14	1	0	2	0	
	2019	14	2	0	1	0	
	2019	15	1	1	2	0.5	
	2019	16	2	0	1	0	
	2019	17	1	0	1	0	
