
	A7_23_M Endovaskuläre/transapikale Eingriffe an der Mitralklappe, Mortalität // Interventions endovasculaire/transapicale sur la valve mitrale, mortalité // Interventi endovascolari/transapicali sulla valvola mitrale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2011	3	2	0	1	0	
	2011	4	2	0	1	0	
	2011	8	2	0	4	0	
	2011	9	1	0	1	0	
	2011	9	2	0	2	0	
	2011	10	1	0	2	0	
	2011	10	2	0	3	0	
	2011	11	1	0	2	0	
	2011	11	2	0	1	0	
	2011	12	1	0	5	0	
	2011	12	2	0	3	0	
	2011	13	1	0	2	0	
	2011	13	2	0	2	0	
	2011	14	1	0	6	0	
	2011	14	2	0	6	0	
	2011	15	1	0	11	0	
	2011	15	2	0	7	0	
	2011	16	1	0	12	0	
	2011	16	2	0	7	0	
	2011	17	1	0	9	0	
	2011	17	2	0	10	0	
	2011	18	1	0	6	0	
	2011	18	2	0	8	0	
	2011	19	1	0	3	0	
	2012	5	2	0	2	0	
	2012	7	2	0	1	0	
	2012	8	1	0	1	0	
	2012	8	2	0	1	0	
	2012	9	1	0	1	0	
	2012	10	2	0	1	0	
	2012	11	1	0	1	0	
	2012	12	1	0	3	0	
	2012	12	2	0	3	0	
	2012	13	1	1	7	0.1428571	
	2012	13	2	0	6	0	
	2012	14	1	0	14	0	
	2012	14	2	0	3	0	
	2012	15	1	1	16	0.0625	
	2012	15	2	0	9	0	
	2012	16	1	1	16	0.0625	
	2012	16	2	1	7	0.1428571	
	2012	17	1	1	19	0.05263158	
	2012	17	2	1	14	0.07142857	
	2012	18	1	0	7	0	
	2012	18	2	0	11	0	
	2012	19	2	0	3	0	
	2013	9	2	0	2	0	
	2013	10	1	0	1	0	
	2013	10	2	0	2	0	
	2013	11	1	0	4	0	
	2013	12	1	0	2	0	
	2013	12	2	0	2	0	
	2013	13	1	0	7	0	
	2013	14	1	0	13	0	
	2013	14	2	0	3	0	
	2013	15	1	0	11	0	
	2013	15	2	0	7	0	
	2013	16	1	0	19	0	
	2013	16	2	0	17	0	
	2013	17	1	0	19	0	
	2013	17	2	0	13	0	
	2013	18	1	0	11	0	
	2013	18	2	1	11	0.09090909	
	2013	19	1	0	1	0	
	2013	19	2	0	2	0	
	2014	6	1	0	1	0	
	2014	7	1	0	1	0	
	2014	8	1	0	1	0	
	2014	9	1	0	1	0	
	2014	10	1	0	1	0	
	2014	11	1	1	5	0.2	
	2014	11	2	1	3	0.3333333	
	2014	12	1	0	6	0	
	2014	12	2	0	6	0	
	2014	13	1	0	8	0	
	2014	13	2	0	4	0	
	2014	14	1	0	19	0	
	2014	14	2	0	7	0	
	2014	15	1	2	21	0.0952381	
	2014	15	2	0	9	0	
	2014	16	1	1	31	0.03225806	
	2014	16	2	1	19	0.05263158	
	2014	17	1	1	19	0.05263158	
	2014	17	2	1	41	0.02439024	
	2014	18	1	0	25	0	
	2014	18	2	0	17	0	
	2014	19	1	0	9	0	
	2014	19	2	0	4	0	
	2015	8	2	0	1	0	
	2015	9	2	0	1	0	
	2015	10	1	0	5	0	
	2015	10	2	0	2	0	
	2015	11	1	0	3	0	
	2015	11	2	0	2	0	
