
	A7_26_M Offener Aortenklappenersatz mit Mitralklappenersatz (Alter >19), Mortalität // Remplacement de valve aortique à cœur ouvert avec remplacement de valve mitrale (âge >19), mortalité // Sostituzione della valvola aortica a cuore aperto con sostituzione della valvola mitrale (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2017	5	1	0	1	0	
	2017	8	2	0	1	0	
	2017	11	1	0	1	0	
	2017	11	2	1	3	0.3333333	
	2017	12	1	0	2	0	
	2017	12	2	0	2	0	
	2017	13	1	0	1	0	
	2017	13	2	0	1	0	
	2017	14	1	0	3	0	
	2017	14	2	0	2	0	
	2017	15	1	0	3	0	
	2017	15	2	0	2	0	
	2017	16	1	0	6	0	
	2017	16	2	1	3	0.3333333	
	2017	17	1	0	1	0	
	2018	5	2	0	1	0	
	2018	6	1	0	1	0	
	2018	8	1	0	1	0	
	2018	9	1	0	1	0	
	2018	9	2	0	1	0	
	2018	12	1	0	1	0	
	2018	12	2	0	1	0	
	2018	13	2	0	1	0	
	2018	14	1	0	2	0	
	2018	14	2	0	1	0	
	2018	15	1	0	4	0	
	2018	15	2	1	4	0.25	
	2018	16	1	1	5	0.2	
	2018	17	1	0	2	0	
	2018	18	2	1	1	1	
	2019	9	1	0	1	0	
	2019	10	1	0	1	0	
	2019	10	2	0	1	0	
	2019	11	2	0	1	0	
	2019	12	1	0	2	0	
	2019	12	2	0	2	0	
	2019	13	1	1	7	0.1428571	
	2019	13	2	0	2	0	
	2019	14	1	0	2	0	
	2019	14	2	0	1	0	
	2019	15	1	1	6	0.1666667	
	2019	15	2	0	1	0	
	2019	16	1	0	2	0	
	2019	16	2	0	2	0	
	2019	17	1	0	1	0	
	2019	18	1	0	1	0	
