
	A7_27_M Offener Aortenklappenersatz mit weiterer OP am Herzen (Alter >19), Mortalität // Remplacement de valve aortique à cœur ouvert avec autre OP du cœur (âge >19), mortalité // Sostituzione della valvola aortica a cuore aperto con altre OP al cuore (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	6	1	0	1	0	
	2008	7	2	0	1	0	
	2008	8	1	0	1	0	
	2008	9	1	0	5	0	
	2008	10	1	1	4	0.25	
	2008	10	2	0	1	0	
	2008	11	1	0	6	0	
	2008	12	1	0	20	0	
	2008	12	2	1	3	0.3333333	
	2008	13	1	2	40	0.05	
	2008	13	2	0	5	0	
	2008	14	1	1	45	0.02222222	
	2008	14	2	1	9	0.1111111	
	2008	15	1	1	59	0.01694915	
	2008	15	2	4	21	0.1904762	
	2008	16	1	5	55	0.09090909	
	2008	16	2	0	26	0	
	2008	17	1	3	44	0.06818182	
	2008	17	2	2	22	0.09090909	
	2008	18	1	3	5	0.6	
	2008	18	2	1	8	0.125	
	2008	19	1	0	2	0	
	2009	5	2	0	1	0	
	2009	7	1	1	1	1	
	2009	8	1	0	2	0	
	2009	8	2	0	1	0	
	2009	9	1	1	8	0.125	
	2009	10	1	0	1	0	
	2009	10	2	0	1	0	
	2009	11	1	0	2	0	
	2009	11	2	0	1	0	
	2009	12	1	1	17	0.05882353	
	2009	12	2	0	7	0	
	2009	13	1	2	31	0.06451613	
	2009	13	2	3	10	0.3	
	2009	14	1	3	59	0.05084746	
	2009	14	2	1	17	0.05882353	
	2009	15	1	4	68	0.05882353	
	2009	15	2	1	43	0.02325581	
	2009	16	1	11	93	0.1182796	
	2009	16	2	6	64	0.09375	
	2009	17	1	2	47	0.04255319	
	2009	17	2	4	31	0.1290323	
	2009	18	1	2	20	0.1	
	2009	18	2	0	11	0	
	2010	6	1	1	1	1	
	2010	8	1	0	1	0	
	2010	8	2	0	1	0	
	2010	9	1	0	4	0	
	2010	9	2	0	1	0	
	2010	10	1	0	1	0	
	2010	11	1	0	6	0	
	2010	11	2	1	2	0.5	
	2010	12	1	0	20	0	
	2010	12	2	0	2	0	
	2010	13	1	0	45	0	
	2010	13	2	1	9	0.1111111	
	2010	14	1	2	74	0.02702703	
	2010	14	2	2	20	0.1	
	2010	15	1	5	109	0.04587156	
	2010	15	2	5	43	0.1162791	
	2010	16	1	6	104	0.05769231	
	2010	16	2	4	64	0.0625	
	2010	17	1	2	60	0.03333333	
	2010	17	2	5	53	0.09433962	
	2010	18	1	1	10	0.1	
	2010	18	2	1	9	0.1111111	
	2010	19	1	0	1	0	
	2011	5	1	0	3	0	
	2011	5	2	0	4	0	
	2011	6	1	0	2	0	
	2011	6	2	0	2	0	
	2011	7	1	0	6	0	
	2011	7	2	0	5	0	
	2011	8	1	1	20	0.05	
	2011	8	2	1	4	0.25	
	2011	9	1	0	26	0	
	2011	9	2	1	4	0.25	
	2011	10	1	0	31	0	
	2011	10	2	0	5	0	
	2011	11	1	2	43	0.04651163	
	2011	11	2	1	6	0.1666667	
	2011	12	1	1	67	0.01492537	
	2011	12	2	0	13	0	
	2011	13	1	4	89	0.04494382	
	2011	13	2	0	25	0	
	2011	14	1	5	146	0.03424658	
	2011	14	2	4	48	0.08333333	
	2011	15	1	6	157	0.03821656	
	2011	15	2	4	75	0.05333333	
	2011	16	1	10	155	0.06451613	
	2011	16	2	2	79	0.02531646	
	2011	17	1	5	91	0.05494505	
	2011	17	2	2	69	0.02898551	
	2011	18	1	3	15	0.2	
	2011	18	2	2	11	0.1818182	
	2011	19	2	0	1	0	
	2012	5	1	0	2	0	
	2012	5	2	0	2	0	
	2012	6	1	1	3	0.3333333	
	2012	6	2	0	1	0	
	2012	7	1	0	10	0	
	2012	7	2	0	1	0	
	2012	8	1	0	14	0	
	2012	8	2	0	3	0	
	2012	9	1	0	16	0	
	2012	9	2	0	4	0	
	2012	10	1	1	29	0.03448276	
	2012	10	2	0	8	0	
	2012	11	1	2	50	0.04	
	2012	11	2	0	15	0	
	2012	12	1	1	60	0.01666667	
	2012	12	2	1	19	0.05263158	
	2012	13	1	3	112	0.02678571	
	2012	13	2	3	24	0.125	
	2012	14	1	11	170	0.06470588	
	2012	14	2	4	45	0.08888889	
	2012	15	1	12	165	0.07272727	
	2012	15	2	10	78	0.1282051	
	2012	16	1	3	167	0.01796407	
	2012	16	2	5	101	0.04950495	
	2012	17	1	4	85	0.04705882	
	2012	17	2	8	65	0.1230769	
	2012	18	1	2	16	0.125	
	2012	18	2	1	13	0.07692308	
	2013	5	1	0	2	0	
	2013	5	2	0	1	0	
	2013	6	1	0	2	0	
	2013	7	1	0	10	0	
	2013	8	1	1	12	0.08333333	
	2013	8	2	0	1	0	
	2013	9	1	0	14	0	
	2013	9	2	1	6	0.1666667	
	2013	10	1	2	35	0.05714286	
	2013	10	2	0	10	0	
	2013	11	1	1	40	0.025	
	2013	11	2	1	7	0.1428571	
	2013	12	1	5	70	0.07142857	
	2013	12	2	0	16	0	
	2013	13	1	1	113	0.008849558	
	2013	13	2	3	25	0.12	
	2013	14	1	9	161	0.05590062	
	2013	14	2	5	52	0.09615385	
	2013	15	1	7	179	0.03910615	
	2013	15	2	6	56	0.1071429	
	2013	16	1	15	163	0.09202454	
	2013	16	2	8	100	0.08	
	2013	17	1	10	90	0.1111111	
	2013	17	2	5	73	0.06849315	
	2013	18	1	2	19	0.1052632	
	2013	18	2	0	10	0	
	2014	5	1	0	4	0	
	2014	5	2	0	1	0	
	2014	6	1	0	3	0	
	2014	6	2	0	3	0	
	2014	7	1	0	3	0	
	2014	7	2	0	3	0	
	2014	8	1	0	6	0	
	2014	8	2	0	1	0	
	2014	9	1	0	18	0	
	2014	9	2	1	3	0.3333333	
	2014	10	1	1	30	0.03333333	
	2014	10	2	0	7	0	
	2014	11	1	3	41	0.07317073	
	2014	11	2	0	10	0	
	2014	12	1	2	58	0.03448276	
	2014	12	2	0	12	0	
	2014	13	1	4	106	0.03773585	
	2014	13	2	0	17	0	
	2014	14	1	8	164	0.04878049	
	2014	14	2	1	42	0.02380952	
	2014	15	1	8	166	0.04819277	
	2014	15	2	7	64	0.109375	
	2014	16	1	8	174	0.04597701	
	2014	16	2	5	71	0.07042254	
	2014	17	1	4	79	0.05063291	
	2014	17	2	3	45	0.06666667	
	2014	18	1	1	17	0.05882353	
	2014	18	2	2	13	0.1538462	
	2014	19	1	0	1	0	
	2015	5	1	0	3	0	
	2015	6	1	0	7	0	
	2015	6	2	0	1	0	
	2015	7	1	1	4	0.25	
	2015	8	1	0	14	0	
	2015	8	2	0	1	0	
	2015	9	1	0	9	0	
	2015	9	2	0	5	0	
	2015	10	1	0	13	0	
	2015	10	2	1	7	0.1428571	
	2015	11	1	1	34	0.02941176	
	2015	11	2	0	9	0	
	2015	12	1	1	59	0.01694915	
	2015	12	2	0	15	0	
	2015	13	1	3	92	0.0326087	
	2015	13	2	2	28	0.07142857	
	2015	14	1	3	165	0.01818182	
	2015	14	2	4	44	0.09090909	
	2015	15	1	6	207	0.02898551	
	2015	15	2	3	68	0.04411765	
	2015	16	1	8	149	0.05369128	
	2015	16	2	3	77	0.03896104	
	2015	17	1	15	86	0.1744186	
	2015	17	2	11	56	0.1964286	
	2015	18	1	1	12	0.08333333	
	2015	18	2	0	9	0	
	2016	5	1	0	1	0	
	2016	6	1	0	1	0	
	2016	6	2	0	2	0	
	2016	7	1	1	4	0.25	
	2016	7	2	0	3	0	
	2016	8	1	0	8	0	
	2016	8	2	1	2	0.5	
	2016	9	1	0	14	0	
	2016	9	2	0	3	0	
	2016	10	1	0	25	0	
	2016	10	2	0	7	0	
	2016	11	1	0	45	0	
	2016	11	2	0	3	0	
	2016	12	1	0	45	0	
	2016	12	2	0	21	0	
	2016	13	1	4	112	0.03571429	
	2016	13	2	0	18	0	
	2016	14	1	3	151	0.01986755	
	2016	14	2	2	49	0.04081633	
	2016	15	1	5	205	0.02439024	
	2016	15	2	8	75	0.1066667	
	2016	16	1	6	179	0.03351955	
	2016	16	2	4	66	0.06060606	
	2016	17	1	1	65	0.01538462	
	2016	17	2	7	27	0.2592593	
	2016	18	1	1	8	0.125	
	2016	18	2	0	8	0	
	2017	5	1	0	1	0	
	2017	5	2	0	1	0	
	2017	6	1	0	3	0	
	2017	7	1	0	4	0	
	2017	7	2	0	1	0	
	2017	8	1	1	14	0.07142857	
	2017	8	2	0	1	0	
	2017	9	1	0	17	0	
	2017	9	2	0	4	0	
	2017	10	1	1	35	0.02857143	
	2017	10	2	0	4	0	
	2017	11	1	1	59	0.01694915	
	2017	11	2	0	11	0	
	2017	12	1	1	59	0.01694915	
	2017	12	2	1	21	0.04761905	
	2017	13	1	1	117	0.008547009	
	2017	13	2	0	20	0	
	2017	14	1	5	139	0.03597122	
	2017	14	2	2	40	0.05	
	2017	15	1	5	202	0.02475248	
	2017	15	2	2	72	0.02777778	
	2017	16	1	5	134	0.03731343	
	2017	16	2	4	65	0.06153846	
	2017	17	1	3	67	0.04477612	
	2017	17	2	9	42	0.2142857	
	2017	18	1	0	9	0	
	2017	18	2	2	7	0.2857143	
	2017	19	2	0	1	0	
	2018	5	2	0	1	0	
	2018	6	1	0	2	0	
	2018	7	1	0	3	0	
	2018	7	2	0	1	0	
	2018	8	1	0	8	0	
	2018	9	1	1	13	0.07692308	
	2018	9	2	1	2	0.5	
	2018	10	1	0	17	0	
	2018	10	2	0	4	0	
	2018	11	1	1	54	0.01851852	
	2018	11	2	0	12	0	
	2018	12	1	3	70	0.04285714	
	2018	12	2	1	10	0.1	
	2018	13	1	3	90	0.03333333	
	2018	13	2	1	26	0.03846154	
	2018	14	1	4	129	0.03100775	
	2018	14	2	2	32	0.0625	
	2018	15	1	3	188	0.01595745	
	2018	15	2	3	49	0.06122449	
	2018	16	1	4	167	0.0239521	
	2018	16	2	3	47	0.06382979	
	2018	17	1	8	59	0.1355932	
	2018	17	2	3	22	0.1363636	
	2018	18	1	0	11	0	
	2018	18	2	1	3	0.3333333	
	2018	19	1	0	1	0	
	2019	5	1	0	2	0	
	2019	5	2	1	2	0.5	
	2019	6	1	0	2	0	
	2019	7	1	0	4	0	
	2019	7	2	0	1	0	
	2019	8	1	0	9	0	
	2019	8	2	0	2	0	
	2019	9	1	0	8	0	
	2019	9	2	0	6	0	
	2019	10	1	1	21	0.04761905	
	2019	10	2	0	4	0	
	2019	11	1	2	47	0.04255319	
	2019	11	2	0	7	0	
	2019	12	1	4	80	0.05	
	2019	12	2	0	8	0	
	2019	13	1	4	95	0.04210526	
	2019	13	2	2	30	0.06666667	
	2019	14	1	6	141	0.04255319	
	2019	14	2	1	46	0.02173913	
	2019	15	1	9	174	0.05172414	
	2019	15	2	4	47	0.08510638	
	2019	16	1	9	143	0.06293706	
	2019	16	2	2	50	0.04	
	2019	17	1	5	58	0.0862069	
	2019	17	2	3	21	0.1428571	
	2019	18	1	1	9	0.1111111	
	2019	18	2	1	5	0.2	
