
	A7_28_M OP nur an Koronargefässen bei HD Herzinfarkt ohne herzunterstützende Systeme (Alter >19), Mortalität // OP des vaisseaux coronaires uniquement, en cas de DP infarctus du myocarde sans systèmes d'assistance cardiaque (âge >19), mortalité // OP solo ai vasi coronarici con DP infarto miocardico senza sistemi di assistenza cardiaca (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	9	1	0	5	0	
	2008	10	1	0	12	0	
	2008	11	1	0	18	0	
	2008	11	2	0	2	0	
	2008	12	1	1	25	0.04	
	2008	12	2	0	6	0	
	2008	13	1	0	48	0	
	2008	13	2	0	6	0	
	2008	14	1	2	36	0.05555556	
	2008	14	2	0	9	0	
	2008	15	1	1	31	0.03225806	
	2008	15	2	0	15	0	
	2008	16	1	0	39	0	
	2008	16	2	0	17	0	
	2008	17	1	0	14	0	
	2008	17	2	0	7	0	
	2008	18	1	0	1	0	
	2008	18	2	0	1	0	
	2009	8	1	0	4	0	
	2009	9	1	0	1	0	
	2009	10	1	1	14	0.07142857	
	2009	10	2	0	5	0	
	2009	11	1	0	15	0	
	2009	11	2	0	2	0	
	2009	12	1	0	29	0	
	2009	12	2	0	3	0	
	2009	13	1	0	36	0	
	2009	13	2	0	3	0	
	2009	14	1	0	41	0	
	2009	14	2	0	12	0	
	2009	15	1	1	40	0.025	
	2009	15	2	0	8	0	
	2009	16	1	2	29	0.06896552	
	2009	16	2	0	8	0	
	2009	17	1	0	10	0	
	2009	17	2	4	8	0.5	
	2009	18	1	0	2	0	
	2009	18	2	0	2	0	
	2010	8	1	0	1	0	
	2010	9	1	0	6	0	
	2010	10	1	0	17	0	
	2010	10	2	0	1	0	
	2010	11	1	0	22	0	
	2010	11	2	0	3	0	
	2010	12	1	0	38	0	
	2010	12	2	0	3	0	
	2010	13	1	0	65	0	
	2010	13	2	0	9	0	
	2010	14	1	0	50	0	
	2010	14	2	0	14	0	
	2010	15	1	1	69	0.01449275	
	2010	15	2	1	15	0.06666667	
	2010	16	1	1	51	0.01960784	
	2010	16	2	0	24	0	
	2010	17	1	1	23	0.04347826	
	2010	17	2	2	17	0.1176471	
	2010	18	1	1	3	0.3333333	
	2011	8	1	0	1	0	
	2011	9	1	0	3	0	
	2011	9	2	0	1	0	
	2011	10	1	0	23	0	
	2011	10	2	0	2	0	
	2011	11	1	0	25	0	
	2011	11	2	0	3	0	
	2011	12	1	1	48	0.02083333	
	2011	12	2	0	5	0	
	2011	13	1	1	55	0.01818182	
	2011	13	2	1	10	0.1	
	2011	14	1	0	65	0	
	2011	14	2	0	11	0	
	2011	15	1	1	66	0.01515152	
	2011	15	2	1	16	0.0625	
	2011	16	1	2	60	0.03333333	
	2011	16	2	0	15	0	
	2011	17	1	0	28	0	
	2011	17	2	2	14	0.1428571	
	2011	18	1	2	5	0.4	
	2011	18	2	1	2	0.5	
	2012	7	1	0	1	0	
	2012	7	2	0	1	0	
	2012	9	1	0	7	0	
	2012	10	1	0	16	0	
	2012	10	2	0	3	0	
	2012	11	1	0	32	0	
	2012	11	2	0	2	0	
	2012	12	1	0	41	0	
	2012	12	2	0	7	0	
	2012	13	1	2	53	0.03773585	
	2012	13	2	0	11	0	
	2012	14	1	2	82	0.02439024	
	2012	14	2	1	14	0.07142857	
	2012	15	1	1	69	0.01449275	
	2012	15	2	1	28	0.03571429	
	2012	16	1	1	53	0.01886792	
	2012	16	2	0	20	0	
	2012	17	1	2	23	0.08695652	
	2012	17	2	1	14	0.07142857	
	2012	18	1	1	5	0.2	
	2013	7	1	0	1	0	
	2013	8	1	0	4	0	
	2013	8	2	0	1	0	
	2013	9	1	0	8	0	
	2013	10	1	2	23	0.08695652	
	2013	10	2	0	2	0	
	2013	11	1	0	31	0	
	2013	11	2	0	7	0	
	2013	12	1	0	52	0	
	2013	12	2	0	4	0	
	2013	13	1	0	60	0	
	2013	13	2	0	11	0	
	2013	14	1	2	64	0.03125	
	2013	14	2	0	17	0	
	2013	15	1	2	71	0.02816901	
	2013	15	2	1	17	0.05882353	
	2013	16	1	0	52	0	
