
	A7_29_M OP an Koronargefässen mit weiterer OP am Herzen (Alter >19), Mortalität // OP des vaisseaux coronaires avec autre OP du cœur (âge >19), mortalité // OP ai vasi coronarici con altre OP al cuore (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	1	0	
	2008	7	2	0	1	0	
	2008	8	1	0	2	0	
	2008	9	1	0	5	0	
	2008	10	1	1	13	0.07692308	
	2008	10	2	0	3	0	
	2008	11	1	1	21	0.04761905	
	2008	11	2	0	4	0	
	2008	12	1	2	57	0.03508772	
	2008	12	2	1	7	0.1428571	
	2008	13	1	4	100	0.04	
	2008	13	2	0	13	0	
	2008	14	1	3	118	0.02542373	
	2008	14	2	1	28	0.03571429	
	2008	15	1	4	145	0.02758621	
	2008	15	2	7	54	0.1296296	
	2008	16	1	16	136	0.1176471	
	2008	16	2	3	83	0.03614458	
	2008	17	1	9	81	0.1111111	
	2008	17	2	1	39	0.02564103	
	2008	18	1	4	18	0.2222222	
	2008	18	2	1	11	0.09090909	
	2008	19	1	0	2	0	
	2009	5	2	0	1	0	
	2009	6	1	0	1	0	
	2009	7	1	1	1	1	
	2009	8	1	0	2	0	
	2009	9	1	0	11	0	
	2009	10	1	0	9	0	
	2009	10	2	0	2	0	
	2009	11	1	0	22	0	
	2009	11	2	0	5	0	
	2009	12	1	1	51	0.01960784	
	2009	12	2	2	10	0.2	
	2009	13	1	5	93	0.05376344	
	2009	13	2	5	22	0.2272727	
	2009	14	1	3	135	0.02222222	
	2009	14	2	4	42	0.0952381	
	2009	15	1	9	150	0.06	
	2009	15	2	4	70	0.05714286	
	2009	16	1	15	152	0.09868421	
	2009	16	2	10	92	0.1086957	
	2009	17	1	4	74	0.05405405	
	2009	17	2	7	44	0.1590909	
	2009	18	1	3	25	0.12	
	2009	18	2	3	17	0.1764706	
	2010	6	1	1	2	0.5	
	2010	8	1	0	2	0	
	2010	9	1	1	7	0.1428571	
	2010	9	2	0	2	0	
	2010	10	1	0	10	0	
	2010	10	2	1	3	0.3333333	
	2010	11	1	1	30	0.03333333	
	2010	11	2	0	6	0	
	2010	12	1	0	39	0	
	2010	12	2	0	8	0	
	2010	13	1	1	89	0.01123596	
	2010	13	2	1	13	0.07692308	
	2010	14	1	8	145	0.05517241	
	2010	14	2	4	39	0.1025641	
	2010	15	1	10	169	0.0591716	
	2010	15	2	9	52	0.1730769	
	2010	16	1	9	164	0.05487805	
	2010	16	2	7	82	0.08536585	
	2010	17	1	7	87	0.08045977	
	2010	17	2	4	60	0.06666667	
	2010	18	1	1	21	0.04761905	
	2010	18	2	1	11	0.09090909	
	2010	19	1	1	2	0.5	
	2011	5	1	0	1	0	
	2011	6	1	0	1	0	
	2011	7	1	0	1	0	
	2011	7	2	0	2	0	
	2011	8	1	1	9	0.1111111	
	2011	8	2	0	1	0	
	2011	9	1	0	6	0	
	2011	9	2	1	3	0.3333333	
	2011	10	1	1	22	0.04545455	
	2011	10	2	0	1	0	
	2011	11	1	5	34	0.1470588	
	2011	11	2	0	2	0	
	2011	12	1	1	49	0.02040816	
	2011	12	2	0	10	0	
	2011	13	1	5	91	0.05494505	
	2011	13	2	0	14	0	
	2011	14	1	3	148	0.02027027	
	2011	14	2	4	38	0.1052632	
	2011	15	1	8	175	0.04571429	
	2011	15	2	5	62	0.08064516	
	2011	16	1	12	172	0.06976744	
	2011	16	2	5	81	0.0617284	
	2011	17	1	6	106	0.05660377	
	2011	17	2	2	57	0.03508772	
	2011	18	1	1	15	0.06666667	
	2011	18	2	3	10	0.3	
	2011	19	2	0	1	0	
	2012	7	1	0	2	0	
	2012	8	1	0	4	0	
	2012	9	1	1	4	0.25	
	2012	9	2	0	1	0	
	2012	10	1	1	19	0.05263158	
	2012	10	2	0	3	0	
	2012	11	1	1	34	0.02941176	
	2012	11	2	0	8	0	
	2012	12	1	1	50	0.02	
	2012	12	2	0	9	0	
	2012	13	1	7	105	0.06666667	
	2012	13	2	2	24	0.08333333	
	2012	14	1	11	183	0.06010929	
	2012	14	2	6	48	0.125	
	2012	15	1	10	170	0.05882353	
	2012	15	2	7	64	0.109375	
	2012	16	1	7	171	0.04093567	
	2012	16	2	5	83	0.06024096	
	2012	17	1	4	81	0.04938272	
	2012	17	2	8	50	0.16	
	2012	18	1	1	14	0.07142857	
