
	B1_01_M HD Schlaganfall alle Formen (Alter >19), Mortalität // DP accident vasculaire cérébral, toutes les formes (âge >19), mortalité // DP colpo apoplettico, tutte le forme (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	14	0	
	2008	5	2	1	17	0.05882353	
	2008	6	1	6	29	0.2068966	
	2008	6	2	0	26	0	
	2008	7	1	1	40	0.025	
	2008	7	2	2	36	0.05555556	
	2008	8	1	5	68	0.07352941	
	2008	8	2	4	72	0.05555556	
	2008	9	1	5	147	0.03401361	
	2008	9	2	6	126	0.04761905	
	2008	10	1	11	208	0.05288462	
	2008	10	2	13	185	0.07027027	
	2008	11	1	9	333	0.02702703	
	2008	11	2	13	220	0.05909091	
	2008	12	1	25	442	0.05656109	
	2008	12	2	23	221	0.1040724	
	2008	13	1	34	588	0.05782313	
	2008	13	2	29	320	0.090625	
	2008	14	1	43	682	0.06304985	
	2008	14	2	41	421	0.09738717	
	2008	15	1	75	732	0.102459	
	2008	15	2	70	598	0.1170569	
	2008	16	1	136	1002	0.1357285	
	2008	16	2	109	824	0.1322816	
	2008	17	1	122	886	0.1376975	
	2008	17	2	177	1043	0.1697028	
	2008	18	1	128	559	0.2289803	
	2008	18	2	192	907	0.2116869	
	2008	19	1	60	207	0.2898551	
	2008	19	2	95	375	0.2533333	
	2008	20	1	13	31	0.4193548	
	2008	20	2	28	90	0.3111111	
	2009	5	1	1	18	0.05555556	
	2009	5	2	1	16	0.0625	
	2009	6	1	2	32	0.0625	
	2009	6	2	1	30	0.03333333	
	2009	7	1	0	45	0	
	2009	7	2	2	64	0.03125	
	2009	8	1	4	106	0.03773585	
	2009	8	2	1	53	0.01886792	
	2009	9	1	9	173	0.05202312	
	2009	9	2	3	112	0.02678571	
	2009	10	1	9	243	0.03703704	
	2009	10	2	10	147	0.06802721	
	2009	11	1	13	347	0.03746398	
	2009	11	2	25	195	0.1282051	
	2009	12	1	29	465	0.06236559	
	2009	12	2	18	217	0.08294931	
	2009	13	1	31	618	0.05016181	
	2009	13	2	30	322	0.0931677	
	2009	14	1	70	769	0.09102731	
	2009	14	2	47	457	0.1028446	
	2009	15	1	88	905	0.09723757	
	2009	15	2	61	584	0.1044521	
	2009	16	1	98	975	0.1005128	
	2009	16	2	114	888	0.1283784	
	2009	17	1	113	787	0.1435832	
	2009	17	2	161	1081	0.1489362	
	2009	18	1	118	581	0.2030981	
	2009	18	2	213	958	0.2223382	
	2009	19	1	55	189	0.2910053	
	2009	19	2	73	306	0.2385621	
	2009	20	1	10	26	0.3846154	
	2009	20	2	32	94	0.3404255	
	2010	5	1	0	14	0	
	2010	5	2	1	20	0.05	
	2010	6	1	2	39	0.05128205	
