
	B1_04_M HD Schlaganfall alle Formen, Alter 65-84, Mortalität // DP accident vasculaire cérébral, toutes les formes, âge 65-84, mortalité // DP colpo apoplettico, tutte le forme, età 65-84, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	14	1	43	682	0.06304985	
	2008	14	2	41	421	0.09738717	
	2008	15	1	75	732	0.102459	
	2008	15	2	70	598	0.1170569	
	2008	16	1	136	1002	0.1357285	
	2008	16	2	109	824	0.1322816	
	2008	17	1	122	886	0.1376975	
	2008	17	2	177	1043	0.1697028	
	2009	14	1	70	769	0.09102731	
	2009	14	2	47	457	0.1028446	
	2009	15	1	88	905	0.09723757	
	2009	15	2	61	584	0.1044521	
	2009	16	1	98	975	0.1005128	
	2009	16	2	114	888	0.1283784	
	2009	17	1	113	787	0.1435832	
	2009	17	2	161	1081	0.1489362	
	2010	14	1	51	819	0.06227106	
	2010	14	2	49	516	0.09496124	
	2010	15	1	86	900	0.09555556	
	2010	15	2	58	618	0.09385113	
	2010	16	1	123	1126	0.1092362	
	2010	16	2	82	949	0.08640674	
	2010	17	1	141	1015	0.1389163	
	2010	17	2	181	1268	0.1427445	
	2011	14	1	37	793	0.04665826	
	2011	14	2	40	497	0.0804829	
	2011	15	1	74	873	0.08476518	
	2011	15	2	69	646	0.1068111	
	2011	16	1	112	1156	0.09688581	
	2011	16	2	107	1016	0.105315	
	2011	17	1	130	1066	0.1219512	
	2011	17	2	152	1316	0.1155015	
	2012	14	1	56	981	0.05708461	
	2012	14	2	37	532	0.06954887	
	2012	15	1	60	963	0.0623053	
	2012	15	2	65	730	0.0890411	
	2012	16	1	118	1087	0.1085557	
	2012	16	2	99	1048	0.09446565	
	2012	17	1	146	1099	0.132848	
	2012	17	2	150	1368	0.1096491	
	2013	14	1	49	994	0.04929577	
	2013	14	2	40	564	0.07092199	
	2013	15	1	78	1016	0.07677165	
	2013	15	2	72	777	0.09266409	
	2013	16	1	94	1151	0.08166811	
	2013	16	2	110	1100	0.1	
	2013	17	1	151	1139	0.1325724	
	2013	17	2	189	1331	0.1419985	
	2014	14	1	48	963	0.04984424	
	2014	14	2	32	533	0.06003752	
	2014	15	1	71	1128	0.06294326	
	2014	15	2	76	811	0.09371147	
	2014	16	1	108	1218	0.08866995	
	2014	16	2	99	1034	0.09574468	
	2014	17	1	139	1212	0.1146865	
	2014	17	2	172	1333	0.1290323	
	2015	14	1	69	965	0.07150259	
	2015	14	2	41	603	0.06799337	
	2015	15	1	78	1229	0.06346623	
	2015	15	2	61	824	0.07402913	
	2015	16	1	112	1223	0.09157809	
	2015	16	2	103	1186	0.08684654	
	2015	17	1	147	1296	0.1134259	
	2015	17	2	181	1490	0.1214765	
	2016	14	1	54	1044	0.05172414	
	2016	14	2	36	631	0.0570523	
	2016	15	1	72	1240	0.05806452	
	2016	15	2	67	847	0.07910272	
	2016	16	1	98	1301	0.07532667	
	2016	16	2	98	1227	0.0798696	
	2016	17	1	138	1391	0.0992092	
	2016	17	2	158	1498	0.105474	
	2017	14	1	52	1087	0.04783809	
	2017	14	2	29	637	0.0455259	
	2017	15	1	73	1310	0.05572519	
	2017	15	2	74	938	0.07889126	
	2017	16	1	119	1383	0.08604483	
	2017	16	2	102	1172	0.08703072	
	2017	17	1	139	1421	0.09781844	
	2017	17	2	162	1545	0.1048544	
	2018	14	1	42	1093	0.03842635	
	2018	14	2	36	632	0.05696203	
	2018	15	1	88	1422	0.06188467	
	2018	15	2	57	916	0.06222707	
	2018	16	1	105	1504	0.06981383	
	2018	16	2	101	1206	0.08374793	
	2018	17	1	134	1443	0.09286209	
	2018	17	2	148	1492	0.09919571	
	2019	14	1	39	1104	0.03532609	
	2019	14	2	42	693	0.06060606	
	2019	15	1	65	1346	0.04829123	
	2019	15	2	60	1010	0.05940594	
	2019	16	1	101	1519	0.06649111	
	2019	16	2	88	1363	0.06456346	
	2019	17	1	123	1474	0.0834464	
	2019	17	2	153	1584	0.09659091	
