
	B1_05_M HD Schlaganfall alle Formen, Alter >84, Mortalität // DP accident vasculaire cérébral, toutes les formes, âge >84, mortalité // DP colpo apoplettico, tutte le forme, età >84, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	18	1	128	559	0.2289803	
	2008	18	2	192	907	0.2116869	
	2008	19	1	60	207	0.2898551	
	2008	19	2	95	375	0.2533333	
	2008	20	1	13	31	0.4193548	
	2008	20	2	28	90	0.3111111	
	2009	18	1	118	581	0.2030981	
	2009	18	2	213	958	0.2223382	
	2009	19	1	55	189	0.2910053	
	2009	19	2	73	306	0.2385621	
	2009	20	1	10	26	0.3846154	
	2009	20	2	32	94	0.3404255	
	2010	18	1	146	698	0.2091691	
	2010	18	2	214	1072	0.1996269	
	2010	19	1	57	232	0.2456897	
	2010	19	2	113	406	0.2783251	
	2010	20	1	17	39	0.4358974	
	2010	20	2	34	106	0.3207547	
	2011	18	1	133	767	0.1734029	
	2011	18	2	189	1145	0.1650655	
	2011	19	1	63	267	0.2359551	
	2011	19	2	96	506	0.1897233	
	2011	20	1	12	49	0.244898	
	2011	20	2	35	118	0.2966102	
	2012	18	1	146	762	0.191601	
	2012	18	2	202	1207	0.1673571	
	2012	19	1	65	263	0.2471483	
	2012	19	2	137	567	0.2416226	
	2012	20	1	10	44	0.2272727	
	2012	20	2	30	129	0.2325581	
	2013	18	1	125	754	0.1657825	
	2013	18	2	228	1289	0.1768813	
	2013	19	1	69	273	0.2527473	
	2013	19	2	147	591	0.248731	
	2013	20	1	10	49	0.2040816	
	2013	20	2	33	129	0.255814	
	2014	18	1	130	817	0.1591187	
	2014	18	2	199	1306	0.1523737	
	2014	19	1	64	283	0.2261484	
	2014	19	2	131	600	0.2183333	
	2014	20	1	7	38	0.1842105	
	2014	20	2	29	92	0.3152174	
	2015	18	1	129	886	0.1455982	
	2015	18	2	193	1334	0.1446777	
	2015	19	1	69	334	0.2065868	
	2015	19	2	144	672	0.2142857	
	2015	20	1	11	51	0.2156863	
	2015	20	2	28	125	0.224	
	2016	18	1	120	929	0.1291712	
	2016	18	2	190	1415	0.1342756	
	2016	19	1	64	350	0.1828571	
	2016	19	2	144	741	0.194332	
	2016	20	1	15	48	0.3125	
	2016	20	2	42	163	0.2576687	
	2017	18	1	128	915	0.1398907	
	2017	18	2	202	1423	0.1419536	
	2017	19	1	75	391	0.1918159	
	2017	19	2	126	687	0.1834061	
	2017	20	1	11	68	0.1617647	
	2017	20	2	32	155	0.2064516	
	2018	18	1	117	1012	0.1156126	
	2018	18	2	199	1576	0.126269	
	2018	19	1	68	388	0.1752577	
	2018	19	2	145	760	0.1907895	
	2018	20	1	14	67	0.2089552	
	2018	20	2	35	188	0.1861702	
	2019	18	1	141	1055	0.1336493	
	2019	18	2	215	1561	0.1377322	
	2019	19	1	82	384	0.2135417	
	2019	19	2	129	779	0.1655969	
	2019	20	1	13	69	0.1884058	
	2019	20	2	37	187	0.197861	
