
	B1_07_M Hirninfarkt (ICD­10 I63, Alter >19), Mortalität // Infarctus cérébral (CIM­10 I63, âge >19), mortalité // Infarto cerebrale (ICD­10 I63, età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	10	0	
	2008	5	2	0	9	0	
	2008	6	1	0	10	0	
	2008	6	2	0	16	0	
	2008	7	1	0	24	0	
	2008	7	2	0	20	0	
	2008	8	1	2	36	0.05555556	
	2008	8	2	1	27	0.03703704	
	2008	9	1	3	90	0.03333333	
	2008	9	2	1	55	0.01818182	
	2008	10	1	2	107	0.01869159	
	2008	10	2	3	85	0.03529412	
	2008	11	1	4	218	0.01834862	
	2008	11	2	2	82	0.02439024	
	2008	12	1	13	293	0.0443686	
	2008	12	2	7	108	0.06481481	
	2008	13	1	12	387	0.03100775	
	2008	13	2	8	173	0.04624277	
	2008	14	1	14	469	0.02985075	
	2008	14	2	10	244	0.04098361	
	2008	15	1	35	509	0.06876228	
	2008	15	2	24	362	0.06629834	
	2008	16	1	56	672	0.08333333	
	2008	16	2	36	507	0.07100592	
	2008	17	1	54	581	0.0929432	
	2008	17	2	76	652	0.1165644	
	2008	18	1	59	336	0.1755952	
	2008	18	2	74	553	0.1338156	
	2008	19	1	29	126	0.2301587	
	2008	19	2	46	225	0.2044444	
	2008	20	1	5	12	0.4166667	
	2008	20	2	14	55	0.2545455	
	2009	5	1	0	7	0	
	2009	5	2	0	8	0	
	2009	6	1	0	18	0	
	2009	6	2	0	17	0	
	2009	7	1	0	24	0	
	2009	7	2	0	24	0	
	2009	8	1	1	54	0.01851852	
	2009	8	2	0	33	0	
	2009	9	1	2	99	0.02020202	
	2009	9	2	1	51	0.01960784	
	2009	10	1	1	151	0.006622517	
	2009	10	2	2	56	0.03571429	
	2009	11	1	3	221	0.01357466	
	2009	11	2	4	80	0.05	
	2009	12	1	15	305	0.04918033	
	2009	12	2	2	105	0.01904762	
	2009	13	1	13	417	0.03117506	
	2009	13	2	10	183	0.05464481	
	2009	14	1	27	528	0.05113636	
	2009	14	2	16	265	0.06037736	
	2009	15	1	37	620	0.05967742	
	2009	15	2	24	368	0.06521739	
	2009	16	1	47	687	0.06841339	
	2009	16	2	40	562	0.07117438	
	2009	17	1	62	528	0.1174242	
	2009	17	2	63	688	0.09156977	
	2009	18	1	57	408	0.1397059	
	2009	18	2	102	597	0.1708543	
	2009	19	1	30	121	0.2479339	
	2009	19	2	37	187	0.197861	
	2009	20	1	7	14	0.5	
	2009	20	2	14	56	0.25	
	2010	5	1	0	4	0	
	2010	5	2	0	10	0	
	2010	6	1	1	26	0.03846154	
	2010	6	2	0	11	0	
	2010	7	1	0	22	0	
	2010	7	2	0	24	0	
	2010	8	1	0	45	0	
	2010	8	2	0	32	0	
	2010	9	1	0	85	0	
	2010	9	2	0	45	0	
	2010	10	1	3	163	0.01840491	
	2010	10	2	1	88	0.01136364	
	2010	11	1	10	263	0.03802281	
	2010	11	2	1	88	0.01136364	
	2010	12	1	9	352	0.02556818	
	2010	12	2	6	132	0.04545455	
	2010	13	1	18	497	0.0362173	
	2010	13	2	8	203	0.03940887	
	2010	14	1	20	596	0.03355705	
	2010	14	2	11	340	0.03235294	
	2010	15	1	42	648	0.06481481	
	2010	15	2	24	402	0.05970149	
	2010	16	1	59	785	0.07515924	
	2010	16	2	30	653	0.04594181	
	2010	17	1	75	695	0.1079137	
	2010	17	2	90	846	0.106383	
	2010	18	1	71	459	0.1546841	
	2010	18	2	105	720	0.1458333	
	2010	19	1	34	164	0.2073171	
	2010	19	2	53	267	0.1985019	
	2010	20	1	9	25	0.36	
	2010	20	2	18	65	0.2769231	
	2011	5	1	0	4	0	
	2011	5	2	0	5	0	
	2011	6	1	0	17	0	
	2011	6	2	0	24	0	
	2011	7	1	0	29	0	
	2011	7	2	0	22	0	
	2011	8	1	2	52	0.03846154	
	2011	8	2	1	33	0.03030303	
	2011	9	1	0	93	0	
	2011	9	2	0	55	0	
	2011	10	1	4	190	0.02105263	
	2011	10	2	2	80	0.025	
	2011	11	1	8	262	0.03053435	
	2011	11	2	1	112	0.008928571	
	2011	12	1	10	422	0.02369668	
	2011	12	2	3	132	0.02272727	
	2011	13	1	12	498	0.02409639	
	2011	13	2	6	228	0.02631579	
	2011	14	1	17	599	0.02838063	
	2011	14	2	12	325	0.03692308	
	2011	15	1	34	656	0.05182927	
	2011	15	2	17	400	0.0425	
	2011	16	1	48	812	0.0591133	
	2011	16	2	49	723	0.06777317	
	2011	17	1	66	770	0.08571429	
	2011	17	2	68	945	0.07195767	
	2011	18	1	71	553	0.1283906	
	2011	18	2	87	778	0.1118252	
	2011	19	1	34	173	0.1965318	
	2011	19	2	61	364	0.1675824	
	2011	20	1	7	34	0.2058824	
	2011	20	2	21	85	0.2470588	
	2012	5	1	0	9	0	
	2012	5	2	0	17	0	
	2012	6	1	0	18	0	
	2012	6	2	0	17	0	
	2012	7	1	0	38	0	
	2012	7	2	0	19	0	
	2012	8	1	0	54	0	
	2012	8	2	1	42	0.02380952	
	2012	9	1	3	83	0.03614458	
	2012	9	2	0	60	0	
	2012	10	1	1	232	0.004310345	
	2012	10	2	0	135	0	
	2012	11	1	5	307	0.01628664	
	2012	11	2	1	125	0.008	
	2012	12	1	6	439	0.01366743	
	2012	12	2	6	170	0.03529412	
	2012	13	1	13	514	0.02529183	
	2012	13	2	9	252	0.03571429	
	2012	14	1	24	742	0.03234501	
	2012	14	2	14	364	0.03846154	
	2012	15	1	25	718	0.03481894	
	2012	15	2	38	514	0.07392996	
	2012	16	1	52	822	0.06326034	
	2012	16	2	39	775	0.05032258	
	2012	17	1	80	827	0.09673519	
	2012	17	2	66	1047	0.06303725	
	2012	18	1	85	573	0.1483421	
	2012	18	2	119	912	0.1304825	
	2012	19	1	39	195	0.2	
	2012	19	2	87	412	0.211165	
	2012	20	1	8	30	0.2666667	
	2012	20	2	23	106	0.2169811	
	2013	5	1	0	10	0	
	2013	5	2	0	9	0	
	2013	6	1	1	18	0.05555556	
	2013	6	2	0	29	0	
	2013	7	1	1	29	0.03448276	
	2013	7	2	1	28	0.03571429	
	2013	8	1	1	64	0.015625	
	2013	8	2	1	45	0.02222222	
	2013	9	1	1	110	0.009090909	
	2013	9	2	1	76	0.01315789	
	2013	10	1	5	241	0.02074689	
	2013	10	2	2	93	0.02150538	
	2013	11	1	5	335	0.01492537	
	2013	11	2	2	148	0.01351351	
	2013	12	1	8	495	0.01616162	
	2013	12	2	10	170	0.05882353	
	2013	13	1	15	642	0.02336449	
	2013	13	2	8	269	0.02973978	
	2013	14	1	23	799	0.02878598	
	2013	14	2	17	389	0.0437018	
	2013	15	1	34	755	0.04503311	
	2013	15	2	26	530	0.0490566	
	2013	16	1	46	878	0.0523918	
	2013	16	2	54	829	0.06513872	
	2013	17	1	73	836	0.08732057	
	2013	17	2	96	1014	0.09467456	
	2013	18	1	74	575	0.1286957	
	2013	18	2	127	967	0.131334	
	2013	19	1	41	202	0.2029703	
	2013	19	2	84	440	0.1909091	
	2013	20	1	7	38	0.1842105	
	2013	20	2	21	98	0.2142857	
	2014	5	1	0	12	0	
	2014	5	2	0	11	0	
	2014	6	1	1	23	0.04347826	
	2014	6	2	1	19	0.05263158	
	2014	7	1	0	39	0	
	2014	7	2	0	36	0	
	2014	8	1	2	51	0.03921569	
	2014	8	2	1	24	0.04166667	
	2014	9	1	7	140	0.05	
	2014	9	2	1	87	0.01149425	
	2014	10	1	3	207	0.01449275	
	2014	10	2	0	121	0	
	2014	11	1	4	356	0.01123596	
	2014	11	2	1	120	0.008333333	
	2014	12	1	3	493	0.006085193	
	2014	12	2	5	147	0.03401361	
	2014	13	1	17	600	0.02833333	
	2014	13	2	10	251	0.03984064	
	2014	14	1	29	775	0.03741935	
	2014	14	2	13	399	0.03258145	
	2014	15	1	32	920	0.03478261	
	2014	15	2	28	602	0.04651163	
	2014	16	1	58	960	0.06041667	
	2014	16	2	45	776	0.05798969	
	2014	17	1	75	964	0.07780083	
	2014	17	2	76	1007	0.0754717	
	2014	18	1	77	664	0.1159639	
	2014	18	2	106	1011	0.1048467	
	2014	19	1	41	221	0.1855204	
	2014	19	2	82	469	0.1748401	
	2014	20	1	7	33	0.2121212	
	2014	20	2	19	73	0.260274	
	2015	5	1	0	11	0	
	2015	5	2	0	12	0	
	2015	6	1	0	18	0	
	2015	6	2	0	27	0	
	2015	7	1	1	50	0.02	
	2015	7	2	0	43	0	
	2015	8	1	0	66	0	
	2015	8	2	1	38	0.02631579	
	2015	9	1	1	111	0.009009009	
	2015	9	2	1	69	0.01449275	
	2015	10	1	2	209	0.009569378	
	2015	10	2	2	112	0.01785714	
	2015	11	1	5	391	0.01278772	
	2015	11	2	8	173	0.04624277	
	2015	12	1	6	495	0.01212121	
	2015	12	2	6	163	0.03680982	
	2015	13	1	15	689	0.02177068	
	2015	13	2	8	280	0.02857143	
	2015	14	1	38	751	0.0505992	
	2015	14	2	15	439	0.03416856	
	2015	15	1	38	1031	0.03685742	
	2015	15	2	31	640	0.0484375	
	2015	16	1	66	998	0.06613226	
	2015	16	2	48	915	0.05245902	
	2015	17	1	76	1037	0.07328833	
	2015	17	2	91	1164	0.07817869	
	2015	18	1	80	718	0.1114206	
	2015	18	2	120	1053	0.1139601	
	2015	19	1	42	267	0.1573034	
	2015	19	2	88	519	0.1695568	
	2015	20	1	8	46	0.173913	
	2015	20	2	18	99	0.1818182	
	2016	5	1	0	6	0	
	2016	5	2	0	17	0	
	2016	6	1	0	17	0	
	2016	6	2	1	20	0.05	
