
	B1_07_M Hirninfarkt (ICD­10 I63, Alter >19), Mortalität // Infarctus cérébral (CIM­10 I63, âge >19), mortalité // Infarto cerebrale (ICD­10 I63, età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	DeathCH	CasesCH	pCH	
	2008	590	7053	8.365235	
	2009	617	7482	8.246458	
	2010	698	8755	7.972587	
	2011	641	9475	6.765172	
	2012	744	10568	7.040121	
	2013	785	11161	7.03342	
	2014	744	11611	6.407717	
	2015	815	12634	6.450847	
	2016	778	13496	5.764671	
	2017	773	14003	5.520246	
	2018	794	14608	5.435378	
	2019	805	15227	5.286662	
