
	B1_08_M Hirninfarkt (ICD­10 I63, Alter >19), Direktaufnahmen, Mortalität // Infarctus cérébral (CIM­10 I63, âge >19), admissions directes, mortalité // Infarto cerebrale (ICD­10 I63, età >19), ammissioni dirette, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	7	0	
	2008	5	2	0	6	0	
	2008	6	1	0	9	0	
	2008	6	2	0	10	0	
	2008	7	1	0	22	0	
	2008	7	2	0	19	0	
	2008	8	1	2	31	0.06451613	
	2008	8	2	1	24	0.04166667	
	2008	9	1	2	72	0.02777778	
	2008	9	2	1	44	0.02272727	
	2008	10	1	2	92	0.02173913	
	2008	10	2	3	74	0.04054054	
	2008	11	1	2	197	0.01015228	
	2008	11	2	2	75	0.02666667	
	2008	12	1	11	264	0.04166667	
	2008	12	2	6	101	0.05940594	
	2008	13	1	9	345	0.02608696	
	2008	13	2	7	150	0.04666667	
	2008	14	1	13	423	0.03073286	
	2008	14	2	7	216	0.03240741	
	2008	15	1	35	477	0.07337526	
	2008	15	2	22	317	0.06940063	
	2008	16	1	51	616	0.08279221	
	2008	16	2	30	465	0.06451613	
	2008	17	1	52	532	0.09774436	
	2008	17	2	74	604	0.1225166	
	2008	18	1	58	319	0.1818182	
	2008	18	2	69	533	0.1294559	
	2008	19	1	28	120	0.2333333	
	2008	19	2	44	213	0.2065728	
	2008	20	1	5	12	0.4166667	
	2008	20	2	14	53	0.2641509	
	2009	5	1	0	5	0	
	2009	5	2	0	6	0	
	2009	6	1	0	13	0	
	2009	6	2	0	13	0	
	2009	7	1	0	18	0	
	2009	7	2	0	21	0	
	2009	8	1	0	44	0	
	2009	8	2	0	28	0	
	2009	9	1	2	89	0.02247191	
	2009	9	2	0	43	0	
	2009	10	1	0	131	0	
	2009	10	2	2	50	0.04	
	2009	11	1	1	192	0.005208333	
	2009	11	2	1	66	0.01515152	
	2009	12	1	13	266	0.04887218	
	2009	12	2	2	97	0.02061856	
	2009	13	1	10	356	0.02808989	
	2009	13	2	7	160	0.04375	
	2009	14	1	24	474	0.05063291	
	2009	14	2	14	234	0.05982906	
	2009	15	1	29	544	0.05330882	
	2009	15	2	23	333	0.06906907	
	2009	16	1	42	619	0.06785137	
	2009	16	2	31	496	0.0625	
	2009	17	1	53	489	0.1083845	
	2009	17	2	52	634	0.08201893	
	2009	18	1	52	386	0.134715	
	2009	18	2	91	545	0.1669725	
	2009	19	1	28	114	0.245614	
	2009	19	2	37	181	0.2044199	
	2009	20	1	6	13	0.4615385	
	2009	20	2	14	52	0.2692308	
	2010	5	1	0	2	0	
	2010	5	2	0	8	0	
	2010	6	1	1	21	0.04761905	
	2010	6	2	0	10	0	
	2010	7	1	0	19	0	
	2010	7	2	0	17	0	
	2010	8	1	0	34	0	
	2010	8	2	0	21	0	
	2010	9	1	0	65	0	
	2010	9	2	0	35	0	
	2010	10	1	3	129	0.02325581	
	2010	10	2	1	64	0.015625	
	2010	11	1	8	212	0.03773585	
	2010	11	2	1	73	0.01369863	
	2010	12	1	5	285	0.01754386	
	2010	12	2	5	114	0.04385965	
	2010	13	1	16	410	0.03902439	
	2010	13	2	7	164	0.04268293	
	2010	14	1	19	505	0.03762376	
	2010	14	2	7	271	0.02583026	
	2010	15	1	35	538	0.06505576	
	2010	15	2	19	340	0.05588235	
	2010	16	1	45	642	0.07009346	
	2010	16	2	23	522	0.0440613	
	2010	17	1	65	553	0.1175407	
	2010	17	2	75	708	0.1059322	
	2010	18	1	60	398	0.1507538	
	2010	18	2	93	597	0.1557789	
	2010	19	1	32	135	0.237037	
	2010	19	2	47	223	0.2107623	
	2010	20	1	8	23	0.3478261	
	2010	20	2	15	57	0.2631579	
	2011	5	1	0	2	0	
	2011	5	2	0	5	0	
	2011	6	1	0	10	0	
	2011	6	2	0	18	0	
	2011	7	1	0	20	0	
	2011	7	2	0	16	0	
	2011	8	1	2	36	0.05555556	
	2011	8	2	1	28	0.03571429	
	2011	9	1	0	71	0	
	2011	9	2	0	48	0	
	2011	10	1	3	137	0.02189781	
	2011	10	2	2	66	0.03030303	
	2011	11	1	5	208	0.02403846	
	2011	11	2	1	91	0.01098901	
	2011	12	1	9	341	0.02639296	
	2011	12	2	1	101	0.00990099	
	2011	13	1	12	403	0.02977667	
	2011	13	2	4	189	0.02116402	
	2011	14	1	14	499	0.02805611	
	2011	14	2	9	252	0.03571429	
	2011	15	1	24	527	0.0455408	
	2011	15	2	15	320	0.046875	
	2011	16	1	39	663	0.05882353	
	2011	16	2	36	572	0.06293706	
	2011	17	1	54	598	0.090301	
	2011	17	2	59	752	0.07845745	
	2011	18	1	55	443	0.1241535	
	2011	18	2	69	627	0.1100478	
	2011	19	1	29	134	0.2164179	
	2011	19	2	48	290	0.1655172	
	2011	20	1	5	26	0.1923077	
	2011	20	2	18	70	0.2571429	
	2012	5	1	0	7	0	
	2012	5	2	0	15	0	
	2012	6	1	0	17	0	
	2012	6	2	0	16	0	
	2012	7	1	0	29	0	
	2012	7	2	0	14	0	
	2012	8	1	0	43	0	
	2012	8	2	0	28	0	
	2012	9	1	2	72	0.02777778	
	2012	9	2	0	44	0	
	2012	10	1	1	188	0.005319149	
	2012	10	2	0	104	0	
	2012	11	1	2	250	0.008	
	2012	11	2	1	90	0.01111111	
	2012	12	1	5	347	0.01440922	
	2012	12	2	2	141	0.0141844	
	2012	13	1	8	415	0.01927711	
	2012	13	2	7	194	0.03608247	
	2012	14	1	17	601	0.02828619	
	2012	14	2	7	281	0.02491103	
	2012	15	1	18	577	0.03119584	
	2012	15	2	34	419	0.08114558	
	2012	16	1	35	657	0.05327245	
	2012	16	2	26	608	0.04276316	
	2012	17	1	60	659	0.09104704	
	2012	17	2	52	838	0.06205251	
	2012	18	1	66	453	0.1456954	
	2012	18	2	103	732	0.1407104	
	2012	19	1	35	158	0.221519	
	2012	19	2	77	339	0.2271386	
	2012	20	1	8	29	0.2758621	
	2012	20	2	17	82	0.2073171	
	2013	5	1	0	7	0	
	2013	5	2	0	8	0	
	2013	6	1	1	15	0.06666667	
	2013	6	2	0	22	0	
	2013	7	1	0	21	0	
	2013	7	2	0	22	0	
	2013	8	1	0	52	0	
	2013	8	2	0	37	0	
	2013	9	1	1	92	0.01086957	
	2013	9	2	1	54	0.01851852	
	2013	10	1	3	197	0.01522843	
	2013	10	2	0	71	0	
	2013	11	1	4	257	0.0155642	
	2013	11	2	2	117	0.01709402	
	2013	12	1	6	397	0.01511335	
	2013	12	2	8	143	0.05594406	
	2013	13	1	11	505	0.02178218	
	2013	13	2	4	225	0.01777778	
	2013	14	1	14	653	0.02143951	
	2013	14	2	13	320	0.040625	
