
	B1_09_M Hirninfarkt (ICD­10 I63, Alter >19) mit systemischer Thrombolyse, Mortalität // Infarctus cérébral (CIM­10 I63, âge >19) avec thrombolyse systémique, mortalité // Infarto cerebrale (ICD­10 I63, età >19) con trombolisi sistemica, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	2	0	1	0	
	2008	6	1	0	1	0	
	2008	6	2	0	4	0	
	2008	7	1	0	2	0	
	2008	7	2	0	1	0	
	2008	8	1	1	3	0.3333333	
	2008	8	2	0	5	0	
	2008	9	1	1	11	0.09090909	
	2008	9	2	0	7	0	
	2008	10	1	0	12	0	
	2008	10	2	1	10	0.1	
	2008	11	1	1	26	0.03846154	
	2008	11	2	1	9	0.1111111	
	2008	12	1	1	27	0.03703704	
	2008	12	2	2	13	0.1538462	
	2008	13	1	1	31	0.03225806	
	2008	13	2	1	21	0.04761905	
	2008	14	1	4	49	0.08163265	
	2008	14	2	1	25	0.04	
	2008	15	1	7	44	0.1590909	
	2008	15	2	4	38	0.1052632	
	2008	16	1	5	50	0.1	
	2008	16	2	6	31	0.1935484	
	2008	17	1	2	36	0.05555556	
	2008	17	2	6	42	0.1428571	
	2008	18	1	1	9	0.1111111	
	2008	18	2	6	26	0.2307692	
	2008	19	1	0	1	0	
	2008	19	2	2	11	0.1818182	
	2008	20	2	0	1	0	
	2009	5	1	0	2	0	
	2009	6	1	0	1	0	
	2009	6	2	0	1	0	
	2009	7	1	0	1	0	
	2009	7	2	0	3	0	
	2009	8	1	0	8	0	
	2009	8	2	0	3	0	
	2009	9	1	1	8	0.125	
	2009	9	2	0	2	0	
	2009	10	1	0	17	0	
	2009	10	2	1	6	0.1666667	
	2009	11	1	0	16	0	
	2009	11	2	0	7	0	
	2009	12	1	3	33	0.09090909	
	2009	12	2	0	5	0	
	2009	13	1	2	36	0.05555556	
	2009	13	2	2	18	0.1111111	
	2009	14	1	8	51	0.1568627	
	2009	14	2	4	31	0.1290323	
	2009	15	1	8	47	0.1702128	
	2009	15	2	4	31	0.1290323	
	2009	16	1	6	52	0.1153846	
	2009	16	2	3	43	0.06976744	
	2009	17	1	6	40	0.15	
	2009	17	2	5	53	0.09433962	
