
	B1_10_M Intrazerebrale Blutung (ICD­10 I61, Alter >19), Mortalität // Hémorragie intracérébrale (CIM­10 I61, âge >19), mortalité // Emorragia intracerebrale (ICD­10 I61, età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	4	0	
	2008	5	2	1	4	0.25	
	2008	6	1	6	10	0.6	
	2008	6	2	0	1	0	
	2008	7	1	0	7	0	
	2008	7	2	2	12	0.1666667	
	2008	8	1	2	12	0.1666667	
	2008	8	2	1	16	0.0625	
	2008	9	1	2	20	0.1	
	2008	9	2	1	19	0.05263158	
	2008	10	1	7	45	0.1555556	
	2008	10	2	2	24	0.08333333	
	2008	11	1	3	41	0.07317073	
	2008	11	2	5	35	0.1428571	
	2008	12	1	10	67	0.1492537	
	2008	12	2	8	30	0.2666667	
	2008	13	1	16	83	0.1927711	
	2008	13	2	8	61	0.1311475	
	2008	14	1	18	92	0.1956522	
	2008	14	2	19	80	0.2375	
	2008	15	1	34	113	0.300885	
	2008	15	2	31	95	0.3263158	
	2008	16	1	59	165	0.3575758	
	2008	16	2	55	154	0.3571429	
	2008	17	1	52	126	0.4126984	
	2008	17	2	62	169	0.3668639	
	2008	18	1	39	75	0.52	
	2008	18	2	74	137	0.540146	
	2008	19	1	16	21	0.7619048	
	2008	19	2	16	35	0.4571429	
	2008	20	1	3	4	0.75	
	2008	20	2	4	10	0.4	
	2009	5	1	1	4	0.25	
	2009	5	2	1	5	0.2	
	2009	6	1	1	8	0.125	
	2009	6	2	0	3	0	
	2009	7	1	0	12	0	
	2009	7	2	0	18	0	
	2009	8	1	0	23	0	
	2009	8	2	1	3	0.3333333	
	2009	9	1	1	21	0.04761905	
	2009	9	2	1	19	0.05263158	
	2009	10	1	6	30	0.2	
	2009	10	2	4	25	0.16	
	2009	11	1	7	57	0.122807	
	2009	11	2	10	32	0.3125	
	2009	12	1	8	50	0.16	
	2009	12	2	9	48	0.1875	
	2009	13	1	11	97	0.1134021	
	2009	13	2	7	51	0.1372549	
	2009	14	1	38	132	0.2878788	
	2009	14	2	19	87	0.2183908	
	2009	15	1	40	148	0.2702703	
	2009	15	2	27	106	0.254717	
	2009	16	1	37	132	0.280303	
	2009	16	2	55	155	0.3548387	
	2009	17	1	33	114	0.2894737	
	2009	17	2	70	179	0.3910615	
	2009	18	1	35	66	0.530303	
	2009	18	2	63	152	0.4144737	
	2009	19	1	12	19	0.6315789	
	2009	19	2	11	31	0.3548387	
	2009	20	1	1	4	0.25	
	2009	20	2	4	10	0.4	
	2010	5	1	0	8	0	
	2010	5	2	0	7	0	
	2010	6	1	0	9	0	
	2010	6	2	0	1	0	
	2010	7	1	1	14	0.07142857	
	2010	7	2	0	7	0	
	2010	8	1	0	6	0	
	2010	8	2	0	10	0	
	2010	9	1	1	26	0.03846154	
	2010	9	2	0	15	0	
	2010	10	1	2	30	0.06666667	
	2010	10	2	3	30	0.1	
	2010	11	1	6	80	0.075	
	2010	11	2	9	47	0.1914894	
	2010	12	1	8	68	0.1176471	
	2010	12	2	10	62	0.1612903	
	2010	13	1	21	94	0.2234043	
	2010	13	2	10	60	0.1666667	
	2010	14	1	21	101	0.2079208	
	2010	14	2	25	96	0.2604167	
	2010	15	1	40	160	0.25	
	2010	15	2	27	114	0.2368421	
	2010	16	1	43	171	0.251462	
	2010	16	2	41	134	0.3059701	
	2010	17	1	43	142	0.3028169	
	2010	17	2	65	192	0.3385417	
	2010	18	1	45	94	0.4787234	
	2010	18	2	59	145	0.4068966	
	2010	19	1	10	23	0.4347826	
	2010	19	2	25	38	0.6578947	
	2010	20	1	4	6	0.6666667	
	2010	20	2	4	7	0.5714286	
	2011	5	1	0	6	0	
	2011	5	2	0	3	0	
	2011	6	1	0	10	0	
	2011	6	2	0	4	0	
	2011	7	1	1	6	0.1666667	
	2011	7	2	0	7	0	
	2011	8	1	1	21	0.04761905	
	2011	8	2	0	20	0	
	2011	9	1	1	27	0.03703704	
	2011	9	2	4	17	0.2352941	
	2011	10	1	4	44	0.09090909	
	2011	10	2	4	32	0.125	
	2011	11	1	4	58	0.06896552	
	2011	11	2	4	39	0.1025641	
	2011	12	1	9	75	0.12	
	2011	12	2	7	36	0.1944444	
	2011	13	1	17	95	0.1789474	
	2011	13	2	8	66	0.1212121	
	2011	14	1	15	108	0.1388889	
	2011	14	2	18	85	0.2117647	
	2011	15	1	26	109	0.2385321	
	2011	15	2	33	142	0.2323944	
	2011	16	1	50	184	0.2717391	
	2011	16	2	40	147	0.2721088	
	2011	17	1	49	145	0.337931	
	2011	17	2	68	189	0.3597884	
	2011	18	1	37	92	0.4021739	
	2011	18	2	72	187	0.3850267	
	2011	19	1	19	40	0.475	
	2011	19	2	19	53	0.3584906	
	2011	20	1	3	5	0.6	
	2011	20	2	9	16	0.5625	
	2012	5	1	1	12	0.08333333	
	2012	5	2	2	15	0.1333333	
	2012	6	1	0	5	0	
	2012	6	2	1	13	0.07692308	
	2012	7	1	0	9	0	
	2012	7	2	0	5	0	
	2012	8	1	0	21	0	
	2012	8	2	0	20	0	
	2012	9	1	2	17	0.1176471	
	2012	9	2	3	16	0.1875	
	2012	10	1	9	45	0.2	
	2012	10	2	4	37	0.1081081	
	2012	11	1	5	54	0.09259259	
	2012	11	2	5	32	0.15625	
	2012	12	1	8	83	0.09638554	
	2012	12	2	5	57	0.0877193	
	2012	13	1	20	123	0.1626016	
	2012	13	2	8	55	0.1454545	
	2012	14	1	21	123	0.1707317	
	2012	14	2	12	70	0.1714286	
	2012	15	1	27	145	0.1862069	
	2012	15	2	22	109	0.2018349	
	2012	16	1	47	151	0.3112583	
	2012	16	2	43	146	0.2945205	
	2012	17	1	52	159	0.327044	
	2012	17	2	55	173	0.3179191	
	2012	18	1	47	100	0.47	
	2012	18	2	57	163	0.3496933	
	2012	19	1	9	22	0.4090909	
	2012	19	2	28	70	0.4	
	2012	20	1	0	4	0	
	2012	20	2	3	7	0.4285714	
	2013	5	1	0	9	0	
	2013	5	2	0	7	0	
	2013	6	1	1	8	0.125	
	2013	6	2	0	7	0	
	2013	7	1	0	13	0	
	2013	7	2	0	6	0	
	2013	8	1	2	14	0.1428571	
	2013	8	2	1	11	0.09090909	
	2013	9	1	2	33	0.06060606	
	2013	9	2	1	32	0.03125	
	2013	10	1	6	51	0.1176471	
	2013	10	2	4	24	0.1666667	
	2013	11	1	12	51	0.2352941	
	2013	11	2	8	49	0.1632653	
	2013	12	1	7	88	0.07954545	
	2013	12	2	5	39	0.1282051	
	2013	13	1	14	96	0.1458333	
	2013	13	2	11	76	0.1447368	
	2013	14	1	20	116	0.1724138	
	2013	14	2	9	66	0.1363636	
	2013	15	1	36	169	0.2130178	
	2013	15	2	30	127	0.2362205	
	2013	16	1	35	154	0.2272727	
	2013	16	2	41	146	0.2808219	
	2013	17	1	66	175	0.3771429	
	2013	17	2	74	176	0.4204545	
	2013	18	1	39	93	0.4193548	
	2013	18	2	66	169	0.3905325	
	2013	19	1	16	29	0.5517241	
	2013	19	2	38	68	0.5588235	
	2013	20	1	1	2	0.5	
	2013	20	2	1	3	0.3333333	
	2014	5	1	0	6	0	
	2014	5	2	0	5	0	
	2014	6	1	2	8	0.25	
	2014	6	2	0	6	0	
	2014	7	1	0	12	0	
	2014	7	2	0	11	0	
	2014	8	1	5	17	0.2941176	
	2014	8	2	1	21	0.04761905	
	2014	9	1	2	34	0.05882353	
	2014	9	2	1	14	0.07142857	
	2014	10	1	6	34	0.1764706	
