
	B1_11_M Subarachnoidalblutung (ICD­10 I60, Alter >19), Mortalität // Hémorragie sous­arachnoïdienne (CIM­10 I60, âge >19), mortalité // Emorragia subaracnoidea (ICD­10 I60, età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	2	0	1	0	
	2008	6	1	0	8	0	
	2008	6	2	0	9	0	
	2008	7	1	1	6	0.1666667	
	2008	7	2	0	1	0	
	2008	8	1	1	15	0.06666667	
	2008	8	2	2	21	0.0952381	
	2008	9	1	0	23	0	
	2008	9	2	4	46	0.08695652	
	2008	10	1	2	41	0.04878049	
	2008	10	2	8	67	0.119403	
	2008	11	1	2	39	0.05128205	
	2008	11	2	6	92	0.06521739	
	2008	12	1	2	36	0.05555556	
	2008	12	2	8	68	0.1176471	
	2008	13	1	6	43	0.1395349	
	2008	13	2	13	54	0.2407407	
	2008	14	1	7	23	0.3043478	
	2008	14	2	9	54	0.1666667	
	2008	15	1	4	13	0.3076923	
	2008	15	2	10	54	0.1851852	
	2008	16	1	7	20	0.35	
	2008	16	2	6	32	0.1875	
	2008	17	1	2	9	0.2222222	
	2008	17	2	6	28	0.2142857	
	2008	18	1	2	5	0.4	
	2008	18	2	8	18	0.4444444	
	2008	19	1	0	5	0	
	2008	19	2	0	4	0	
	2009	5	1	0	6	0	
	2009	5	2	0	3	0	
	2009	6	1	1	5	0.2	
	2009	6	2	1	8	0.125	
	2009	7	1	0	8	0	
	2009	7	2	2	19	0.1052632	
	2009	8	1	3	25	0.12	
	2009	8	2	0	15	0	
	2009	9	1	6	43	0.1395349	
	2009	9	2	1	39	0.02564103	
	2009	10	1	2	37	0.05405405	
	2009	10	2	4	59	0.06779661	
	2009	11	1	3	44	0.06818182	
	2009	11	2	11	73	0.1506849	
	2009	12	1	4	55	0.07272727	
	2009	12	2	6	48	0.125	
	2009	13	1	4	39	0.1025641	
	2009	13	2	12	52	0.2307692	
	2009	14	1	5	25	0.2	
	2009	14	2	8	54	0.1481481	
	2009	15	1	4	31	0.1290323	
	2009	15	2	6	36	0.1666667	
	2009	16	1	4	18	0.2222222	
	2009	16	2	12	47	0.2553191	
	2009	17	1	2	10	0.2	
	2009	17	2	6	18	0.3333333	
	2009	18	1	1	5	0.2	
	2009	18	2	7	14	0.5	
	2009	19	1	0	3	0	
	2009	19	2	4	5	0.8	
	2009	20	2	1	2	0.5	
	2010	5	1	0	1	0	
	2010	5	2	1	3	0.3333333	
	2010	6	1	1	4	0.25	
	2010	6	2	1	9	0.1111111	
	2010	7	1	4	15	0.2666667	
	2010	7	2	1	12	0.08333333	
	2010	8	1	1	22	0.04545455	
	2010	8	2	2	13	0.1538462	
	2010	9	1	1	21	0.04761905	
	2010	9	2	6	34	0.1764706	
	2010	10	1	6	44	0.1363636	
	2010	10	2	5	86	0.05813953	
	2010	11	1	3	50	0.06	
	2010	11	2	8	76	0.1052632	
	2010	12	1	7	51	0.1372549	
	2010	12	2	4	63	0.06349206	
	2010	13	1	5	45	0.1111111	
	2010	13	2	8	81	0.09876543	
	2010	14	1	7	43	0.1627907	
	2010	14	2	10	43	0.2325581	
	2010	15	1	1	21	0.04761905	
	2010	15	2	4	40	0.1	
	2010	16	1	8	29	0.2758621	
	2010	16	2	9	43	0.2093023	
	2010	17	1	4	23	0.173913	
	2010	17	2	9	32	0.28125	
	2010	18	1	5	10	0.5	
	2010	18	2	14	28	0.5	
	2010	19	1	0	5	0	
	2010	19	2	2	8	0.25	
	2011	5	1	1	4	0.25	
	2011	5	2	0	3	0	
	2011	6	1	0	3	0	
	2011	6	2	0	7	0	
	2011	7	1	0	15	0	
	2011	7	2	1	11	0.09090909	
	2011	8	1	1	27	0.03703704	
	2011	8	2	1	18	0.05555556	
	2011	9	1	3	30	0.1	
	2011	9	2	8	51	0.1568627	
	2011	10	1	2	63	0.03174603	
	2011	10	2	8	81	0.09876543	
	2011	11	1	3	46	0.06521739	
	2011	11	2	6	76	0.07894737	
	2011	12	1	6	50	0.12	
	2011	12	2	9	81	0.1111111	
	2011	13	1	13	52	0.25	
	2011	13	2	9	74	0.1216216	
	2011	14	1	3	21	0.1428571	
	2011	14	2	8	54	0.1481481	
	2011	15	1	6	24	0.25	
	2011	15	2	13	50	0.26	
	2011	16	1	5	30	0.1666667	
	2011	16	2	9	48	0.1875	
	2011	17	1	4	14	0.2857143	
	2011	17	2	11	36	0.3055556	
	2011	18	1	5	16	0.3125	
	2011	18	2	7	30	0.2333333	
	2011	19	1	2	2	1	
	2011	19	2	3	8	0.375	
	2011	20	2	0	2	0	
	2012	5	1	1	5	0.2	
	2012	5	2	0	4	0	
	2012	6	1	0	2	0	
	2012	6	2	0	10	0	
	2012	7	1	1	9	0.1111111	
	2012	7	2	1	8	0.125	
	2012	8	1	0	11	0	
	2012	8	2	3	23	0.1304348	
	2012	9	1	2	34	0.05882353	
	2012	9	2	4	42	0.0952381	
	2012	10	1	2	57	0.03508772	
	2012	10	2	7	69	0.1014493	
	2012	11	1	4	49	0.08163265	
	2012	11	2	8	88	0.09090909	
	2012	12	1	2	48	0.04166667	
	2012	12	2	13	54	0.2407407	
	2012	13	1	6	26	0.2307692	
	2012	13	2	5	44	0.1136364	
	2012	14	1	6	37	0.1621622	
	2012	14	2	9	59	0.1525424	
	2012	15	1	5	28	0.1785714	
	2012	15	2	4	38	0.1052632	
	2012	16	1	7	29	0.2413793	
	2012	16	2	9	50	0.18	
	2012	17	1	4	22	0.1818182	
	2012	17	2	10	21	0.4761905	
	2012	18	1	4	20	0.2	
	2012	18	2	8	17	0.4705882	
	2012	19	1	2	2	1	
	2012	19	2	1	7	0.1428571	
	2013	5	1	0	5	0	
	2013	5	2	0	3	0	
	2013	6	1	1	2	0.5	
	2013	6	2	0	7	0	
	2013	7	1	0	6	0	
	2013	8	1	1	24	0.04166667	
	2013	8	2	1	17	0.05882353	
	2013	9	1	2	16	0.125	
	2013	9	2	3	38	0.07894737	
	2013	10	1	5	50	0.1	
	2013	10	2	6	50	0.12	
	2013	11	1	6	53	0.1132075	
	2013	11	2	8	86	0.09302326	
	2013	12	1	4	49	0.08163265	
	2013	12	2	11	39	0.2820513	
	2013	13	1	8	45	0.1777778	
	2013	13	2	7	48	0.1458333	
	2013	14	1	4	35	0.1142857	
	2013	14	2	12	71	0.1690141	
	2013	15	1	7	28	0.25	
	2013	15	2	12	52	0.2307692	
	2013	16	1	6	26	0.2307692	
	2013	16	2	11	40	0.275	
	2013	17	1	2	21	0.0952381	
	2013	17	2	5	28	0.1785714	
	2013	18	1	1	6	0.1666667	
	2013	18	2	13	33	0.3939394	
	2013	19	1	0	2	0	
	2013	19	2	6	10	0.6	
	2013	20	2	1	1	1	
	2014	5	1	2	2	1	
	2014	5	2	1	5	0.2	
	2014	6	1	0	7	0	
	2014	6	2	1	6	0.1666667	
	2014	7	1	2	11	0.1818182	
	2014	7	2	0	8	0	
	2014	8	1	2	21	0.0952381	
	2014	8	2	1	21	0.04761905	
	2014	9	1	4	35	0.1142857	
	2014	9	2	4	24	0.1666667	
	2014	10	1	2	33	0.06060606	
	2014	10	2	4	59	0.06779661	
	2014	11	1	6	45	0.1333333	
	2014	11	2	12	77	0.1558442	
	2014	12	1	4	32	0.125	
	2014	12	2	9	67	0.1343284	
	2014	13	1	6	47	0.1276596	
	2014	13	2	6	54	0.1111111	
	2014	14	1	4	29	0.137931	
	2014	14	2	5	43	0.1162791	
	2014	15	1	5	33	0.1515152	
	2014	15	2	9	39	0.2307692	
	2014	16	1	4	24	0.1666667	
	2014	16	2	7	39	0.1794872	
	2014	17	1	6	13	0.4615385	
	2014	17	2	8	31	0.2580645	
	2014	18	1	5	9	0.5555556	
	2014	18	2	7	20	0.35	
	2014	19	1	0	1	0	
	2014	19	2	1	3	0.3333333	
	2014	20	1	0	1	0	
	2015	5	1	0	3	0	
	2015	5	2	0	2	0	
	2015	6	1	0	8	0	
	2015	6	2	0	9	0	
	2015	7	1	0	5	0	
	2015	7	2	1	9	0.1111111	
	2015	8	1	0	11	0	
	2015	8	2	4	21	0.1904762	
	2015	9	1	4	15	0.2666667	
	2015	9	2	2	27	0.07407407	
	2015	10	1	1	44	0.02272727	
	2015	10	2	5	74	0.06756757	
	2015	11	1	1	37	0.02702703	
	2015	11	2	10	59	0.1694915	
	2015	12	1	5	43	0.1162791	
	2015	12	2	3	50	0.06	
	2015	13	1	7	33	0.2121212	
	2015	13	2	8	65	0.1230769	
	2015	14	1	4	24	0.1666667	
	2015	14	2	8	48	0.1666667	
	2015	15	1	4	17	0.2352941	
	2015	15	2	7	29	0.2413793	
	2015	16	1	3	15	0.2	
	2015	16	2	10	44	0.2272727	
	2015	17	1	7	25	0.28	
	2015	17	2	10	48	0.2083333	
	2015	18	1	2	12	0.1666667	
	2015	18	2	5	23	0.2173913	
	2015	19	1	1	1	1	
	2015	19	2	4	8	0.5	
	2015	20	2	2	3	0.6666667	
	2016	5	1	0	2	0	
	2016	6	1	0	6	0	
	2016	6	2	0	6	0	
	2016	7	1	0	6	0	
	2016	7	2	2	9	0.2222222	
	2016	8	1	0	23	0	
	2016	8	2	1	23	0.04347826	
	2016	9	1	3	26	0.1153846	
	2016	9	2	3	31	0.09677419	
	2016	10	1	2	19	0.1052632	
	2016	10	2	6	29	0.2068966	
	2016	11	1	5	41	0.1219512	
	2016	11	2	6	52	0.1153846	
	2016	12	1	3	47	0.06382979	
	2016	12	2	4	61	0.06557377	
	2016	13	1	4	34	0.1176471	
	2016	13	2	7	63	0.1111111	
	2016	14	1	4	26	0.1538462	
	2016	14	2	7	55	0.1272727	
	2016	15	1	4	28	0.1428571	
	2016	15	2	5	40	0.125	
	2016	16	1	7	27	0.2592593	
	2016	16	2	9	39	0.2307692	
	2016	17	1	2	19	0.1052632	
	2016	17	2	14	28	0.5	
	2016	18	1	1	14	0.07142857	
	2016	18	2	11	20	0.55	
	2016	19	1	1	4	0.25	
	2016	19	2	4	8	0.5	
	2016	20	1	1	1	1	
	2016	20	2	1	1	1	
	2017	5	1	0	2	0	
	2017	5	2	0	7	0	
	2017	6	1	0	6	0	
	2017	6	2	0	9	0	
	2017	7	1	0	8	0	
	2017	7	2	2	8	0.25	
	2017	8	1	0	12	0	
	2017	8	2	3	22	0.1363636	
	2017	9	1	4	29	0.137931	
	2017	9	2	0	18	0	
	2017	10	1	1	45	0.02222222	
	2017	10	2	2	66	0.03030303	
	2017	11	1	4	45	0.08888889	
	2017	11	2	3	76	0.03947368	
	2017	12	1	2	31	0.06451613	
	2017	12	2	8	68	0.1176471	
	2017	13	1	3	51	0.05882353	
	2017	13	2	8	67	0.119403	
	2017	14	1	3	37	0.08108108	
	2017	14	2	5	47	0.106383	
	2017	15	1	8	40	0.2	
	2017	15	2	11	42	0.2619048	
	2017	16	1	5	23	0.2173913	
	2017	16	2	19	63	0.3015873	
	2017	17	1	5	26	0.1923077	
	2017	17	2	10	35	0.2857143	
	2017	18	1	1	6	0.1666667	
	2017	18	2	10	30	0.3333333	
	2017	19	1	0	4	0	
	2017	19	2	3	5	0.6	
	2017	20	1	1	1	1	
	2018	5	1	0	2	0	
	2018	5	2	0	1	0	
	2018	6	1	1	3	0.3333333	
	2018	6	2	0	2	0	
	2018	7	1	0	12	0	
	2018	7	2	0	9	0	
	2018	8	1	0	18	0	
	2018	8	2	0	19	0	
	2018	9	1	1	10	0.1	
	2018	9	2	2	37	0.05405405	
	2018	10	1	4	34	0.1176471	
	2018	10	2	3	42	0.07142857	
	2018	11	1	2	44	0.04545455	
	2018	11	2	7	65	0.1076923	
	2018	12	1	0	51	0	
	2018	12	2	7	62	0.1129032	
	2018	13	1	6	42	0.1428571	
	2018	13	2	12	67	0.1791045	
	2018	14	1	2	18	0.1111111	
	2018	14	2	11	53	0.2075472	
	2018	15	1	4	34	0.1176471	
	2018	15	2	8	39	0.2051282	
	2018	16	1	2	21	0.0952381	
	2018	16	2	9	41	0.2195122	
	2018	17	1	6	16	0.375	
	2018	17	2	12	45	0.2666667	
	2018	18	1	3	15	0.2	
	2018	18	2	9	24	0.375	
	2018	19	1	0	1	0	
	2018	19	2	3	6	0.5	
	2018	20	2	1	3	0.3333333	
	2019	5	1	1	4	0.25	
	2019	5	2	2	3	0.6666667	
	2019	6	1	1	3	0.3333333	
	2019	6	2	0	5	0	
	2019	7	1	1	6	0.1666667	
	2019	7	2	1	10	0.1	
	2019	8	1	1	9	0.1111111	
	2019	8	2	0	15	0	
	2019	9	1	1	9	0.1111111	
	2019	9	2	2	32	0.0625	
	2019	10	1	3	37	0.08108108	
	2019	10	2	6	39	0.1538462	
	2019	11	1	2	62	0.03225806	
	2019	11	2	3	70	0.04285714	
	2019	12	1	10	58	0.1724138	
	2019	12	2	5	74	0.06756757	
	2019	13	1	4	26	0.1538462	
	2019	13	2	4	64	0.0625	
	2019	14	1	2	25	0.08	
	2019	14	2	8	63	0.1269841	
	2019	15	1	9	34	0.2647059	
	2019	15	2	10	47	0.212766	
	2019	16	1	5	20	0.25	
	2019	16	2	13	54	0.2407407	
	2019	17	1	3	11	0.2727273	
	2019	17	2	12	37	0.3243243	
