
	B1_12_M Schlaganfall n.n.bez. (ICD­10 I64, Alter >19), Mortalität // Accident vasculaire cérébral, sans précision (CIM­10 I64, âge >19), mortalité // Colpo apoplettico, non altrimenti specificato (ICD­10 I64, età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	2	0	3	0	
	2008	6	1	0	1	0	
	2008	7	1	0	3	0	
	2008	7	2	0	3	0	
	2008	8	1	0	5	0	
	2008	8	2	0	8	0	
	2008	9	1	0	14	0	
	2008	9	2	0	6	0	
	2008	10	1	0	15	0	
	2008	10	2	0	9	0	
	2008	11	1	0	35	0	
	2008	11	2	0	11	0	
	2008	12	1	0	46	0	
	2008	12	2	0	15	0	
	2008	13	1	0	75	0	
	2008	13	2	0	32	0	
	2008	14	1	4	98	0.04081633	
	2008	14	2	3	43	0.06976744	
	2008	15	1	2	97	0.02061856	
	2008	15	2	5	87	0.05747126	
	2008	16	1	14	145	0.09655172	
	2008	16	2	12	131	0.09160305	
	2008	17	1	14	170	0.08235294	
	2008	17	2	33	194	0.1701031	
	2008	18	1	28	143	0.1958042	
	2008	18	2	36	199	0.1809045	
	2008	19	1	15	55	0.2727273	
	2008	19	2	33	111	0.2972973	
	2008	20	1	5	15	0.3333333	
	2008	20	2	10	25	0.4	
	2009	5	1	0	1	0	
	2009	6	1	0	1	0	
	2009	6	2	0	2	0	
	2009	7	1	0	1	0	
	2009	7	2	0	3	0	
	2009	8	1	0	4	0	
	2009	8	2	0	2	0	
	2009	9	1	0	10	0	
	2009	9	2	0	3	0	
	2009	10	1	0	25	0	
	2009	10	2	0	7	0	
	2009	11	1	0	25	0	
	2009	11	2	0	10	0	
	2009	12	1	2	55	0.03636364	
	2009	12	2	1	16	0.0625	
	2009	13	1	3	65	0.04615385	
	2009	13	2	1	36	0.02777778	
	2009	14	1	0	84	0	
	2009	14	2	4	51	0.07843137	
	2009	15	1	7	106	0.06603774	
	2009	15	2	4	74	0.05405405	
	2009	16	1	10	138	0.07246377	
	2009	16	2	7	124	0.05645161	
	2009	17	1	16	135	0.1185185	
	2009	17	2	22	196	0.1122449	
	2009	18	1	25	102	0.245098	
	2009	18	2	41	195	0.2102564	
	2009	19	1	13	46	0.2826087	
	2009	19	2	21	83	0.253012	
	2009	20	1	2	8	0.25	
	2009	20	2	13	26	0.5	
	2010	5	1	0	1	0	
	2010	6	2	0	1	0	
	2010	7	1	0	1	0	
	2010	7	2	0	1	0	
	2010	8	1	0	5	0	
	2010	8	2	0	5	0	
	2010	9	1	0	12	0	
	2010	9	2	0	7	0	
	2010	10	1	1	13	0.07692308	
	2010	10	2	0	14	0	
	2010	11	1	0	33	0	
	2010	11	2	0	15	0	
	2010	12	1	1	49	0.02040816	
	2010	12	2	1	17	0.05882353	
	2010	13	1	3	51	0.05882353	
	2010	13	2	0	22	0	
	2010	14	1	3	79	0.03797468	
	2010	14	2	3	37	0.08108108	
	2010	15	1	3	71	0.04225352	
	2010	15	2	3	62	0.0483871	
	2010	16	1	13	141	0.09219858	
	2010	16	2	2	119	0.01680672	
	2010	17	1	19	155	0.1225806	
	2010	17	2	17	198	0.08585859	
	2010	18	1	25	135	0.1851852	
	2010	18	2	36	179	0.2011173	
	2010	19	1	13	40	0.325	
	2010	19	2	33	93	0.3548387	
	2010	20	1	4	8	0.5	
	2010	20	2	12	34	0.3529412	
	2011	5	1	0	1	0	
	2011	5	2	0	2	0	
	2011	6	2	0	1	0	
	2011	7	1	0	2	0	
	2011	7	2	0	3	0	
	2011	8	1	0	4	0	
	2011	8	2	0	1	0	
	2011	9	1	0	11	0	
	2011	9	2	0	6	0	
	2011	10	1	0	13	0	
	2011	10	2	0	7	0	
	2011	11	1	0	24	0	
	2011	11	2	0	6	0	
	2011	12	1	0	38	0	
	2011	12	2	0	21	0	
	2011	13	1	1	55	0.01818182	
	2011	13	2	2	34	0.05882353	
	2011	14	1	2	65	0.03076923	
	2011	14	2	2	33	0.06060606	
	2011	15	1	8	84	0.0952381	
	2011	15	2	6	54	0.1111111	
	2011	16	1	9	130	0.06923077	
	2011	16	2	9	98	0.09183673	
	2011	17	1	11	137	0.08029197	
	2011	17	2	5	146	0.03424658	
	2011	18	1	20	106	0.1886792	
	2011	18	2	23	150	0.1533333	
	2011	19	1	8	52	0.1538462	
	2011	19	2	13	81	0.1604938	
	2011	20	1	2	10	0.2	
	2011	20	2	5	15	0.3333333	
	2012	5	1	0	1	0	
	2012	5	2	0	3	0	
	2012	6	1	0	3	0	
	2012	6	2	0	1	0	
