
	B1_13_M Hirninfarkt (ICD­10 I63, Alter >19), Zuverlegungen, Mortalität // Infarctus cérébral (CIM­10 I63, âge >19), transféré d'un autre hôpital, mortalité // Infarto cerebrale (ICD­10 I63, età >19), trasferito da un altro ospedale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	3	0	
	2008	5	2	0	3	0	
	2008	6	1	0	1	0	
	2008	6	2	0	6	0	
	2008	7	1	0	2	0	
	2008	7	2	0	1	0	
	2008	8	1	0	5	0	
	2008	8	2	0	3	0	
	2008	9	1	1	18	0.05555556	
	2008	9	2	0	11	0	
	2008	10	1	0	15	0	
	2008	10	2	0	11	0	
	2008	11	1	2	21	0.0952381	
	2008	11	2	0	7	0	
	2008	12	1	2	29	0.06896552	
	2008	12	2	1	7	0.1428571	
	2008	13	1	3	42	0.07142857	
	2008	13	2	1	23	0.04347826	
	2008	14	1	1	46	0.02173913	
	2008	14	2	3	28	0.1071429	
	2008	15	1	0	32	0	
	2008	15	2	2	45	0.04444444	
	2008	16	1	5	56	0.08928571	
	2008	16	2	6	42	0.1428571	
	2008	17	1	2	49	0.04081633	
	2008	17	2	2	48	0.04166667	
	2008	18	1	1	17	0.05882353	
	2008	18	2	5	20	0.25	
	2008	19	1	1	6	0.1666667	
	2008	19	2	2	12	0.1666667	
	2008	20	2	0	2	0	
	2009	5	1	0	2	0	
	2009	5	2	0	2	0	
	2009	6	1	0	5	0	
	2009	6	2	0	4	0	
	2009	7	1	0	6	0	
	2009	7	2	0	3	0	
	2009	8	1	1	10	0.1	
	2009	8	2	0	5	0	
	2009	9	1	0	10	0	
	2009	9	2	1	8	0.125	
	2009	10	1	1	20	0.05	
	2009	10	2	0	6	0	
	2009	11	1	2	29	0.06896552	
	2009	11	2	3	14	0.2142857	
	2009	12	1	2	39	0.05128205	
	2009	12	2	0	8	0	
	2009	13	1	3	61	0.04918033	
	2009	13	2	3	23	0.1304348	
	2009	14	1	3	54	0.05555556	
	2009	14	2	2	31	0.06451613	
	2009	15	1	8	76	0.1052632	
	2009	15	2	1	35	0.02857143	
	2009	16	1	5	68	0.07352941	
	2009	16	2	9	66	0.1363636	
	2009	17	1	9	39	0.2307692	
	2009	17	2	11	54	0.2037037	
	2009	18	1	5	22	0.2272727	
	2009	18	2	11	52	0.2115385	
	2009	19	1	2	7	0.2857143	
	2009	19	2	0	6	0	
	2009	20	1	1	1	1	
	2009	20	2	0	4	0	
	2010	5	1	0	2	0	
	2010	5	2	0	2	0	
	2010	6	1	0	5	0	
	2010	6	2	0	1	0	
	2010	7	1	0	3	0	
	2010	7	2	0	7	0	
	2010	8	1	0	11	0	
	2010	8	2	0	11	0	
	2010	9	1	0	20	0	
	2010	9	2	0	10	0	
	2010	10	1	0	34	0	
	2010	10	2	0	24	0	
	2010	11	1	2	51	0.03921569	
	2010	11	2	0	15	0	
	2010	12	1	4	67	0.05970149	
	2010	12	2	1	18	0.05555556	
	2010	13	1	2	87	0.02298851	
	2010	13	2	1	39	0.02564103	
	2010	14	1	1	91	0.01098901	
	2010	14	2	4	69	0.05797101	
	2010	15	1	7	110	0.06363636	
	2010	15	2	5	62	0.08064516	
	2010	16	1	14	143	0.0979021	
	2010	16	2	7	131	0.05343511	
	2010	17	1	10	142	0.07042254	
	2010	17	2	15	138	0.1086957	
	2010	18	1	11	61	0.1803279	
	2010	18	2	12	123	0.09756098	
	2010	19	1	2	29	0.06896552	
	2010	19	2	6	44	0.1363636	
	2010	20	1	1	2	0.5	
	2010	20	2	3	8	0.375	
	2011	5	1	0	2	0	
	2011	6	1	0	7	0	
	2011	6	2	0	6	0	
	2011	7	1	0	9	0	
	2011	7	2	0	6	0	
	2011	8	1	0	16	0	
	2011	8	2	0	5	0	
	2011	9	1	0	22	0	
	2011	9	2	0	7	0	
	2011	10	1	1	53	0.01886792	
	2011	10	2	0	14	0	
	2011	11	1	3	54	0.05555556	
	2011	11	2	0	21	0	
	2011	12	1	1	81	0.01234568	
	2011	12	2	2	31	0.06451613	
	2011	13	1	0	95	0	
	2011	13	2	2	39	0.05128205	
	2011	14	1	3	100	0.03	
	2011	14	2	3	73	0.04109589	
	2011	15	1	10	129	0.07751938	
	2011	15	2	2	80	0.025	
	2011	16	1	9	149	0.06040268	
	2011	16	2	13	151	0.08609272	
	2011	17	1	12	172	0.06976744	
	2011	17	2	9	193	0.04663212	
	2011	18	1	16	110	0.1454545	
	2011	18	2	18	151	0.1192053	
	2011	19	1	5	39	0.1282051	
	2011	19	2	13	74	0.1756757	
	2011	20	1	2	8	0.25	
	2011	20	2	3	15	0.2	
	2012	5	1	0	2	0	
	2012	5	2	0	2	0	
	2012	6	1	0	1	0	
	2012	6	2	0	1	0	
	2012	7	1	0	9	0	
	2012	7	2	0	5	0	
	2012	8	1	0	11	0	
	2012	8	2	1	14	0.07142857	
	2012	9	1	1	11	0.09090909	
	2012	9	2	0	16	0	
	2012	10	1	0	44	0	
	2012	10	2	0	31	0	
	2012	11	1	3	57	0.05263158	
	2012	11	2	0	35	0	
	2012	12	1	1	92	0.01086957	
	2012	12	2	4	29	0.137931	
	2012	13	1	5	99	0.05050505	
	2012	13	2	2	58	0.03448276	
	2012	14	1	7	141	0.04964539	
	2012	14	2	7	83	0.08433735	
	2012	15	1	7	141	0.04964539	
	2012	15	2	4	95	0.04210526	
	2012	16	1	17	165	0.1030303	
	2012	16	2	13	167	0.07784431	
