
	B1_14_M Hirninfarkt (ICD­10 I63, Alter >19) mit Pneumonie, Mortalität // Infarctus cérébral (CIM­10 I63, âge >19) avec pneumonie, mortalité // Infarto cerebrale (ICD­10 I63, età >19) con polmonite, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	1	0	
	2008	5	2	0	1	0	
	2008	8	1	0	1	0	
	2008	8	2	1	4	0.25	
	2008	9	1	0	10	0	
	2008	9	2	0	2	0	
	2008	10	1	0	2	0	
	2008	10	2	1	3	0.3333333	
	2008	11	1	1	19	0.05263158	
	2008	11	2	1	2	0.5	
	2008	12	1	4	17	0.2352941	
	2008	12	2	1	3	0.3333333	
	2008	13	1	5	25	0.2	
	2008	13	2	2	13	0.1538462	
	2008	14	1	5	31	0.1612903	
	2008	14	2	5	14	0.3571429	
	2008	15	1	9	42	0.2142857	
	2008	15	2	5	16	0.3125	
	2008	16	1	26	81	0.3209877	
	2008	16	2	9	49	0.1836735	
	2008	17	1	21	72	0.2916667	
	2008	17	2	24	71	0.3380282	
	2008	18	1	20	48	0.4166667	
	2008	18	2	13	57	0.2280702	
	2008	19	1	8	16	0.5	
	2008	19	2	8	25	0.32	
	2008	20	1	1	2	0.5	
	2008	20	2	4	7	0.5714286	
	2009	7	1	0	1	0	
	2009	7	2	0	1	0	
	2009	9	1	0	3	0	
	2009	9	2	1	3	0.3333333	
	2009	10	1	0	9	0	
	2009	11	1	1	14	0.07142857	
	2009	11	2	0	2	0	
	2009	12	1	3	19	0.1578947	
	2009	12	2	0	3	0	
	2009	13	1	5	24	0.2083333	
	2009	13	2	3	8	0.375	
	2009	14	1	6	33	0.1818182	
	2009	14	2	1	12	0.08333333	
	2009	15	1	8	61	0.1311475	
	2009	15	2	7	24	0.2916667	
	2009	16	1	14	65	0.2153846	
	2009	16	2	14	45	0.3111111	
	2009	17	1	22	72	0.3055556	
	2009	17	2	13	54	0.2407407	
	2009	18	1	15	46	0.326087	
	2009	18	2	37	78	0.474359	
	2009	19	1	13	22	0.5909091	
	2009	19	2	4	12	0.3333333	
	2009	20	1	1	2	0.5	
	2009	20	2	2	7	0.2857143	
	2010	6	1	0	1	0	
	2010	7	1	0	2	0	
	2010	7	2	0	1	0	
	2010	8	1	0	1	0	
	2010	8	2	0	1	0	
	2010	9	1	0	5	0	
	2010	9	2	0	2	0	
	2010	10	1	3	10	0.3	
	2010	10	2	0	3	0	
	2010	11	1	2	15	0.1333333	
	2010	11	2	0	5	0	
	2010	12	1	2	14	0.1428571	
	2010	12	2	1	4	0.25	
	2010	13	1	2	17	0.1176471	
	2010	13	2	1	10	0.1	
	2010	14	1	8	38	0.2105263	
	2010	14	2	5	20	0.25	
	2010	15	1	19	60	0.3166667	
	2010	15	2	10	31	0.3225806	
	2010	16	1	22	82	0.2682927	
	2010	16	2	7	47	0.1489362	
	2010	17	1	34	98	0.3469388	
	2010	17	2	15	71	0.2112676	
	2010	18	1	24	81	0.2962963	
	2010	18	2	21	65	0.3230769	
	2010	19	1	10	27	0.3703704	
	2010	19	2	9	24	0.375	
	2010	20	1	2	5	0.4	
	2010	20	2	4	9	0.4444444	
	2011	7	1	0	1	0	
	2011	8	1	0	4	0	
	2011	9	1	0	3	0	
	2011	9	2	0	2	0	
	2011	10	1	1	7	0.1428571	
	2011	10	2	1	4	0.25	
	2011	11	1	2	14	0.1428571	
	2011	11	2	0	3	0	
	2011	12	1	1	23	0.04347826	
	2011	12	2	1	6	0.1666667	
	2011	13	1	5	36	0.1388889	
	2011	13	2	2	15	0.1333333	
	2011	14	1	5	33	0.1515152	
	2011	14	2	1	23	0.04347826	
	2011	15	1	10	64	0.15625	
	2011	15	2	5	25	0.2	
	2011	16	1	12	80	0.15	
	2011	16	2	14	56	0.25	
	2011	17	1	22	96	0.2291667	
	2011	17	2	18	87	0.2068966	
	2011	18	1	31	94	0.3297872	
	2011	18	2	24	73	0.3287671	
	2011	19	1	7	24	0.2916667	
	2011	19	2	8	29	0.2758621	
	2011	20	1	2	7	0.2857143	
	2011	20	2	9	16	0.5625	
	2012	5	2	0	1	0	
	2012	7	2	0	1	0	
	2012	8	1	0	4	0	
	2012	8	2	0	1	0	
	2012	9	1	1	3	0.3333333	
	2012	9	2	0	2	0	
	2012	10	1	0	10	0	
	2012	10	2	0	2	0	
	2012	11	1	1	17	0.05882353	
	2012	11	2	1	4	0.25	
	2012	12	1	4	21	0.1904762	
	2012	12	2	3	8	0.375	
	2012	13	1	4	31	0.1290323	
	2012	13	2	0	12	0	
	2012	14	1	10	60	0.1666667	
	2012	14	2	3	21	0.1428571	
	2012	15	1	9	59	0.1525424	
	2012	15	2	6	27	0.2222222	
	2012	16	1	16	85	0.1882353	
	2012	16	2	10	53	0.1886792	
	2012	17	1	28	99	0.2828283	
	2012	17	2	18	86	0.2093023	
	2012	18	1	26	85	0.3058824	
	2012	18	2	23	87	0.2643678	
	2012	19	1	13	34	0.3823529	
	2012	19	2	16	50	0.32	
	2012	20	1	1	6	0.1666667	
	2012	20	2	5	12	0.4166667	
	2013	5	1	0	1	0	
	2013	7	2	1	2	0.5	
	2013	8	1	1	5	0.2	
	2013	8	2	0	3	0	
	2013	9	1	1	7	0.1428571	
	2013	9	2	0	2	0	
	2013	10	1	1	7	0.1428571	
	2013	10	2	2	6	0.3333333	
	2013	11	1	2	13	0.1538462	
	2013	11	2	0	3	0	
	2013	12	1	2	24	0.08333333	
	2013	12	2	4	11	0.3636364	
	2013	13	1	5	34	0.1470588	
	2013	13	2	2	12	0.1666667	
	2013	14	1	9	53	0.1698113	
	2013	14	2	4	17	0.2352941	
	2013	15	1	8	66	0.1212121	
	2013	15	2	8	29	0.2758621	
	2013	16	1	24	71	0.3380282	
	2013	16	2	14	63	0.2222222	
	2013	17	1	31	111	0.2792793	
	2013	17	2	29	102	0.2843137	
	2013	18	1	21	71	0.2957746	
	2013	18	2	26	91	0.2857143	
	2013	19	1	14	33	0.4242424	
	2013	19	2	19	45	0.4222222	
	2013	20	1	4	7	0.5714286	
	2013	20	2	6	10	0.6	
	2014	6	1	0	2	0	
	2014	6	2	0	1	0	
	2014	8	2	1	2	0.5	
	2014	9	1	1	3	0.3333333	
	2014	9	2	1	3	0.3333333	
	2014	10	1	1	3	0.3333333	
	2014	11	1	0	20	0	
	2014	11	2	0	3	0	
	2014	12	1	0	16	0	
	2014	12	2	1	5	0.2	
	2014	13	1	6	34	0.1764706	
	2014	13	2	1	14	0.07142857	
	2014	14	1	12	75	0.16	
	2014	14	2	5	28	0.1785714	
	2014	15	1	6	68	0.08823529	
	2014	15	2	13	51	0.254902	
	2014	16	1	29	111	0.2612613	
	2014	16	2	14	46	0.3043478	
	2014	17	1	25	115	0.2173913	
	2014	17	2	29	87	0.3333333	
	2014	18	1	32	96	0.3333333	
	2014	18	2	26	102	0.254902	
	2014	19	1	6	28	0.2142857	
	2014	19	2	14	43	0.3255814	
	2014	20	1	1	5	0.2	
	2014	20	2	2	5	0.4	
	2015	7	1	0	1	0	
	2015	7	2	0	1	0	
	2015	8	1	0	4	0	
	2015	8	2	0	2	0	
	2015	9	1	0	4	0	
	2015	9	2	0	2	0	
	2015	10	1	1	6	0.1666667	
	2015	11	1	2	14	0.1428571	
	2015	11	2	3	8	0.375	
	2015	12	1	2	19	0.1052632	
	2015	12	2	0	7	0	
	2015	13	1	4	40	0.1	
	2015	13	2	2	12	0.1666667	
	2015	14	1	14	58	0.2413793	
	2015	14	2	3	16	0.1875	
	2015	15	1	14	89	0.1573034	
	2015	15	2	6	44	0.1363636	
	2015	16	1	30	109	0.2752294	
	2015	16	2	11	47	0.2340426	
	2015	17	1	32	139	0.2302158	
	2015	17	2	22	89	0.247191	
	2015	18	1	28	95	0.2947368	
	2015	18	2	35	106	0.3301887	
	2015	19	1	14	37	0.3783784	
	2015	19	2	21	61	0.3442623	
	2015	20	1	1	8	0.125	
	2015	20	2	5	20	0.25	
	2016	7	1	1	3	0.3333333	
	2016	8	1	1	2	0.5	
	2016	8	2	0	2	0	
	2016	9	1	1	8	0.125	
	2016	9	2	0	4	0	
	2016	10	1	1	11	0.09090909	
	2016	10	2	0	9	0	
	2016	11	1	3	23	0.1304348	
	2016	11	2	0	6	0	
	2016	12	1	0	19	0	
	2016	12	2	0	7	0	
	2016	13	1	8	45	0.1777778	
	2016	13	2	3	11	0.2727273	
	2016	14	1	6	49	0.122449	
