
	B1_18_M Hirninfarkt (ICD­10 I63, Alter >19) mit intrakranieller Thrombektomie, Mortalität // Infarctus cérébral (CIM­10 I63, âge >19) avec thrombectomie intracrânienne, mortalité // Infarto cerebrale (ICD­10 I63, età >19) con trombectomia intracranica, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2012	6	1	0	1	0	
	2012	7	1	0	1	0	
	2012	7	2	0	1	0	
	2012	8	1	0	1	0	
	2012	8	2	0	4	0	
	2012	9	1	0	4	0	
	2012	9	2	0	3	0	
	2012	10	1	0	6	0	
	2012	10	2	0	6	0	
	2012	11	1	0	9	0	
	2012	11	2	0	2	0	
	2012	12	1	0	18	0	
	2012	12	2	0	6	0	
	2012	13	1	2	14	0.1428571	
	2012	13	2	2	9	0.2222222	
	2012	14	1	2	16	0.125	
	2012	14	2	0	5	0	
	2012	15	1	2	13	0.1538462	
	2012	15	2	3	17	0.1764706	
	2012	16	1	1	18	0.05555556	
	2012	16	2	2	20	0.1	
	2012	17	1	3	10	0.3	
	2012	17	2	2	24	0.08333333	
	2012	18	1	2	8	0.25	
	2012	18	2	1	9	0.1111111	
	2012	19	2	0	2	0	
	2013	5	1	0	1	0	
	2013	5	2	0	1	0	
	2013	6	1	0	1	0	
	2013	6	2	0	2	0	
	2013	7	1	0	3	0	
	2013	7	2	0	1	0	
	2013	9	1	0	2	0	
	2013	9	2	0	1	0	
	2013	10	1	0	7	0	
	2013	10	2	0	6	0	
	2013	11	1	1	16	0.0625	
	2013	11	2	0	6	0	
	2013	12	1	0	15	0	
	2013	12	2	1	8	0.125	
	2013	13	1	3	18	0.1666667	
	2013	13	2	0	11	0	
	2013	14	1	5	17	0.2941176	
	2013	14	2	0	17	0	
	2013	15	1	1	22	0.04545455	
	2013	15	2	4	16	0.25	
	2013	16	1	4	23	0.173913	
	2013	16	2	3	24	0.125	
	2013	17	1	4	17	0.2352941	
	2013	17	2	4	18	0.2222222	
	2013	18	1	0	6	0	
	2013	18	2	3	14	0.2142857	
	2013	19	1	0	1	0	
	2013	19	2	0	3	0	
	2013	20	1	0	1	0	
	2014	5	1	0	1	0	
	2014	6	1	0	3	0	
	2014	7	2	0	2	0	
	2014	8	1	0	1	0	
	2014	9	1	0	4	0	
	2014	9	2	0	2	0	
	2014	10	1	1	7	0.1428571	
	2014	10	2	0	8	0	
	2014	11	1	0	17	0	
	2014	11	2	0	5	0	
	2014	12	1	1	19	0.05263158	
	2014	12	2	0	3	0	
	2014	13	1	4	21	0.1904762	
	2014	13	2	1	11	0.09090909	
	2014	14	1	3	23	0.1304348	
	2014	14	2	1	18	0.05555556	
	2014	15	1	4	30	0.1333333	
	2014	15	2	6	30	0.2	
	2014	16	1	6	25	0.24	
	2014	16	2	3	25	0.12	
	2014	17	1	4	24	0.1666667	
	2014	17	2	5	31	0.1612903	
	2014	18	1	1	10	0.1	
	2014	18	2	1	17	0.05882353	
	2014	19	1	0	3	0	
	2014	19	2	1	4	0.25	
	2014	20	2	0	1	0	
	2015	6	1	0	1	0	
	2015	6	2	0	4	0	
	2015	7	1	0	3	0	
	2015	7	2	0	4	0	
	2015	8	1	0	6	0	
	2015	8	2	1	5	0.2	
	2015	9	1	0	5	0	
	2015	9	2	0	3	0	
	2015	10	1	1	13	0.07692308	
	2015	10	2	1	5	0.2	
	2015	11	1	0	21	0	
	2015	11	2	2	8	0.25	
	2015	12	1	1	19	0.05263158	
	2015	12	2	4	17	0.2352941	
	2015	13	1	0	30	0	
	2015	13	2	2	22	0.09090909	
	2015	14	1	5	25	0.2	
	2015	14	2	2	25	0.08	
	2015	15	1	3	37	0.08108108	
	2015	15	2	9	44	0.2045455	
	2015	16	1	5	45	0.1111111	
	2015	16	2	4	39	0.1025641	
	2015	17	1	2	30	0.06666667	
	2015	17	2	8	50	0.16	
	2015	18	1	5	17	0.2941176	
	2015	18	2	10	43	0.2325581	
	2015	19	1	1	5	0.2	
	2015	19	2	2	12	0.1666667	
	2016	7	1	0	2	0	
	2016	7	2	0	3	0	
	2016	8	1	0	2	0	
	2016	8	2	0	7	0	
	2016	9	1	0	7	0	
	2016	9	2	0	5	0	
	2016	10	1	1	13	0.07692308	
	2016	10	2	0	13	0	
	2016	11	1	3	23	0.1304348	
	2016	11	2	2	13	0.1538462	
	2016	12	1	2	28	0.07142857	
	2016	12	2	2	14	0.1428571	
	2016	13	1	8	45	0.1777778	
	2016	13	2	1	16	0.0625	
	2016	14	1	4	45	0.08888889	
	2016	14	2	2	25	0.08	
	2016	15	1	3	44	0.06818182	
	2016	15	2	5	40	0.125	
	2016	16	1	4	44	0.09090909	
	2016	16	2	6	59	0.1016949	
	2016	17	1	11	51	0.2156863	
	2016	17	2	8	67	0.119403	
	2016	18	1	6	31	0.1935484	
	2016	18	2	12	65	0.1846154	
	2016	19	1	3	9	0.3333333	
	2016	19	2	6	16	0.375	
	2016	20	1	1	1	1	
	2016	20	2	2	5	0.4	
	2017	5	1	0	1	0	
	2017	6	1	0	2	0	
	2017	6	2	1	5	0.2	
	2017	7	1	0	3	0	
	2017	7	2	0	5	0	
	2017	8	1	0	7	0	
	2017	8	2	1	3	0.3333333	
	2017	9	1	1	8	0.125	
	2017	9	2	0	7	0	
	2017	10	1	2	23	0.08695652	
	2017	10	2	0	12	0	
	2017	11	1	0	24	0	
	2017	11	2	1	21	0.04761905	
	2017	12	1	2	44	0.04545455	
	2017	12	2	3	21	0.1428571	
	2017	13	1	3	39	0.07692308	
	2017	13	2	2	29	0.06896552	
	2017	14	1	2	48	0.04166667	
	2017	14	2	1	27	0.03703704	
	2017	15	1	6	58	0.1034483	
	2017	15	2	7	54	0.1296296	
	2017	16	1	10	59	0.1694915	
	2017	16	2	8	64	0.125	
	2017	17	1	13	62	0.2096774	
	2017	17	2	15	101	0.1485149	
	2017	18	1	8	41	0.195122	
	2017	18	2	11	66	0.1666667	
	2017	19	1	2	12	0.1666667	
	2017	19	2	7	33	0.2121212	
	2017	20	1	0	1	0	
	2017	20	2	0	3	0	
	2018	5	1	0	1	0	
	2018	5	2	0	1	0	
	2018	6	1	0	2	0	
	2018	7	1	0	1	0	
	2018	7	2	1	3	0.3333333	
	2018	8	1	0	2	0	
	2018	8	2	0	5	0	
	2018	9	1	1	10	0.1	
	2018	9	2	0	5	0	
	2018	10	1	0	14	0	
	2018	10	2	1	8	0.125	
	2018	11	1	3	34	0.08823529	
	2018	11	2	1	14	0.07142857	
	2018	12	1	5	47	0.106383	
	2018	12	2	1	21	0.04761905	
	2018	13	1	1	53	0.01886792	
	2018	13	2	1	29	0.03448276	
	2018	14	1	2	57	0.03508772	
	2018	14	2	3	44	0.06818182	
	2018	15	1	16	84	0.1904762	
	2018	15	2	5	46	0.1086957	
	2018	16	1	8	65	0.1230769	
	2018	16	2	9	69	0.1304348	
	2018	17	1	11	64	0.171875	
	2018	17	2	12	97	0.1237113	
	2018	18	1	11	46	0.2391304	
	2018	18	2	13	98	0.1326531	
	2018	19	1	6	21	0.2857143	
	2018	19	2	12	40	0.3	
	2018	20	1	0	3	0	
	2018	20	2	1	8	0.125	
	2019	5	1	0	2	0	
	2019	5	2	0	1	0	
	2019	6	1	0	1	0	
	2019	7	1	0	4	0	
	2019	7	2	0	5	0	
	2019	8	1	0	6	0	
	2019	8	2	2	8	0.25	
	2019	9	1	1	6	0.1666667	
	2019	9	2	0	5	0	
	2019	10	1	0	21	0	
	2019	10	2	1	17	0.05882353	
	2019	11	1	3	43	0.06976744	
	2019	11	2	2	21	0.0952381	
	2019	12	1	2	44	0.04545455	
	2019	12	2	0	18	0	
	2019	13	1	6	60	0.1	
	2019	13	2	0	34	0	
	2019	14	1	2	75	0.02666667	
	2019	14	2	4	53	0.0754717	
	2019	15	1	6	84	0.07142857	
	2019	15	2	3	58	0.05172414	
	2019	16	1	8	85	0.09411765	
	2019	16	2	8	104	0.07692308	
	2019	17	1	14	76	0.1842105	
	2019	17	2	17	98	0.1734694	
	2019	18	1	17	56	0.3035714	
	2019	18	2	14	92	0.1521739	
	2019	19	1	6	20	0.3	
	2019	19	2	12	51	0.2352941	
	2019	20	1	3	3	1	
	2019	20	2	1	8	0.125	
