
	B2_01_M TIA, Mortalität // AIT, mortalité // TIA, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	2	1	0	1	0	
	2008	3	2	0	2	0	
	2008	4	1	0	1	0	
	2008	5	1	0	3	0	
	2008	5	2	0	3	0	
	2008	6	1	0	1	0	
	2008	6	2	0	5	0	
	2008	7	1	0	13	0	
	2008	7	2	0	9	0	
	2008	8	1	0	20	0	
	2008	8	2	0	8	0	
	2008	9	1	0	44	0	
	2008	9	2	0	25	0	
	2008	10	1	0	41	0	
	2008	10	2	0	44	0	
	2008	11	1	0	92	0	
	2008	11	2	0	47	0	
	2008	12	1	0	138	0	
	2008	12	2	0	82	0	
	2008	13	1	0	205	0	
	2008	13	2	0	136	0	
	2008	14	1	0	217	0	
	2008	14	2	1	150	0.006666667	
	2008	15	1	0	251	0	
	2008	15	2	0	230	0	
	2008	16	1	1	285	0.003508772	
	2008	16	2	1	289	0.003460208	
	2008	17	1	1	252	0.003968254	
	2008	17	2	1	324	0.00308642	
	2008	18	1	1	147	0.006802721	
	2008	18	2	3	253	0.01185771	
	2008	19	1	1	55	0.01818182	
	2008	19	2	1	91	0.01098901	
	2008	20	1	0	13	0	
	2008	20	2	1	27	0.03703704	
	2009	1	1	0	1	0	
	2009	2	1	0	1	0	
	2009	3	1	0	1	0	
	2009	3	2	0	3	0	
	2009	4	1	0	3	0	
	2009	4	2	0	4	0	
	2009	5	1	0	2	0	
	2009	5	2	0	3	0	
	2009	6	1	0	3	0	
	2009	6	2	0	7	0	
	2009	7	1	0	11	0	
	2009	7	2	0	6	0	
	2009	8	1	0	14	0	
	2009	8	2	0	6	0	
	2009	9	1	0	45	0	
	2009	9	2	0	28	0	
	2009	10	1	0	45	0	
	2009	10	2	0	31	0	
	2009	11	1	0	113	0	
	2009	11	2	0	49	0	
	2009	12	1	0	119	0	
	2009	12	2	0	85	0	
	2009	13	1	0	207	0	
	2009	13	2	0	132	0	
	2009	14	1	1	181	0.005524862	
	2009	14	2	0	170	0	
	2009	15	1	1	231	0.004329004	
	2009	15	2	0	194	0	
	2009	16	1	0	256	0	
	2009	16	2	0	264	0	
	2009	17	1	1	214	0.004672897	
	2009	17	2	1	316	0.003164557	
	2009	18	1	0	178	0	
	2009	18	2	0	261	0	
	2009	19	1	0	49	0	
	2009	19	2	0	94	0	
	2009	20	1	0	13	0	
	2009	20	2	0	29	0	
	2010	1	2	0	1	0	
	2010	2	1	0	1	0	
	2010	4	1	0	2	0	
	2010	4	2	0	1	0	
	2010	5	1	0	7	0	
	2010	5	2	0	3	0	
	2010	6	1	0	2	0	
	2010	6	2	0	4	0	
	2010	7	1	0	4	0	
	2010	7	2	0	6	0	
	2010	8	1	0	16	0	
	2010	8	2	0	9	0	
	2010	9	1	0	45	0	
	2010	9	2	0	14	0	
	2010	10	1	0	60	0	
	2010	10	2	0	35	0	
	2010	11	1	0	89	0	
	2010	11	2	0	73	0	
	2010	12	1	0	119	0	
	2010	12	2	0	94	0	
	2010	13	1	0	211	0	
	2010	13	2	1	137	0.00729927	
	2010	14	1	0	243	0	
	2010	14	2	0	214	0	
	2010	15	1	0	237	0	
	2010	15	2	0	223	0	
	2010	16	1	1	267	0.003745318	
	2010	16	2	2	283	0.007067138	
	2010	17	1	0	288	0	
	2010	17	2	1	357	0.00280112	
	2010	18	1	1	162	0.00617284	
	2010	18	2	1	297	0.003367003	
	2010	19	1	1	59	0.01694915	
	2010	19	2	2	104	0.01923077	
	2010	20	1	0	11	0	
	2010	20	2	0	21	0	
	2011	1	2	0	1	0	
	2011	3	2	0	1	0	
	2011	4	1	0	2	0	
	2011	4	2	0	4	0	
	2011	5	1	0	1	0	
	2011	5	2	0	6	0	
	2011	6	1	0	3	0	
	2011	6	2	0	9	0	
	2011	7	1	0	7	0	
	2011	7	2	0	15	0	
	2011	8	1	0	13	0	
	2011	8	2	0	14	0	
	2011	9	1	0	26	0	
	2011	9	2	0	21	0	
	2011	10	1	0	88	0	
	2011	10	2	0	38	0	
	2011	11	1	0	91	0	
	2011	11	2	0	43	0	
	2011	12	1	0	124	0	
	2011	12	2	0	95	0	
	2011	13	1	0	188	0	
	2011	13	2	1	147	0.006802721	
	2011	14	1	0	216	0	
	2011	14	2	0	206	0	
	2011	15	1	1	239	0.0041841	
	2011	15	2	0	249	0	
	2011	16	1	1	241	0.004149378	
	2011	16	2	0	296	0	
	2011	17	1	1	265	0.003773585	
	2011	17	2	3	287	0.01045296	
	2011	18	1	1	177	0.005649718	
	2011	18	2	3	312	0.009615385	
	2011	19	1	1	60	0.01666667	
	2011	19	2	0	101	0	
	2011	20	1	0	5	0	
	2011	20	2	2	26	0.07692308	
	2012	1	1	1	1	1	
	2012	2	2	0	1	0	
	2012	3	1	0	1	0	
	2012	3	2	0	1	0	
	2012	4	1	0	1	0	
	2012	4	2	0	1	0	
	2012	6	1	0	2	0	
	2012	6	2	0	4	0	
	2012	7	1	0	9	0	
	2012	7	2	0	8	0	
	2012	8	1	0	28	0	
	2012	8	2	0	17	0	
	2012	9	1	0	35	0	
	2012	9	2	0	14	0	
	2012	10	1	0	77	0	
	2012	10	2	0	48	0	
	2012	11	1	0	111	0	
	2012	11	2	0	65	0	
	2012	12	1	0	158	0	
	2012	12	2	0	93	0	
	2012	13	1	0	210	0	
	2012	13	2	0	139	0	
	2012	14	1	1	236	0.004237288	
	2012	14	2	0	198	0	
	2012	15	1	0	271	0	
	2012	15	2	0	253	0	
	2012	16	1	1	266	0.003759398	
	2012	16	2	2	289	0.006920415	
	2012	17	1	1	230	0.004347826	
	2012	17	2	3	336	0.008928571	
	2012	18	1	1	177	0.005649718	
	2012	18	2	0	250	0	
	2012	19	1	0	69	0	
	2012	19	2	2	105	0.01904762	
