
	B3_02_M OP am Gehirn bei bösartigen Neubildungen, Mortalität // OP du cerveau en cas de tumeurs malignes, mortalité // OP al cervello in caso di tumori maligni, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2011	1	1	0	4	0	
	2011	1	2	0	4	0	
	2011	2	1	0	9	0	
	2011	2	2	0	6	0	
	2011	3	1	0	7	0	
	2011	3	2	0	4	0	
	2011	4	1	0	7	0	
	2011	4	2	0	3	0	
	2011	5	1	0	10	0	
	2011	5	2	0	5	0	
	2011	6	1	1	11	0.09090909	
	2011	6	2	0	10	0	
	2011	7	1	0	9	0	
	2011	7	2	0	6	0	
	2011	8	1	0	25	0	
	2011	8	2	0	13	0	
	2011	9	1	0	15	0	
	2011	9	2	0	13	0	
	2011	10	1	0	30	0	
	2011	10	2	1	14	0.07142857	
	2011	11	1	1	32	0.03125	
	2011	11	2	0	18	0	
	2011	12	1	0	52	0	
	2011	12	2	0	23	0	
	2011	13	1	0	34	0	
	2011	13	2	0	26	0	
	2011	14	1	1	47	0.0212766	
	2011	14	2	0	22	0	
	2011	15	1	1	30	0.03333333	
	2011	15	2	0	21	0	
	2011	16	1	0	21	0	
	2011	16	2	0	8	0	
	2011	17	1	0	1	0	
	2011	17	2	1	6	0.1666667	
	2011	18	2	0	1	0	
	2012	1	1	0	2	0	
	2012	1	2	0	5	0	
	2012	2	1	0	4	0	
	2012	2	2	0	4	0	
	2012	3	1	0	4	0	
	2012	3	2	0	8	0	
	2012	4	1	0	2	0	
	2012	4	2	0	2	0	
	2012	5	1	0	10	0	
	2012	5	2	0	4	0	
	2012	6	1	0	12	0	
	2012	6	2	1	8	0.125	
	2012	7	1	0	13	0	
	2012	7	2	0	9	0	
	2012	8	1	0	17	0	
	2012	8	2	0	7	0	
	2012	9	1	0	15	0	
	2012	9	2	0	13	0	
	2012	10	1	0	22	0	
	2012	10	2	0	22	0	
	2012	11	1	1	38	0.02631579	
	2012	11	2	0	23	0	
	2012	12	1	0	29	0	
	2012	12	2	1	19	0.05263158	
	2012	13	1	1	43	0.02325581	
	2012	13	2	1	30	0.03333333	
	2012	14	1	0	41	0	
	2012	14	2	1	27	0.03703704	
	2012	15	1	3	28	0.1071429	
	2012	15	2	0	14	0	
	2012	16	1	2	14	0.1428571	
	2012	16	2	1	13	0.07692308	
	2012	17	1	2	8	0.25	
	2012	17	2	3	11	0.2727273	
	2012	18	1	0	1	0	
	2012	18	2	0	2	0	
	2013	1	1	0	10	0	
	2013	1	2	0	6	0	
	2013	2	1	0	9	0	
	2013	2	2	0	1	0	
	2013	3	1	0	4	0	
	2013	3	2	0	4	0	
	2013	4	1	0	7	0	
	2013	4	2	0	1	0	
	2013	5	1	0	5	0	
	2013	5	2	0	8	0	
	2013	6	1	1	10	0.1	
	2013	6	2	1	8	0.125	
	2013	7	1	0	13	0	
	2013	7	2	0	12	0	
	2013	8	1	1	13	0.07692308	
	2013	8	2	0	13	0	
	2013	9	1	0	33	0	
	2013	9	2	0	14	0	
	2013	10	1	0	29	0	
	2013	10	2	0	15	0	
	2013	11	1	0	33	0	
	2013	11	2	0	22	0	
	2013	12	1	0	43	0	
	2013	12	2	0	26	0	
	2013	13	1	2	38	0.05263158	
	2013	13	2	1	28	0.03571429	
	2013	14	1	0	42	0	
	2013	14	2	0	19	0	
	2013	15	1	0	32	0	
	2013	15	2	1	31	0.03225806	
	2013	16	1	3	18	0.1666667	
	2013	16	2	0	7	0	
	2013	17	1	0	2	0	
	2013	17	2	0	2	0	
	2013	18	1	1	2	0.5	
	2014	1	1	1	11	0.09090909	
