
	C1_03_S Mittelwert des Barthel­Index bei Aufnahme // Valeur moyenne de l'index de Barthel à l'admission // Valore medio dell'indice di Barthel all'ammissione
	BAG/OFSP/UFSP - CH-IQI Version V5.2 - Daten 2019 - 21. April 2021

	Jahr	CasesCH	SVarCH	pCH	
	2008	NA	NA	NA	
	2009	NA	NA	NA	
	2010	26	1615	62.11538	
	2011	271	16067.5	59.28967	
	2012	2523	133615	52.95878	
	2013	3848	203132.5	52.78911	
	2014	4472	239722.5	53.60521	
	2015	5788	316855	54.74343	
	2016	6997	381285	54.49264	
	2017	8045	438102.5	54.45649	
	2018	9635	525050	54.49403	
	2019	11729	643802.5	54.8898	
