
	D1_01_M HD Pneumonie, Mortalität // DP pneumonie, mortalité // DP polmonite, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	0	659	0	
	2008	1	2	0	504	0	
	2008	2	1	1	224	0.004464286	
	2008	2	2	0	180	0	
	2008	3	1	0	69	0	
	2008	3	2	1	54	0.01851852	
	2008	4	1	2	70	0.02857143	
	2008	4	2	0	80	0	
	2008	5	1	1	77	0.01298701	
	2008	5	2	1	57	0.01754386	
	2008	6	1	1	86	0.01162791	
	2008	6	2	1	84	0.01190476	
	2008	7	1	2	122	0.01639344	
	2008	7	2	5	115	0.04347826	
	2008	8	1	1	212	0.004716981	
	2008	8	2	2	183	0.01092896	
	2008	9	1	1	262	0.003816794	
	2008	9	2	4	206	0.01941748	
	2008	10	1	8	307	0.02605863	
	2008	10	2	7	210	0.03333333	
	2008	11	1	14	368	0.03804348	
	2008	11	2	9	231	0.03896104	
	2008	12	1	19	478	0.03974895	
	2008	12	2	14	340	0.04117647	
	2008	13	1	47	695	0.0676259	
	2008	13	2	31	493	0.06288032	
	2008	14	1	71	834	0.08513189	
	2008	14	2	27	532	0.05075188	
	2008	15	1	95	1073	0.08853681	
	2008	15	2	46	600	0.07666667	
	2008	16	1	124	1334	0.09295352	
	2008	16	2	55	865	0.06358382	
	2008	17	1	127	1315	0.09657795	
	2008	17	2	86	1068	0.08052434	
	2008	18	1	170	1133	0.1500441	
	2008	18	2	92	904	0.1017699	
	2008	19	1	78	445	0.1752809	
	2008	19	2	66	444	0.1486486	
	2008	20	1	18	122	0.147541	
	2008	20	2	32	163	0.196319	
	2009	1	1	0	655	0	
	2009	1	2	0	486	0	
	2009	2	1	2	248	0.008064516	
	2009	2	2	2	223	0.00896861	
	2009	3	1	1	113	0.008849558	
	2009	3	2	1	85	0.01176471	
	2009	4	1	1	121	0.008264463	
	2009	4	2	3	101	0.02970297	
	2009	5	1	1	121	0.008264463	
	2009	5	2	0	77	0	
	2009	6	1	1	113	0.008849558	
	2009	6	2	0	98	0	
	2009	7	1	1	142	0.007042254	
	2009	7	2	2	156	0.01282051	
	2009	8	1	3	207	0.01449275	
	2009	8	2	0	196	0	
	2009	9	1	4	257	0.0155642	
	2009	9	2	3	239	0.0125523	
	2009	10	1	10	369	0.02710027	
	2009	10	2	6	235	0.02553191	
	2009	11	1	16	434	0.03686636	
	2009	11	2	6	292	0.02054795	
	2009	12	1	18	459	0.03921569	
	2009	12	2	13	359	0.0362117	
	2009	13	1	49	786	0.06234097	
	2009	13	2	13	515	0.02524272	
	2009	14	1	59	894	0.06599553	
	2009	14	2	29	600	0.04833333	
	2009	15	1	102	1090	0.09357798	
	2009	15	2	39	696	0.05603448	
	2009	16	1	133	1371	0.09700948	
	2009	16	2	51	904	0.05641593	
	2009	17	1	157	1471	0.1067301	
	2009	17	2	95	1114	0.08527828	
	2009	18	1	156	1205	0.1294606	
	2009	18	2	101	945	0.1068783	
	2009	19	1	90	469	0.1918977	
	2009	19	2	69	529	0.1304348	
	2009	20	1	24	133	0.1804511	
	2009	20	2	30	164	0.1829268	
	2010	1	1	0	743	0	
	2010	1	2	3	674	0.004451039	
	2010	2	1	3	265	0.01132075	
	2010	2	2	0	217	0	
	2010	3	1	0	117	0	
	2010	3	2	1	92	0.01086957	
	2010	4	1	1	118	0.008474576	
	2010	4	2	0	92	0	
	2010	5	1	3	124	0.02419355	
