
	D1_02_M HD Pneumonie, Alter <20, Mortalität // DP pneumonie, âge <20, mortalité // DP polmonite, età <20, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	0	659	0	
	2008	1	2	0	504	0	
	2008	2	1	1	224	0.004464286	
	2008	2	2	0	180	0	
	2008	3	1	0	69	0	
	2008	3	2	1	54	0.01851852	
	2008	4	1	2	70	0.02857143	
	2008	4	2	0	80	0	
	2009	1	1	0	655	0	
	2009	1	2	0	486	0	
	2009	2	1	2	248	0.008064516	
	2009	2	2	2	223	0.00896861	
	2009	3	1	1	113	0.008849558	
	2009	3	2	1	85	0.01176471	
	2009	4	1	1	121	0.008264463	
	2009	4	2	3	101	0.02970297	
	2010	1	1	0	743	0	
	2010	1	2	3	674	0.004451039	
	2010	2	1	3	265	0.01132075	
	2010	2	2	0	217	0	
	2010	3	1	0	117	0	
	2010	3	2	1	92	0.01086957	
	2010	4	1	1	118	0.008474576	
	2010	4	2	0	92	0	
	2011	1	1	2	663	0.003016591	
	2011	1	2	1	559	0.001788909	
	2011	2	1	1	225	0.004444444	
	2011	2	2	0	224	0	
	2011	3	1	0	87	0	
	2011	3	2	1	89	0.01123596	
	2011	4	1	4	122	0.03278689	
	2011	4	2	1	81	0.01234568	
	2012	1	1	1	640	0.0015625	
	2012	1	2	0	550	0	
	2012	2	1	0	222	0	
	2012	2	2	0	174	0	
	2012	3	1	1	76	0.01315789	
	2012	3	2	0	69	0	
	2012	4	1	2	86	0.02325581	
	2012	4	2	0	71	0	
	2013	1	1	3	595	0.005042017	
	2013	1	2	0	545	0	
	2013	2	1	0	191	0	
	2013	2	2	1	173	0.005780347	
	2013	3	1	0	74	0	
	2013	3	2	0	54	0	
	2013	4	1	1	72	0.01388889	
	2013	4	2	0	47	0	
	2014	1	1	0	589	0	
	2014	1	2	0	539	0	
	2014	2	1	0	214	0	
	2014	2	2	0	171	0	
	2014	3	1	0	78	0	
	2014	3	2	0	70	0	
	2014	4	1	0	110	0	
	2014	4	2	0	81	0	
	2015	1	1	1	605	0.001652893	
	2015	1	2	1	518	0.001930502	
	2015	2	1	0	179	0	
	2015	2	2	0	179	0	
	2015	3	1	1	67	0.01492537	
	2015	3	2	0	70	0	
	2015	4	1	2	101	0.01980198	
	2015	4	2	1	69	0.01449275	
	2016	1	1	0	602	0	
	2016	1	2	1	580	0.001724138	
	2016	2	1	0	228	0	
	2016	2	2	0	221	0	
	2016	3	1	0	65	0	
	2016	3	2	0	77	0	
	2016	4	1	0	106	0	
	2016	4	2	0	74	0	
	2017	1	1	3	501	0.005988024	
	2017	1	2	0	473	0	
	2017	2	1	0	146	0	
	2017	2	2	0	116	0	
	2017	3	1	0	69	0	
	2017	3	2	0	49	0	
	2017	4	1	1	87	0.01149425	
	2017	4	2	1	77	0.01298701	
	2018	1	1	3	675	0.004444444	
	2018	1	2	1	554	0.001805054	
	2018	2	1	0	212	0	
	2018	2	2	0	186	0	
	2018	3	1	2	58	0.03448276	
	2018	3	2	1	72	0.01388889	
	2018	4	1	1	94	0.0106383	
	2018	4	2	0	61	0	
	2019	1	1	0	681	0	
	2019	1	2	3	594	0.005050505	
	2019	2	1	0	202	0	
	2019	2	2	0	181	0	
	2019	3	1	0	70	0	
	2019	3	2	3	84	0.03571429	
	2019	4	1	0	85	0	
	2019	4	2	1	77	0.01298701	
