
	D1_03_M HD Pneumonie, Alter 20-44, Mortalität // DP pneumonie, âge 20-44, mortalité // DP polmonite, età 20-44, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	DeathCH	CasesCH	pCH	
	2008	19	1404	1.353276	
	2009	15	1606	0.9339975	
	2010	19	1546	1.228978	
	2011	13	1601	0.8119925	
	2012	17	1341	1.267711	
	2013	16	1306	1.225115	
	2014	12	1458	0.8230453	
	2015	13	1613	0.8059516	
	2016	8	1585	0.5047319	
	2017	10	1333	0.7501875	
	2018	8	1649	0.4851425	
	2019	7	1624	0.4310345	
