
	D1_04_M HD Pneumonie, Alter 45-64, Mortalität // DP pneumonie, âge 45-64, mortalité // DP polmonite, età 45-64, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	10	1	8	307	0.02605863	
	2008	10	2	7	210	0.03333333	
	2008	11	1	14	368	0.03804348	
	2008	11	2	9	231	0.03896104	
	2008	12	1	19	478	0.03974895	
	2008	12	2	14	340	0.04117647	
	2008	13	1	47	695	0.0676259	
	2008	13	2	31	493	0.06288032	
	2009	10	1	10	369	0.02710027	
	2009	10	2	6	235	0.02553191	
	2009	11	1	16	434	0.03686636	
	2009	11	2	6	292	0.02054795	
	2009	12	1	18	459	0.03921569	
	2009	12	2	13	359	0.0362117	
	2009	13	1	49	786	0.06234097	
	2009	13	2	13	515	0.02524272	
	2010	10	1	5	333	0.01501502	
	2010	10	2	5	232	0.02155172	
	2010	11	1	8	381	0.02099738	
	2010	11	2	8	299	0.02675585	
	2010	12	1	19	498	0.03815261	
	2010	12	2	15	365	0.04109589	
	2010	13	1	32	701	0.04564907	
	2010	13	2	12	555	0.02162162	
	2011	10	1	12	346	0.03468208	
	2011	10	2	3	250	0.012	
	2011	11	1	18	428	0.04205607	
	2011	11	2	4	286	0.01398601	
	2011	12	1	17	538	0.03159851	
	2011	12	2	9	376	0.02393617	
	2011	13	1	35	658	0.05319149	
	2011	13	2	26	515	0.05048544	
	2012	10	1	4	324	0.01234568	
	2012	10	2	7	212	0.03301887	
	2012	11	1	14	412	0.03398058	
	2012	11	2	9	275	0.03272727	
	2012	12	1	15	493	0.03042596	
	2012	12	2	16	363	0.04407713	
	2012	13	1	44	698	0.06303725	
	2012	13	2	23	476	0.04831933	
	2013	10	1	12	306	0.03921569	
	2013	10	2	3	189	0.01587302	
	2013	11	1	17	402	0.04228856	
	2013	11	2	7	280	0.025	
	2013	12	1	21	542	0.03874539	
	2013	12	2	14	374	0.03743316	
	2013	13	1	35	735	0.04761905	
	2013	13	2	14	487	0.02874743	
	2014	10	1	5	326	0.01533742	
	2014	10	2	1	241	0.004149378	
	2014	11	1	11	429	0.02564103	
	2014	11	2	4	264	0.01515152	
	2014	12	1	14	558	0.02508961	
	2014	12	2	12	378	0.03174603	
	2014	13	1	26	719	0.03616134	
	2014	13	2	12	443	0.02708804	
	2015	10	1	11	336	0.0327381	
	2015	10	2	8	252	0.03174603	
	2015	11	1	13	469	0.02771855	
	2015	11	2	4	312	0.01282051	
	2015	12	1	15	617	0.02431118	
	2015	12	2	9	433	0.02078522	
	2015	13	1	34	792	0.04292929	
	2015	13	2	14	557	0.02513465	
	2016	10	1	5	360	0.01388889	
	2016	10	2	3	255	0.01176471	
	2016	11	1	8	475	0.01684211	
	2016	11	2	3	351	0.008547009	
	2016	12	1	22	612	0.03594771	
	2016	12	2	10	433	0.02309469	
	2016	13	1	16	799	0.02002503	
	2016	13	2	13	524	0.02480916	
	2017	10	1	3	347	0.008645533	
	2017	10	2	4	219	0.01826484	
	2017	11	1	13	443	0.02934537	
	2017	11	2	4	355	0.01126761	
	2017	12	1	19	634	0.02996845	
	2017	12	2	7	440	0.01590909	
	2017	13	1	31	826	0.03753027	
	2017	13	2	17	598	0.02842809	
	2018	10	1	5	389	0.01285347	
	2018	10	2	3	313	0.009584665	
	2018	11	1	8	503	0.01590457	
	2018	11	2	12	385	0.03116883	
	2018	12	1	19	683	0.02781845	
	2018	12	2	8	476	0.01680672	
	2018	13	1	29	852	0.03403756	
	2018	13	2	16	689	0.02322206	
	2019	10	1	2	332	0.006024096	
	2019	10	2	2	231	0.008658009	
	2019	11	1	12	502	0.02390438	
	2019	11	2	3	347	0.008645533	
	2019	12	1	16	581	0.02753873	
	2019	12	2	7	484	0.01446281	
	2019	13	1	21	828	0.02536232	
	2019	13	2	11	644	0.01708075	
